ApsimVersion = 7.9 r4044
Title = Corn_135_oat5
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        187.988        21933.7       1675.929        210.000        268.000          4.138          23.61       2019.685        341.300             135.0          140.1          127.9         94.854
     31/12/2001           2001        146.425        23122.6       1615.960        198.000        251.000          4.623          21.48       1772.286        403.098             135.0          131.1          121.6        109.069
     31/12/2002           2002        196.047        24353.5       1608.365        197.000        251.000          4.563          24.14       1881.493        452.882             135.0          148.5          137.7         97.147
     31/12/2003           2003        196.932        24572.7       1397.667        202.000        260.000          4.689          23.12       1650.792        466.217             135.0          149.5          138.6         99.839
     31/12/2004           2004        210.486        25828.6       1583.772        202.000        270.000          4.469          24.70       1771.041        462.784             135.0          166.9          156.4        103.497
     31/12/2005           2005        200.147        24830.4       1621.772        200.000        256.000          4.778          26.13       1933.304        571.857             135.0          169.1          156.1         97.471
     31/12/2006           2006        205.168        23281.3       1681.407        197.000        251.000          4.456          24.10       2000.943        323.088             135.0          138.6          128.4        104.838
     31/12/2007           2007        205.740        24089.8       1624.802        193.000        245.000          4.645          23.27       1787.465        437.286             135.0          149.9          140.3        105.360
     31/12/2008           2008        190.772        23933.3       1434.455        202.000        266.000          4.615          22.28       1322.579        719.582             135.0          164.1          152.3         83.455
     31/12/2009           2009        225.178        25001.3       1646.163        202.000        268.000          4.296          24.89       1829.069        407.757             135.0          160.6          148.3         97.546
     31/12/2010           2010        178.361        23693.3       1198.156        197.000        248.000          4.558          23.82       1154.854        849.884             135.0          164.4          154.8        110.611
     31/12/2011           2011        173.916        22850.9       1505.398        200.000        255.000          4.422          23.74       1604.295        326.898             135.0          160.2          145.4         66.111
     31/12/2012           2012        167.891        20957.9       1561.674        189.000        240.000          4.345          21.70       1908.100        236.970             135.0          103.3           99.8        128.510
     31/12/2013           2013        209.336        22826.6       1569.557        194.000        249.000          4.546          19.90       1672.775        276.352             135.0          113.7           99.0         75.376
     31/12/2014           2014        195.508        22707.4       1198.498        199.000        261.000          4.128          23.29       1284.716        699.262             135.0          161.4          149.8         83.514
     31/12/2015           2015        199.855        24165.3       1502.838        200.000        256.000          4.691          25.36       1531.090        735.326             135.0          168.8          157.1        108.524
     31/12/2016           2016        190.159        24330.4       1612.306        195.000        250.000          4.797          25.87       1894.363        535.960             135.0          166.1          156.8        110.398
