ApsimVersion = 7.9 r4044
Title = Corn_202_oat44
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        211.666        20837.7       1248.379        197.000        255.000          3.835          19.40       1364.541        327.330             202.0          173.0           73.1        132.406
     31/12/2001           2001        190.431        20303.5       1522.365        198.000        251.000          4.203          18.76       1484.868        403.098             202.0          181.3           81.4        120.477
     31/12/2002           2002        221.117        21525.8       1285.357        197.000        251.000          4.261          19.36       1279.950        452.882             202.0          181.4           80.6        104.935
     31/12/2003           2003        194.678        20309.5       1054.941        202.000        260.000          4.065          17.49       1209.696        466.217             202.0          169.8           71.1        104.157
     31/12/2004           2004        199.313        20509.5       1334.610        202.000        270.000          4.015          17.01       1239.957        462.784             202.0          172.3           70.3        117.047
     31/12/2005           2005        218.091        21336.2       1312.594        196.000        252.000          4.208          19.51       1294.535        538.710             202.0          181.3           78.9        103.519
     31/12/2006           2006        233.276        22103.7       1530.224        197.000        251.000          4.123          22.60       1652.248        323.088             202.0          194.5           94.3        123.397
     31/12/2007           2007        203.282        21090.7       1509.952        193.000        245.000          4.334          18.93       1418.025        437.286             202.0          188.4           90.1        108.819
     31/12/2008           2008        171.738        17595.7       1036.817        202.000        266.000          3.918          14.59        866.235        719.582             202.0          163.6           54.2         93.576
     31/12/2009           2009        206.068        21056.5       1413.799        202.000        268.000          3.878          18.71       1339.123        407.757             202.0          174.7           71.2        103.736
     31/12/2010           2010        161.181        15757.1        913.108        197.000        248.000          3.424          14.25        712.525        849.884             202.0          165.3           67.4        119.022
     31/12/2011           2011        205.610        19354.8       1135.771        200.000        255.000          4.081          17.49       1180.407        326.898             202.0          174.9           64.5         79.108
     31/12/2012           2012        228.495        20549.0       1392.922        189.000        240.000          4.061          18.94       1573.694        236.970             202.0          142.3           59.0        134.031
     31/12/2013           2013        196.805        19648.6       1351.089        194.000        249.000          4.120          16.19       1371.255        276.352             202.0          150.1           49.6         90.097
     31/12/2014           2014        156.933        15949.4        880.160        199.000        261.000          3.218          14.25        812.594        699.262             202.0          162.2           56.1         89.695
     31/12/2015           2015        200.522        19947.2       1127.086        200.000        256.000          4.209          17.37        913.684        735.326             202.0          172.4           71.4        114.133
     31/12/2016           2016        222.994        22134.9       1505.600        195.000        250.000          4.393          20.82       1325.100        535.960             202.0          189.4           91.3        113.704
