ApsimVersion = 7.9 r4044
Title = Corn_202_oat1
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        230.134        21464.6       1676.929        210.000        268.000          3.901          23.59       2021.346        341.300             202.0          142.2          130.0        121.524
     31/12/2001           2001        191.664        23054.1       1614.760        198.000        251.000          4.325          25.75       1771.099        403.098             202.0          133.9          124.4        141.533
     31/12/2002           2002        253.394        24355.9       1607.275        197.000        251.000          4.344          27.86       1875.883        452.882             202.0          148.6          137.8        124.290
     31/12/2003           2003        253.690        25434.2       1395.736        202.000        260.000          4.372          28.28       1655.099        466.217             202.0          145.8          134.9        127.653
     31/12/2004           2004        269.786        26405.7       1588.173        202.000        270.000          4.151          30.07       1783.776        462.784             202.0          165.5          155.1        134.623
     31/12/2005           2005        258.781        24275.1       1621.449        200.000        256.000          4.531          27.58       1929.621        571.857             202.0          169.9          157.0        123.663
     31/12/2006           2006        235.327        22331.7       1678.623        197.000        251.000          4.082          25.10       1998.213        323.088             202.0          144.1          133.9        133.110
     31/12/2007           2007        247.228        23890.6       1624.190        193.000        245.000          4.370          26.87       1786.918        437.286             202.0          151.8          142.2        137.159
     31/12/2008           2008        244.638        24779.4       1444.763        202.000        266.000          4.299          27.14       1347.683        719.582             202.0          164.8          152.9        109.525
     31/12/2009           2009        265.741        24535.0       1640.920        202.000        268.000          3.978          27.56       1825.225        407.757             202.0          161.0          148.8        125.907
     31/12/2010           2010        228.186        23148.5       1204.535        197.000        248.000          4.205          26.69       1154.652        849.884             202.0          164.3          154.7        141.684
     31/12/2011           2011        222.172        22076.1       1510.952        200.000        255.000          4.125          25.08       1607.996        326.898             202.0          160.9          146.1         88.004
     31/12/2012           2012        218.372        20637.7       1561.450        189.000        240.000          4.125          22.76       1906.470        236.970             202.0          105.0          101.5        171.987
     31/12/2013           2013        262.390        24143.8       1569.362        194.000        249.000          4.250          25.00       1673.836        276.352             202.0          106.8           92.1         99.462
     31/12/2014           2014        226.929        21839.7       1189.843        199.000        261.000          3.803          23.77       1278.902        699.262             202.0          161.5          149.8        107.700
     31/12/2015           2015        253.472        23387.0       1503.833        200.000        256.000          4.365          25.26       1525.592        735.326             202.0          168.7          157.0        138.725
     31/12/2016           2016        244.041        23574.1       1610.516        195.000        250.000          4.479          25.86       1886.075        535.960             202.0          167.7          158.4        141.669
