ApsimVersion = 7.9 r4044
Title = Corn_67_oat18
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        121.182        13678.8       1182.560        197.000        255.000          3.496          10.81       1177.350        327.330              67.4          183.4           85.7         60.597
     31/12/2001           2001         89.042        13396.8       1503.495        198.000        251.000          3.530          10.84       1275.926        403.098              67.4          186.8           87.8         54.902
     31/12/2002           2002        123.952        13986.8       1235.442        197.000        251.000          3.784          10.57       1046.364        452.882              67.4          180.4           83.0         51.041
     31/12/2003           2003         97.626        12268.9        921.785        202.000        260.000          3.480           9.42        975.446        466.217              67.4          169.4           73.0         49.952
     31/12/2004           2004         99.811        11446.4       1172.217        202.000        270.000          2.970           8.55        944.747        462.784              67.4          163.5           64.0         51.227
     31/12/2005           2005        116.878        12895.7       1270.160        196.000        252.000          3.746           9.80        968.420        538.710              67.4          171.1           69.6         49.200
     31/12/2006           2006        137.050        15415.5       1531.997        197.000        251.000          4.127          12.12       1480.922        323.088              67.4          191.9           92.5         54.334
     31/12/2007           2007        117.881        13363.5       1509.256        193.000        245.000          3.803          10.36       1105.731        437.286              67.4          184.0           86.5         47.831
     31/12/2008           2008         51.687         9180.7        827.181        202.000        266.000          2.737           6.71        679.018        719.582              67.4          154.2           48.7         43.284
     31/12/2009           2009        114.195        13438.2       1283.728        202.000        268.000          3.679           9.78       1045.791        407.757              67.4          167.4           67.0         48.353
     31/12/2010           2010         58.928         8191.7        740.589        197.000        248.000          2.436           6.72        608.638        849.884              67.4          159.0           62.9         53.351
     31/12/2011           2011        100.055        11807.3       1008.540        200.000        255.000          3.294           9.45        988.539        326.898              67.4          171.1           66.7         35.464
     31/12/2012           2012        152.269        15140.2       1436.558        189.000        240.000          3.961          12.69       1487.027        236.970              67.4          192.9          109.7         48.218
     31/12/2013           2013        125.141        13048.2       1351.397        194.000        249.000          3.628          10.21       1194.479        276.352              67.4          178.0           82.7         40.062
     31/12/2014           2014         72.820         9369.2        831.946        199.000        261.000          2.521           6.92        646.304        699.262              67.4          154.2           49.8         43.198
     31/12/2015           2015         92.124        10730.7        855.030        200.000        256.000          3.272           7.81        673.195        735.326              67.4          160.7           60.7         54.116
     31/12/2016           2016        126.635        14367.2       1519.927        195.000        250.000          3.925          11.02       1055.635        535.960              67.4          182.4           84.8         53.475
