ApsimVersion = 7.9 r4044
Title = Corn_0_oat31
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        165.960        16941.9       1661.657        210.000        268.000          3.730          14.58       2002.422        341.300               0.0          160.2          148.0         28.743
     31/12/2001           2001        102.828        15206.0       1585.762        198.000        251.000          3.708          13.36       1708.771        403.098               0.0          159.9          150.4         18.766
     31/12/2002           2002        161.106        15841.3       1551.984        197.000        251.000          3.708          13.58       1704.146        452.882               0.0          162.8          152.0         21.065
     31/12/2003           2003        155.560        16267.8       1277.657        202.000        260.000          3.979          13.93       1479.878        466.217               0.0          163.3          152.5         22.801
     31/12/2004           2004        168.825        16938.0       1518.765        202.000        270.000          3.806          13.96       1578.733        462.784               0.0          166.3          155.8         19.194
     31/12/2005           2005        167.502        16752.9       1602.034        200.000        256.000          4.101          14.83       1784.094        571.857               0.0          172.9          159.9         24.846
     31/12/2006           2006        162.909        16211.2       1661.681        197.000        251.000          3.867          14.47       1979.088        323.088               0.0          166.5          156.3         23.503
     31/12/2007           2007        155.948        16036.4       1596.642        193.000        245.000          3.991          14.02       1695.104        437.286               0.0          166.4          156.8         17.954
     31/12/2008           2008        140.942        14574.2       1207.959        202.000        266.000          3.362          12.58       1052.799        719.582               0.0          157.0          145.1         14.082
     31/12/2009           2009        163.620        16545.5       1581.716        202.000        268.000          3.735          13.97       1668.697        407.757               0.0          163.1          150.9         18.762
     31/12/2010           2010        145.914        15327.3       1027.419        197.000        248.000          3.964          13.15        978.135        849.884               0.0          156.8          147.2         23.135
     31/12/2011           2011        145.778        15476.1       1355.990        200.000        255.000          3.710          13.62       1475.390        326.898               0.0          168.0          153.2         15.678
     31/12/2012           2012        154.294        15693.6       1558.725        189.000        240.000          3.914          12.78       1895.569        236.970               0.0          130.2          126.7         28.269
     31/12/2013           2013        147.571        14559.4       1539.123        194.000        249.000          3.800          11.83       1592.345        276.352               0.0          147.3          132.5         13.639
     31/12/2014           2014        150.169        15451.5       1116.456        199.000        261.000          3.663          13.17       1090.776        699.262               0.0          157.7          146.1         17.552
     31/12/2015           2015        173.923        16971.3       1398.109        200.000        256.000          4.110          14.23       1332.099        735.326               0.0          164.6          153.0         25.040
     31/12/2016           2016        158.169        16475.1       1594.063        195.000        250.000          3.928          14.71       1732.709        535.960               0.0          167.8          158.6         24.287
