ApsimVersion = 7.9 r4044
Title = Corn_270_oat24
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        231.211        23667.1       1471.208        206.000        262.000          4.242          23.61       1451.882        327.330             270.0          172.4           72.0        161.002
     31/12/2001           2001        253.208        24031.2       1614.155        204.000        261.000          4.729          24.23       1579.055        405.128             270.0          189.2           88.8        144.631
     31/12/2002           2002        262.769        24978.7       1443.185        203.000        261.000          4.648          24.64       1382.077        492.002             270.0          188.7           85.4        126.508
     31/12/2003           2003        233.229        23926.0       1261.243        208.000        271.000          4.624          21.79       1330.558        482.477             270.0          172.5           72.6        125.417
     31/12/2004           2004        229.197        24571.0       1503.776        212.000        287.000          4.654          21.96       1400.803        523.754             270.0          180.5           77.9        143.533
     31/12/2005           2005        246.191        25508.9       1520.002        204.000        262.000          4.931          25.26       1404.473        580.188             270.0          196.2           93.4        125.766
     31/12/2006           2006        237.440        23421.2       1571.033        202.000        260.000          4.515          25.86       1696.148        323.596             270.0          202.8          102.4        151.369
     31/12/2007           2007        240.174        25104.6       1611.901        199.000        251.000          4.877          23.92       1514.977        452.399             270.0          197.8           99.2        131.512
     31/12/2008           2008        210.981        21935.0       1076.929        209.000        273.000          4.628          19.21        980.775        776.732             270.0          175.3           65.2        114.295
     31/12/2009           2009        248.630        24907.4       1520.436        208.000        278.000          4.418          24.04       1404.808        407.757             270.0          175.1           71.3        125.345
     31/12/2010           2010        215.211        21046.9       1084.572        203.000        256.000          4.095          19.90        797.381        938.022             270.0          177.6           79.3        144.145
     31/12/2011           2011        238.874        22564.4       1248.948        207.000        271.000          4.368          22.33       1282.835        327.148             270.0          176.8           64.7         99.266
     31/12/2012           2012        242.850        23383.9       1563.484        196.000        248.000          4.402          23.72       1626.983        276.850             270.0          153.5           69.4        172.556
     31/12/2013           2013        222.521        23688.8       1584.031        201.000        255.000          4.890          19.92       1469.344        286.258             270.0          144.5           39.7        111.586
     31/12/2014           2014        211.033        21138.3       1189.106        208.000        272.000          4.016          19.26        909.375        749.300             270.0          174.5           67.9        108.865
     31/12/2015           2015        243.129        24208.7       1207.673        206.000        265.000          4.774          22.44       1005.902        757.184             270.0          185.2           83.8        137.455
     31/12/2016           2016        236.611        24961.8       1551.694        202.000        256.000          4.992          26.46       1388.452        597.940             270.0          199.2          100.5        136.529
