ApsimVersion = 7.9 r4044
Title = Corn_67_base
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        214.312        20898.7       1675.854        210.000        268.000          4.100          19.03       2020.109        341.300              67.4          143.3          131.1         65.197
     31/12/2001           2001        175.262        19534.6       1614.159        198.000        251.000          4.519          17.11       1767.117        403.098              67.4          145.7          136.2         69.107
     31/12/2002           2002        208.512        21187.8       1607.499        197.000        251.000          4.513          18.46       1855.062        452.882              67.4          156.3          145.4         64.244
     31/12/2003           2003        204.627        21524.0       1395.860        202.000        260.000          4.621          18.53       1614.587        466.217              67.4          159.1          148.3         66.191
     31/12/2004           2004        222.600        22458.5       1583.715        202.000        270.000          4.422          19.13       1723.966        462.784              67.4          167.4          156.9         66.015
     31/12/2005           2005        216.090        21992.0       1621.332        200.000        256.000          4.733          20.08       1915.390        571.857              67.4          170.7          157.7         66.170
     31/12/2006           2006        199.194        20579.9       1680.691        197.000        251.000          4.419          18.35       1997.447        323.088              67.4          147.0          136.8         69.868
     31/12/2007           2007        198.176        20738.8       1622.483        193.000        245.000          4.613          18.36       1789.660        437.286              67.4          158.5          149.0         66.489
     31/12/2008           2008        200.477        20222.4       1403.159        202.000        266.000          4.503          17.34       1206.850        719.582              67.4          161.4          149.6         52.743
     31/12/2009           2009        212.214        21721.7       1644.613        202.000        268.000          4.242          19.15       1796.533        407.757              67.4          162.4          150.2         63.169
     31/12/2010           2010        205.704        20648.8       1199.239        197.000        248.000          4.519          18.54       1105.420        849.884              67.4          162.5          152.9         72.227
     31/12/2011           2011        217.094        20429.5       1508.848        200.000        255.000          4.401          18.50       1590.508        326.898              67.4          165.0          150.2         42.355
     31/12/2012           2012        203.073        19581.0       1561.570        189.000        240.000          4.312          16.82       1906.571        236.970              67.4          108.3          104.8         80.436
     31/12/2013           2013        189.587        19303.5       1568.083        194.000        249.000          4.504          15.61       1670.334        276.352              67.4          131.2          116.4         47.722
     31/12/2014           2014        195.577        20184.9       1199.605        199.000        261.000          4.089          18.17       1221.644        699.262              67.4          160.5          148.9         54.897
     31/12/2015           2015        224.282        21967.8       1502.577        200.000        256.000          4.652          19.65       1489.294        735.326              67.4          167.6          155.9         71.884
     31/12/2016           2016        214.001        21747.8       1609.597        195.000        250.000          4.638          19.88       1870.801        535.960              67.4          166.5          157.3         72.305
