ApsimVersion = 7.9 r4044
Title = Corn_135_oat31
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        216.725        20541.1       1662.010        210.000        268.000          3.823          22.46       2008.057        341.300             135.0          144.3          132.1         94.854
     31/12/2001           2001        168.815        22222.1       1606.460        198.000        251.000          4.433          22.13       1759.406        403.098             135.0          135.0          125.5        109.073
     31/12/2002           2002        225.919        23281.8       1594.145        197.000        251.000          4.322          24.56       1850.205        452.882             135.0          150.6          139.8         97.153
     31/12/2003           2003        228.980        23575.9       1352.367        202.000        260.000          4.474          23.18       1619.419        466.217             135.0          148.6          137.8         99.844
     31/12/2004           2004        244.811        24990.0       1560.736        202.000        270.000          4.286          24.93       1739.865        462.784             135.0          166.9          156.4        103.501
     31/12/2005           2005        232.799        23494.1       1612.843        200.000        256.000          4.518          26.54       1903.413        571.857             135.0          171.0          158.0         97.474
     31/12/2006           2006        237.716        22125.3       1671.338        197.000        251.000          4.334          24.18       1992.187        323.088             135.0          143.4          133.3        104.842
     31/12/2007           2007        238.197        23153.0       1613.581        193.000        245.000          4.417          23.94       1774.668        437.286             135.0          153.2          143.6        105.365
     31/12/2008           2008        221.651        23019.4       1320.983        202.000        266.000          4.385          22.34       1280.839        719.582             135.0          163.4          151.6         83.459
     31/12/2009           2009        260.387        24027.8       1618.624        202.000        268.000          4.110          25.22       1799.335        407.757             135.0          161.2          149.0         97.549
     31/12/2010           2010        206.318        22514.0       1158.086        197.000        248.000          4.377          23.68       1124.748        849.884             135.0          163.4          153.8        110.614
     31/12/2011           2011        201.461        21602.3       1455.683        200.000        255.000          4.211          23.50       1576.646        326.898             135.0          160.3          145.5         66.114
     31/12/2012           2012        194.217        19711.0       1559.167        189.000        240.000          4.000          21.00       1895.552        236.970             135.0          106.7          103.2        128.514
     31/12/2013           2013        241.510        22160.0       1548.533        194.000        249.000          4.230          20.34       1657.922        276.352             135.0          115.5          100.8         75.385
     31/12/2014           2014        226.886        21426.8       1180.692        199.000        261.000          3.937          22.67       1253.352        699.262             135.0          161.1          149.4         83.524
     31/12/2015           2015        229.980        22714.4       1485.252        200.000        256.000          4.414          24.71       1468.547        735.326             135.0          168.2          156.5        108.531
     31/12/2016           2016        220.625        22933.5       1605.025        195.000        250.000          4.582          25.49       1866.980        535.960             135.0          168.0          158.8        110.402
