ApsimVersion = 7.9 r4044
Title = CS_270_base
           Date           year      CropYield      corn_buac       soy_buac          Bioma      RootDepth         sowDOY       emergDOY     FlowerDate   MaturityDate    Harvest_doy   FallFrostDOY    LAI_maximum       ETAnnual CropTranspiration      TotalNupt     GrainlNupt AvgDroughtStress AvgExcessiveWStress     AvgNStress  AvgWTInseason DaysWTbelow50cm       EOAnnual   RunoffAnnual       Drainage             NR     GrossMiner       NetMiner     NlossTotal         Denitr   NLeachAnnual          AvgWT  NO3_atHarvest   NO3_atSowing NO3_30cmHarvest NO3_30cmSowing   CropYield_kg        SOC_7cm       SOC_22cm       SOC_45cm       SOC_75cm      SOC_105cm        crop_hi Maize_GrainsNumber Maize_GrainSize ResidueWTatSowing ResidueNatSowing      SoyNfixed       StoverWT StoverNitrogen       StoverCN    FOM_january   BIOM_january  RootWt_atHarv       RS_ratio      NconcRoot       NHI_crop
   (dd/mm/yyyy)         (year)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()                ()             ()             ()               ()                  ()             ()           (mm)              ()           (mm)           (mm)             ()        (kg/ha)        (kg/ha)        (kg/ha)             ()        (kg/ha)             ()           (mm)        (kg/ha)        (kg/ha)              ()             ()             ()             ()             ()             ()             ()             ()             ()                 ()             (g)           (kg/ha)          (kg/ha)        (g/m^2)             ()             ()             ()        (kg/ha)        (kg/ha)             ()             ()             ()             ()
     31/12/2001           2001        153.530        153.530          0.000      19601.291       1564.819            129        134.000        199.000        248.000        288.000        278.000          4.246        737.297           283.303        220.879        119.163            1.993               1.000          1.748       1660.832           0.000        934.504         42.863        -50.372          270.0          135.6          110.9         94.486           65.9         28.801       1347.172          122.5           89.5          55.756         55.756       8207.602          2.526          2.011          1.447          0.730          0.492          0.429           2918.412           0.281             261.9              2.8           0.00       9935.600         94.425         42.089         1618.0         4634.6       1995.121          0.102          1.070          0.539
     31/12/2002           2002         49.579          0.000         49.579       6228.838       1196.625            129        134.000        183.000        251.000        287.000        280.000          3.710        466.648           242.959        214.306        179.484            1.000               0.971          1.000        952.830          44.000        945.810         50.424        194.766            0.6          105.3           46.6         77.663           54.5         23.006       1072.422           37.5           63.3           1.551          1.551       2894.909          2.598          2.005          1.447          0.730          0.492          0.504              0.000           0.000            5490.2             61.9          19.20       2748.585         23.312         47.161         2880.3         4351.9        976.354          0.170          1.505          0.877
     31/12/2003           2003        222.443        222.443          0.000      22562.502       1515.853            119        126.000        198.000        253.000        294.000        273.000          4.381        764.488           322.851        264.722        171.059            1.992               1.000          1.759       1504.379           0.000        945.893         40.312        -36.708          270.0          149.1          131.9        106.153           73.6         32.677       1350.156           86.5           70.2          38.821         38.821      11891.621          2.592          1.999          1.445          0.730          0.492          0.536           3969.878           0.300             688.5              7.1           0.00       8969.938         85.158         42.133         2700.0         5379.6       2283.177          0.101          1.071          0.646
     31/12/2004           2004         52.548          0.000         52.548       6201.609       1505.198            119        126.000        196.000          0.000        258.000        276.000          4.222        545.573           198.274        243.747        190.230            1.000               0.968          1.000       1095.485          14.000        893.732         56.209        222.150            0.6          113.9           66.0         64.586           42.0         22.489       1073.173           17.1           47.8           0.967          0.967       3068.222          2.629          1.995          1.445          0.730          0.492          0.495              0.000           0.000            2610.5             22.9          20.56       3055.143         51.953         23.523         2605.5         5009.8       1187.182          0.191          1.500          0.780
     31/12/2005           2005        233.752        233.752          0.000      21651.859       1565.943            125        129.000        196.000        250.000        290.000        280.000          4.426        795.764           313.194        246.474        165.030            1.993               1.000          1.754       1616.745           0.000        962.564         85.708        -71.495          270.0          183.7          172.8        106.659           74.5         32.396       1373.977          152.1           32.6          12.441         12.441      12496.184          2.599          1.987          1.444          0.730          0.493          0.586           4327.363           0.289             409.4              6.9           0.00       7614.732         73.739         41.307         1880.0         5496.6       2201.335          0.102          1.071          0.670
     31/12/2006           2006         72.101          0.000         72.101       8717.067       1625.284            125        129.000        193.000        275.000        275.000        284.000          7.113        669.672           347.283        323.352        261.014            0.985               1.000          1.000       1701.412           0.000        920.123          0.020        -27.169            0.2          136.4           96.6         74.914           55.6         19.075       1334.513           24.6           80.3           2.233          2.233       4209.901          2.627          1.982          1.443          0.730          0.493          0.534              0.000           0.000            1369.8             12.2          24.94      -4209.901          0.000         34.367         2165.7         4717.3          0.000          0.000          0.000          0.000
     31/12/2007           2007        217.744        217.744          0.000      21657.084       1567.982            133        138.000        199.000        251.000        284.000        296.000          4.646        778.282           310.354        243.568        155.859            1.985               1.000          1.777       1610.156           0.000        979.021         58.537        114.864          270.0          174.3          149.7        129.974           83.9         46.172       1172.850          127.8          155.3         104.327        104.327      11640.394          2.610          1.974          1.441          0.730          0.493          0.548           4324.691           0.269             441.5              5.8           0.00       8754.530         81.398         43.021         1377.5         5014.2       2434.440          0.112          1.069          0.640
     31/12/2008           2008         44.045          0.000         44.045       5133.578       1148.790            133        138.000        195.000          0.000        266.000        295.000          2.565        536.432           179.289        190.159        159.448            1.000               0.911          1.000        837.057          36.000        874.250        208.189        383.303            0.4           90.0           42.6         83.664           55.7         27.764        889.273           31.1           61.2           0.968          0.968       2571.750          2.644          1.971          1.441          0.730          0.493          0.501              0.000           0.000            2339.5             20.5          16.20       2499.945         29.017         34.462         2181.6         4490.0        869.350          0.169          1.503          0.841
     31/12/2009           2009        234.356        234.356          0.000      21766.223       1527.885            125        131.000        199.000        262.000        286.000        282.000          4.072        729.612           259.084        244.391        163.557            1.994               1.000          1.847       1593.424           0.000        886.727         33.363         75.448          270.1          137.0          121.2        111.265           69.8         41.600       1215.353          109.9           22.7           4.444          4.444      12528.444          2.626          1.965          1.439          0.730          0.493          0.585           4157.761           0.301             279.4              3.4           0.00       7770.517         73.498         42.290         1682.7         4976.6       2072.374          0.095          1.069          0.669
     31/12/2010           2010         40.982          0.000         40.982       5954.036       1026.511            125        131.000        182.000        244.000        271.000        301.000          3.927        592.343           210.181        188.801        148.359            1.000               0.920          1.000        677.050          49.000        939.972        198.777        472.288            0.7          106.4           68.1         76.726           53.2         23.337        794.390           37.3           53.7           0.742          0.742       2392.884          2.649          1.962          1.439          0.730          0.493          0.439              0.000           0.000            1972.5             17.3          16.92       2966.123         29.233         40.586         2140.5         4484.8       1059.631          0.194          1.500          0.826
     31/12/2011           2011        177.782        177.782          0.000      19061.404       1512.885            131        138.000        202.000        256.000        293.000        293.000          4.004        637.077           216.027        216.347        133.173            1.994               1.000          1.759       1556.580           0.000        883.747          7.512        -27.721          270.0          145.3          126.6        107.241           81.8         25.643       1325.607          135.1           27.9           5.204          5.204       9504.091          2.635          1.955          1.437          0.730          0.494          0.510           3115.906           0.305             818.7              8.9           0.00       8446.208         77.618         43.527         1718.1         4763.4       1829.414          0.096          1.070          0.616
     31/12/2012           2012         69.523          0.000         69.523       8477.416       1609.986            131        138.000        185.000        252.000        278.000        279.000          6.670        771.533           424.597        284.401        249.578            0.856               1.000          1.000       1741.335           0.000       1041.044         14.338        -69.347            0.5          128.2           66.6         79.532           54.2         25.118       1374.422           28.8           68.1           1.633          1.633       4059.413          2.678          1.949          1.436          0.730          0.494          0.528              0.000           0.000            1310.2             11.4          25.15      -4059.413          0.000         52.440         2046.6         4329.4          0.000          0.000          0.000          0.000
     31/12/2013           2013        162.145        162.145          0.000      21015.006       1550.896            144        149.000        206.000        260.000        281.000        294.000          4.181        774.635           316.538        238.477        127.141            1.912               1.000          1.834       1705.252           0.000        968.118         14.357       -185.158          270.0          121.9           97.9         33.787           27.7          6.189       1483.975          117.9           24.6           7.805          7.805       8668.128          2.670          1.943          1.435          0.729          0.494          0.416           3436.967           0.252             618.1              5.6           0.00      11469.987        106.951         42.898         1248.6         4884.5       2156.325          0.103          1.067          0.533
     31/12/2014           2014         47.119          0.000         47.119       5989.532       1209.200            144        149.000        190.000        270.000        283.000        304.000          4.425        527.112           191.971        209.308        170.576            1.000               0.930          1.000        772.845          46.000        868.159         73.044        375.637            0.3           90.2           35.5         88.625           54.7         33.850        913.302           27.4           65.6           2.319          2.319       2751.231          2.719          1.940          1.434          0.729          0.494          0.517              0.000           0.000            2278.6             20.5          18.16       2465.128         27.862         35.390         2299.6         4593.0       1140.902          0.214          1.507          0.850
     31/12/2015           2015        203.567        203.567          0.000      21086.928       1519.420            133        138.000        203.000        259.000        280.000        303.000          4.594        774.052           277.782        233.523        144.214            1.993               1.000          1.846       1338.398           0.000        961.521        167.966        111.624          270.0          161.3          132.8        146.045           99.1         47.161       1179.570          107.3           25.4          10.158         10.158      10882.491          2.708          1.934          1.434          0.729          0.494          0.527           3544.629           0.307             219.6              2.8           0.00       9160.954         84.092         43.576         2076.2         5302.7       2254.523          0.107          1.068          0.618
     31/12/2016           2016         60.198          0.000         60.198       7550.187       1527.500            133        138.000        184.000        251.000        272.000        287.000          5.959        647.604           276.130        262.711        217.924            1.000               0.994          1.000       1249.350           1.000        966.985         66.114        202.714            1.0          164.2          121.0         59.776           46.2         13.403       1089.660           36.6           43.9           0.678          0.678       3514.900          2.722          1.928          1.432          0.729          0.494          0.511              0.000           0.000            1437.2             12.6          20.98      -3514.900          0.000         44.107         2050.2         4910.2          0.000          0.000          0.000          0.000
     31/12/2017           2017        139.847        139.847          0.000      14247.203       1517.016            121        127.000        191.000        245.000        280.000        300.000          3.810        663.059           204.513        122.042         78.183            1.994               1.000          1.612       1458.703           0.000        977.677         22.786        137.852            0.3          177.3          150.9         44.850           29.5         15.288       1151.663           38.5           31.1           5.188          5.188       7476.105          2.693          1.921          1.430          0.728          0.494          0.534           2439.884           0.306             444.3              4.7           0.00       5657.338         38.290         59.099         1088.2         4917.8       1686.162          0.118          1.002          0.641
     31/12/2018           2018         10.171         10.171          0.000       4826.154        835.857            121        126.000        186.000        238.000        280.000        287.000          1.151        462.063            68.714         45.186          7.019            1.994               1.000          1.601        726.615          46.000        923.875        185.184        546.260            0.8           96.4           58.8         35.786           23.0         12.795        711.494           23.9           18.0           0.534          0.534        543.757          2.695          1.917          1.430          0.728          0.494          0.115            179.841           0.302            1926.3             12.5           0.00       3888.924         36.200         42.972         1566.9         4166.5        455.170          0.094          1.059          0.155
     31/12/2019           2019        182.066        182.066          0.000      17491.432       1506.000            156        159.000        216.000        274.000        310.000        284.000          3.967        647.252           228.514        196.841        126.000            1.994               1.000          1.739       1359.370           0.000        853.761         46.093        235.712          270.0          120.6          103.4        104.209           60.3         44.239       1047.883          131.1           12.1           1.754          1.754       9733.082          2.681          1.911          1.428          0.728          0.494          0.564           3634.286           0.268             289.1              2.6           0.00       6383.298         63.965         39.918         1414.6         4110.7       1870.745          0.107          1.071          0.640
