ApsimVersion = 7.9 r4044
Title = A_CC_270
           Date           year      CropYield      corn_buac       soy_buac          Bioma      RootDepth         sowDOY       emergDOY     FlowerDate   MaturityDate    Harvest_doy   FallFrostDOY    LAI_maximum       ETAnnual CropTranspiration      TotalNupt     GrainlNupt AvgDroughtStress AvgExcessiveWStress     AvgNStress  AvgWTInseason DaysWTbelow50cm       EOAnnual   RunoffAnnual       Drainage             NR     GrossMiner       NetMiner     NlossTotal         Denitr   NLeachAnnual          AvgWT  NO3_atHarvest   NO3_atSowing NO3_30cmHarvest NO3_30cmSowing   CropYield_kg        SOC_7cm       SOC_22cm       SOC_45cm       SOC_75cm      SOC_105cm        crop_hi Maize_GrainsNumber Maize_GrainSize ResidueWTatSowing ResidueNatSowing      SoyNfixed       StoverWT StoverNitrogen       StoverCN    FOM_january   BIOM_january  RootWt_atHarv       RS_ratio      NconcRoot       NHI_crop
   (dd/mm/yyyy)         (year)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()                ()             ()             ()               ()                  ()             ()           (mm)              ()           (mm)           (mm)             ()        (kg/ha)        (kg/ha)        (kg/ha)             ()        (kg/ha)             ()           (mm)        (kg/ha)        (kg/ha)              ()             ()             ()             ()             ()             ()             ()             ()             ()                 ()             (g)           (kg/ha)          (kg/ha)        (g/m^2)             ()             ()             ()        (kg/ha)        (kg/ha)             ()             ()             ()             ()
     31/12/2001           2001        153.291        153.291          0.000      19557.506       1552.809            129        134.000        199.000        248.000        288.000        278.000          4.230        633.815           282.659        219.876        119.032            1.994               1.000          1.743       1509.957           1.000        918.043         37.290         72.869          270.0          126.0           85.0        102.993           76.2         26.933       1216.581           94.9           97.5          54.472         54.472       8194.818          2.564          2.012          1.449          0.731          0.492          0.430           2913.868           0.281             826.7              7.3           0.00       9916.914         93.615         42.373         2744.8         4908.9       1985.150          0.102          1.070          0.541
     31/12/2002           2002        212.938        212.938          0.000      20971.703       1527.038            123        128.000        192.000        245.000        281.000        280.000          4.317        626.346           308.957        240.350        156.427            1.994               1.000          1.768       1382.336           6.000        955.390         53.117         20.626          270.0          122.3           87.3        113.934           88.5         25.433       1275.054           93.0           70.1          16.731         16.731      11383.482          2.583          2.006          1.448          0.732          0.493          0.555           3855.496           0.295            1410.7             12.5           0.00       8475.504         78.359         43.265         3246.0         5010.6       1991.962          0.095          1.070          0.651
     31/12/2003           2003        221.090        221.090          0.000      22434.566       1281.421            119        126.000        198.000        253.000        294.000        273.000          4.334        654.738           321.037        262.909        169.972            1.990               1.000          1.756       1299.387          19.000        930.752         40.115         85.351          270.0          113.1           79.4        120.273           93.8         26.403       1201.886           52.4           94.6          35.791         35.791      11819.299          2.601          2.002          1.447          0.732          0.493          0.536           3945.735           0.300            1233.2             10.8           0.00       8941.033         84.566         42.292         3232.2         5119.3       2260.684          0.101          1.070          0.647
     31/12/2004           2004        254.127        254.127          0.000      23691.352       1503.524            118        125.000        198.000        263.000        286.000        276.000          4.394        566.379           276.923        239.649        166.324            1.994               1.000          1.822       1237.553          12.000        892.883         42.485        192.003          270.0          100.9           55.8        108.161           84.2         23.900       1094.384           27.3          111.1          55.579         55.579      13585.391          2.634          1.999          1.448          0.732          0.493          0.582           4100.543           0.331            1597.0             14.0           0.00       8792.301         66.756         52.683         3732.5         5238.6       2362.116          0.100          1.069          0.694
     31/12/2005           2005        233.536        233.536          0.000      21604.057       1510.039            125        129.000        196.000        250.000        290.000        280.000          4.411        617.886           312.512        244.067        164.675            1.994               1.000          1.749       1333.646           7.000        938.563         74.893        130.364          270.0          134.0           94.7         78.975           63.3         15.723       1161.477           62.6           16.5           1.575          1.575      12484.644          2.648          1.994          1.447          0.733          0.493          0.587           4324.271           0.289            1529.0             11.1           0.00       7592.413         71.758         42.322         3694.2         5654.7       2190.314          0.101          1.071          0.675
     31/12/2006           2006        201.997        201.997          0.000      19414.029       1558.086            129        136.000        198.000        250.000        292.000        284.000          4.141        609.239           273.017        220.275        143.784            1.993               1.000          1.743       1645.310           0.000        927.839          4.680          0.346          270.0          148.7          115.2        116.999           76.2         41.054       1293.064          148.1           58.9          16.682         16.682      10798.592          2.656          1.988          1.446          0.733          0.493          0.569           4152.157           0.260             909.8              7.9           0.00       7023.748         68.532         40.995         3319.0         5634.1       2043.421          0.105          1.071          0.653
     31/12/2007           2007        217.687        217.687          0.000      21634.117       1562.634            133        138.000        199.000        251.000        284.000        296.000          4.642        682.056           310.012        243.084        155.778            1.991               1.000          1.774       1492.885           1.000        964.553         66.048        221.076          270.0          153.2          115.9        203.792          139.8         63.833       1060.369          125.9          203.0          99.769         99.769      11637.354          2.662          1.982          1.446          0.733          0.493          0.549           4324.072           0.269             719.4              6.4           0.00       8746.738         81.056         43.164         3161.5         5481.0       2427.698          0.112          1.069          0.641
     31/12/2008           2008        230.195        230.195          0.000      20838.197       1279.192            135        140.000        206.000        271.000        308.000        295.000          4.050        614.424           272.391        233.387        158.830            1.994               1.000          1.775       1055.841          21.000        876.946        168.455        336.965          270.3           99.1           70.2        168.011          127.5         40.430        938.973           51.4          105.1          34.911         34.911      12306.025          2.680          1.978          1.445          0.733          0.494          0.601           3555.121           0.346            1272.6             11.1           0.00       7040.986         67.101         41.972         3314.8         5350.7       1914.291          0.092          1.071          0.681
     31/12/2009           2009        234.079        234.079          0.000      21720.521       1517.000            125        131.000        199.000        262.000        286.000        282.000          4.058        569.787           258.513        243.342        163.172            1.994               1.000          1.842       1359.799           2.000        864.080         18.463        257.934          270.1          111.7           76.0        105.143           75.6         29.540       1021.685           60.0           27.0           0.564          0.564      12513.683          2.700          1.974          1.445          0.734          0.494          0.586           4154.366           0.301            1314.5             11.5           0.00       7751.698         72.895         42.536         3483.0         5485.3       2062.757          0.095          1.069          0.671
     31/12/2010           2010        203.830        203.830          0.000      19082.900        908.051            119        125.000        191.000        240.000        280.000        301.000          3.838        582.474           257.623        213.301        147.492            1.994               1.000          1.741        761.710          41.000        937.582        196.949        473.037          270.0          120.8           80.7        158.838          116.4         42.402        793.722           60.0           30.5           0.630          0.630      10896.561          2.717          1.971          1.445          0.734          0.494          0.587           4099.871           0.266            1239.4             10.8           0.00       7109.074         60.423         47.062         3375.8         5654.6       1846.046          0.097          1.070          0.691
     31/12/2011           2011        177.453        177.453          0.000      19086.541       1513.636            131        138.000        202.000        256.000        293.000        293.000          4.014        539.161           216.281        216.246        132.927            1.994               1.000          1.757       1406.851           0.000        869.666          7.492         79.942          270.0          138.7          109.2        110.471           87.6         22.967       1210.354          108.7           27.0           1.035          1.035       9486.485          2.721          1.967          1.444          0.734          0.494          0.508           3110.134           0.305            1350.4             10.9           0.00       8484.767         77.743         43.656         3064.1         5756.7       1833.000          0.096          1.070          0.615
     31/12/2012           2012        205.437        205.437          0.000      19178.748       1533.525            131        136.000        190.000        239.000        278.000        279.000          3.996        726.081           330.270        222.813        150.458            1.892               1.000          1.740       1772.961           0.000       1051.161         10.211        -73.435          270.0          164.0          108.9        114.158           86.0         28.181       1368.555          178.6          125.0           2.295          2.295      10982.505          2.742          1.959          1.442          0.733          0.494          0.584           4065.063           0.270             422.6              3.7           0.00       7161.673         67.182         42.641         3221.8         5534.9       1711.205          0.089          1.070          0.675
     31/12/2013           2013        162.787        162.787          0.000      21131.691       1547.350            144        149.000        206.000        260.000        281.000        294.000          4.251        684.631           318.305        240.743        128.489            1.937               1.000          1.833       1608.285           6.000        953.780         24.501        -82.971          270.0          121.8           91.1        122.256           93.3         28.882       1357.229          165.4           99.5           9.193          9.193       8702.475          2.750          1.953          1.441          0.733          0.494          0.415           3450.585           0.252             842.1              7.4           0.00      11565.291        107.934         42.860         2479.0         5558.9       2159.225          0.102          1.068          0.534
     31/12/2014           2014        192.352        192.352          0.000      18026.346        957.711            127        132.000        199.000        256.000        290.000        304.000          3.577        526.807           219.318        202.569        133.811            1.994               1.000          1.779        821.754          38.000        868.973         71.417        364.854          270.0           95.5           51.0        256.353          178.2         78.144        923.906           90.7          107.2           4.926          4.926      10282.985          2.789          1.950          1.441          0.733          0.494          0.572           3886.125           0.265            1498.5             13.5           0.00       6872.411         64.404         42.683         3659.4         5491.5       1845.094          0.102          1.070          0.661
     31/12/2015           2015        203.393        203.393          0.000      21057.318       1367.127            133        138.000        203.000        259.000        280.000        303.000          4.582        651.719           277.406        233.031        144.074            1.993               1.000          1.844       1177.949           0.000        944.235        178.139        235.416          270.0          150.3          106.1        156.781          117.4         39.365       1047.251           95.5           42.8           1.751          1.751      10873.224          2.801          1.947          1.440          0.732          0.494          0.527           3541.611           0.307             595.6              5.3           0.00       9147.778         83.775         43.678         3197.9         5945.8       2248.254          0.107          1.068          0.618
     31/12/2016           2016        209.157        209.157          0.000      20835.094       1564.719            118        126.000        189.000        240.000        285.000        287.000          4.705        607.860           282.753        232.957        147.941            1.994               1.000          1.727       1308.792           0.000        968.359        128.394        168.374          270.0          170.4          121.7        148.141          108.0         40.173       1122.121          120.3           42.2           1.143          1.143      11181.364          2.810          1.941          1.439          0.733          0.494          0.543           4476.745           0.250            1161.5             10.1           0.00       7877.759         76.135         41.388         3097.9         5903.1       2260.467          0.108          1.071          0.635
     31/12/2017           2017        121.770        121.770          0.000      11724.440       1509.243            121        127.000        189.000        241.000        284.000        300.000          3.002        561.127           167.803        107.111         70.282            1.994               1.000          1.530       1268.315          18.000        966.982         13.054        261.337            0.3          174.8          136.7         87.939           58.2         29.625       1021.319           58.4           55.1           1.697          1.697       6509.730          2.803          1.935          1.438          0.733          0.494          0.567           2208.647           0.295             975.8              8.6           0.00       4241.609         31.964         53.080         2873.3         5795.5       1177.819          0.100          1.046          0.656
     31/12/2018           2018         86.434         86.434          0.000      10054.593        938.779            121        126.000        186.000        237.000        284.000        287.000          2.947        532.217           140.719         85.923         49.217            1.994               1.000          1.543        792.099          41.000        922.232        166.510        491.070            0.8          130.8          110.1         47.988           33.1         14.884        770.961           29.0           29.1           2.050          2.050       4620.668          2.786          1.930          1.437          0.732          0.494          0.469           1566.045           0.295             846.0              6.0           0.00       4300.570         31.039         55.421         2053.8         5373.5       1208.032          0.120          0.983          0.573
     31/12/2019           2019        181.180        181.180          0.000      17355.861       1506.000            156        159.000        216.000        274.000        310.000        284.000          3.909        647.632           226.705        194.265        125.749            1.994               1.000          1.739       1347.007           0.000        853.408         45.953        237.252          270.0          124.2          105.1        111.318           65.6         45.996       1046.059          135.1           14.4           1.468          1.468       9685.699          2.774          1.925          1.435          0.731          0.494          0.565           3638.375           0.266             335.2              2.3           0.00       6322.469         61.778         40.937         2269.8         4852.6       1846.833          0.106          1.071          0.647
