ApsimVersion = 7.9 r4044
Title = craw-2009
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai           Rain    dlt_n_min()
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)           (mm)        (kg/ha)
     11/03/2009           2009            0.0            0.0        166.171           37.6            0.0          0.000          0.760           -0.0
     12/03/2009           2009            0.0            0.0        186.367           37.5            0.0          0.000          0.000           -0.0
     13/03/2009           2009            0.0            0.0        228.755           37.3            0.0          0.000          0.000           -0.0
     14/03/2009           2009            0.0            0.0        287.718           37.2            0.0          0.000          0.000           -0.0
     15/03/2009           2009            0.0            0.0        359.027           37.2            0.0          0.000          0.000            0.0
     16/03/2009           2009            0.0            0.0        391.450           37.2            0.0          0.000          0.000            0.1
     17/03/2009           2009            0.0            0.0        437.921           37.4            0.0          0.000          0.000            0.1
     18/03/2009           2009            0.0            0.0        481.437           37.7            0.0          0.000          0.000            0.1
     19/03/2009           2009            0.0            0.0        509.865           37.7            0.0          0.000          0.000            0.1
     20/03/2009           2009            0.0            0.0        561.241           37.8            0.0          0.000          0.000            0.0
     21/03/2009           2009            0.0            0.0        590.007           38.0            0.0          0.000          0.000            0.1
     22/03/2009           2009            0.0            0.0        620.580           38.2            0.0          0.000          0.000            0.1
     23/03/2009           2009            0.0            0.0        640.227           38.7            0.0          0.000          3.300            0.2
     24/03/2009           2009            0.0            0.0        644.835           39.1            0.0          0.000          1.780            0.2
     25/03/2009           2009            0.0            0.0        592.309           39.3            0.0          0.000         10.670            0.1
     26/03/2009           2009            0.0            0.0        575.377           39.4            0.0          0.000          0.250            0.1
     27/03/2009           2009            0.0            0.0        579.024           39.5            0.0          0.000          0.510            0.0
     28/03/2009           2009            0.0            0.0        587.852           39.4            0.0          0.000          0.000            0.0
     29/03/2009           2009            0.0            0.0        569.606           39.4            0.0          0.000          8.890            0.0
     30/03/2009           2009            0.0            0.0        572.315           39.4            0.0          0.000          0.000            0.0
     31/03/2009           2009            0.0            0.0        590.330           39.5            0.0          0.000          0.250            0.1
     01/04/2009           2009            0.0            0.0        625.259           39.5            0.0          0.000          0.000            0.1
     02/04/2009           2009            0.0            0.0        660.005           39.6            0.0          0.000          0.000            0.1
     03/04/2009           2009            0.0            0.0        685.033           39.7            0.0          0.000          3.560            0.1
     04/04/2009           2009            0.0            0.0        711.061           39.8            0.0          0.000          0.000            0.1
     05/04/2009           2009            0.0            0.0        728.562           39.9            0.0          0.000          3.050            0.1
     06/04/2009           2009            0.0            0.0        731.416           39.9            0.0          0.000          2.540            0.0
     07/04/2009           2009            0.0            0.0        747.250           39.9            0.0          0.000          0.000            0.0
     08/04/2009           2009            0.0            0.0        773.229           39.9            0.0          0.000          0.000            0.0
     09/04/2009           2009            0.0            0.0        791.850           40.0            0.0          0.000          0.000            0.0
     10/04/2009           2009            0.0            0.0        815.673           40.1            0.0          0.000          0.000            0.1
     11/04/2009           2009            0.0            0.0        848.415           40.2            0.0          0.000          0.000            0.1
     12/04/2009           2009            0.0            0.0        887.728           40.3            0.0          0.000          0.000            0.1
     13/04/2009           2009            0.0            0.0        906.689           40.5            0.0          0.000         15.240            0.1
     14/04/2009           2009            0.0            0.0        892.946           40.6            0.0          0.000          0.000            0.1
     15/04/2009           2009            0.0            0.0        893.186           40.8            0.0          0.000          0.000            0.1
     16/04/2009           2009            0.0            0.0        912.747           41.0            0.0          0.000          0.000            0.2
     17/04/2009           2009            0.0            0.0        947.322           41.4            0.0          0.000          0.000            0.2
     18/04/2009           2009            0.0            0.0        990.872           41.9            0.0          0.000          0.508            0.3
     19/04/2009           2009            0.0            0.0       1030.538           42.4            0.0          0.000          1.524            0.2
     20/04/2009           2009            0.0            0.0       1068.966           42.7            0.0          0.000          0.000            0.2
     21/04/2009           2009            0.0            0.0       1091.097           43.0            0.0          0.000          0.000            0.2
     22/04/2009           2009            0.0            0.0       1137.458           43.4            0.0          0.000          0.000            0.2
     23/04/2009           2009            0.0            0.0       1165.185           44.0            0.0          0.000          1.016            0.4
     24/04/2009           2009            0.0            0.0       1190.110           44.9            0.0          0.000          0.254            0.5
     25/04/2009           2009            0.0            0.0       1210.483           45.8            0.0          0.000         14.986            0.4
     26/04/2009           2009            0.0            0.0       1219.370           46.7            0.0          0.000          6.604            0.5
     27/04/2009           2009            0.0            0.0       1212.699           47.5            0.0          0.000          3.556            0.4
     28/04/2009           2009            0.0            0.0       1202.958           48.0            0.0          0.000          0.000            0.3
     29/04/2009           2009            0.0            0.0       1183.851           48.6            0.0          0.000         26.924            0.2
     30/04/2009           2009            0.0            0.0       1101.284           49.4            0.0          0.000         36.576            0.3
     01/05/2009           2009            0.0            0.0        621.190           49.8            0.0          0.000          0.254            0.3
     02/05/2009           2009            0.0            0.0        592.584           50.3            0.0          0.000          0.000            0.3
     03/05/2009           2009            0.0            0.0        632.730           50.7            0.0          0.000          0.000            0.4
     04/05/2009           2009            0.0            0.0        687.321           51.2            0.0          0.000          0.000            0.4
     05/05/2009           2009            0.0            0.0        733.507           51.8            0.0          0.000          0.000            0.5
