ApsimVersion = 7.9 r4044
Title = ames-2004
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai    dlt_n_min()           Rain
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)           (mm)
     01/01/2004           2004            0.0            0.0        697.093           26.8            0.0          0.000            0.1          0.000
     02/01/2004           2004            0.0            0.0        721.515           27.3            0.0          0.000            0.1          0.000
     03/01/2004           2004            0.0            0.0        737.233           27.6            0.0          0.000            0.0          0.000
     04/01/2004           2004            0.0            0.0        744.454           27.7            0.0          0.000            0.0          1.520
     05/01/2004           2004            0.0            0.0        757.267           27.7            0.0          0.000           -0.0          0.000
     06/01/2004           2004            0.0            0.0        774.746           27.7            0.0          0.000           -0.0          0.000
     07/01/2004           2004            0.0            0.0        795.148           27.6            0.0          0.000           -0.0          0.000
     08/01/2004           2004            0.0            0.0        817.080           27.5            0.0          0.000           -0.0          0.000
     09/01/2004           2004            0.0            0.0        834.651           27.5            0.0          0.000           -0.0          0.510
     10/01/2004           2004            0.0            0.0        855.138           27.4            0.0          0.000           -0.0          0.000
     11/01/2004           2004            0.0            0.0        871.635           27.4            0.0          0.000           -0.0          0.000
     12/01/2004           2004            0.0            0.0        915.556           27.3            0.0          0.000           -0.0          0.000
     13/01/2004           2004            0.0            0.0        931.230           27.3            0.0          0.000           -0.0          0.000
     14/01/2004           2004            0.0            0.0        945.710           27.2            0.0          0.000           -0.0          0.000
     15/01/2004           2004            0.0            0.0        960.034           27.2            0.0          0.000           -0.0          0.000
     16/01/2004           2004            0.0            0.0        967.608           27.1            0.0          0.000           -0.0          0.000
     17/01/2004           2004            0.0            0.0        973.762           27.2            0.0          0.000           -0.0          8.890
     18/01/2004           2004            0.0            0.0        967.028           27.1            0.0          0.000           -0.0          0.000
     19/01/2004           2004            0.0            0.0        964.500           27.1            0.0          0.000           -0.0          0.000
     20/01/2004           2004            0.0            0.0        962.988           27.0            0.0          0.000           -0.0          0.000
     21/01/2004           2004            0.0            0.0        963.161           27.0            0.0          0.000           -0.0          0.000
     22/01/2004           2004            0.0            0.0        969.386           26.9            0.0          0.000           -0.0          0.000
     23/01/2004           2004            0.0            0.0        982.867           26.9            0.0          0.000           -0.0          0.000
     24/01/2004           2004            0.0            0.0        989.529           26.8            0.0          0.000           -0.0          0.000
     25/01/2004           2004            0.0            0.0        994.346           26.8            0.0          0.000           -0.0          0.000
     26/01/2004           2004            0.0            0.0        985.076           26.7            0.0          0.000           -0.0          6.350
     27/01/2004           2004            0.0            0.0        977.963           26.7            0.0          0.000           -0.0          1.270
     28/01/2004           2004            0.0            0.0        976.732           26.7            0.0          0.000           -0.0          0.000
     29/01/2004           2004            0.0            0.0        977.905           26.6            0.0          0.000           -0.0          0.000
     30/01/2004           2004            0.0            0.0        978.924           26.6            0.0          0.000           -0.0          0.760
     31/01/2004           2004            0.0            0.0        981.191           26.5            0.0          0.000           -0.0          0.000
     01/02/2004           2004            0.0            0.0        972.552           26.5            0.0          0.000           -0.0          6.100
     02/02/2004           2004            0.0            0.0        924.874           26.5            0.0          0.000           -0.0          9.400
     03/02/2004           2004            0.0            0.0        877.063           26.5            0.0          0.000           -0.0          0.000
     04/02/2004           2004            0.0            0.0        876.970           26.4            0.0          0.000           -0.0          0.000
     05/02/2004           2004            0.0            0.0        873.016           26.4            0.0          0.000           -0.0          2.790
     06/02/2004           2004            0.0            0.0        848.186           26.3            0.0          0.000           -0.0          4.320
     07/02/2004           2004            0.0            0.0        759.663           26.3            0.0          0.000           -0.0          0.000
     08/02/2004           2004            0.0            0.0        775.280           26.2            0.0          0.000           -0.0          0.000
     09/02/2004           2004            0.0            0.0        797.409           26.1            0.0          0.000           -0.0          0.000
     10/02/2004           2004            0.0            0.0        821.569           26.1            0.0          0.000           -0.0          0.000
     11/02/2004           2004            0.0            0.0        846.791           26.0            0.0          0.000           -0.0          0.000
     12/02/2004           2004            0.0            0.0        865.446           26.0            0.0          0.000           -0.0          0.000
     13/02/2004           2004            0.0            0.0        901.621           25.9            0.0          0.000           -0.0          0.000
     14/02/2004           2004            0.0            0.0        915.006           25.8            0.0          0.000           -0.0          0.000
     15/02/2004           2004            0.0            0.0        923.809           25.8            0.0          0.000           -0.0          0.000
     16/02/2004           2004            0.0            0.0        933.452           25.7            0.0          0.000           -0.0          0.000
     17/02/2004           2004            0.0            0.0        943.875           25.7            0.0          0.000           -0.0          0.000
     18/02/2004           2004            0.0            0.0        962.962           25.6            0.0          0.000           -0.0          0.000
     19/02/2004           2004            0.0            0.0        983.885           25.6            0.0          0.000           -0.0          0.000
     20/02/2004           2004            0.0            0.0        979.832           25.6            0.0          0.000           -0.0          9.650
     21/02/2004           2004            0.0            0.0        976.474           25.5            0.0          0.000           -0.0          0.000
     22/02/2004           2004            0.0            0.0        972.778           25.5            0.0          0.000            0.0          3.560
     23/02/2004           2004            0.0            0.0        972.260           25.5            0.0          0.000           -0.0          0.000
     24/02/2004           2004            0.0            0.0        974.437           25.4            0.0          0.000           -0.0          0.000
     25/02/2004           2004            0.0            0.0        978.731           25.3            0.0          0.000           -0.0          0.000
     26/02/2004           2004            0.0            0.0        988.177           25.3            0.0          0.000            0.0          0.000
     27/02/2004           2004            0.0            0.0       1000.566           25.2            0.0          0.000            0.0          0.000
     28/02/2004           2004            0.0            0.0       1014.243           25.3            0.0          0.000            0.0          0.000
     29/02/2004           2004            0.0            0.0       1028.317           25.4            0.0          0.000            0.0          0.000
     01/03/2004           2004            0.0            0.0       1020.705           25.6            0.0          0.000            0.0          7.370
     02/03/2004           2004            0.0            0.0       1016.644           25.7            0.0          0.000            0.0          0.000
     03/03/2004           2004            0.0            0.0       1015.515           25.7            0.0          0.000            0.0          1.020
     04/03/2004           2004            0.0            0.0       1016.314           25.7            0.0          0.000            0.0          0.510
     05/03/2004           2004            0.0            0.0        976.861           25.8            0.0          0.000            0.0         20.830
     06/03/2004           2004            0.0            0.0        907.286           25.9            0.0          0.000            0.0          0.000
     07/03/2004           2004            0.0            0.0        914.470           25.9            0.0          0.000            0.0          0.000
     08/03/2004           2004            0.0            0.0        933.293           26.0            0.0          0.000            0.0          0.000
     09/03/2004           2004            0.0            0.0        960.302           26.0            0.0          0.000            0.0          0.000
     10/03/2004           2004            0.0            0.0        974.760           26.1            0.0          0.000            0.0          0.000
     11/03/2004           2004            0.0            0.0       1004.298           26.1            0.0          0.000            0.0          0.000
     12/03/2004           2004            0.0            0.0       1019.319           26.1            0.0          0.000            0.0          0.000
     13/03/2004           2004            0.0            0.0       1032.619           26.1            0.0          0.000            0.0          0.000
     14/03/2004           2004            0.0            0.0       1046.444           26.2            0.0          0.000            0.0          0.760
     15/03/2004           2004            0.0            0.0       1029.298           26.3            0.0          0.000            0.0          9.140
