ApsimVersion = 7.9 r4044
Title = ames-2015
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai    dlt_n_min()           Rain
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)           (mm)
     01/01/2015           2015            0.0            0.0        696.875           26.6            0.0          0.000            0.1          0.000
     02/01/2015           2015            0.0            0.0        719.536           26.8            0.0          0.000            0.0          0.000
     03/01/2015           2015            0.0            0.0        737.218           26.9            0.0          0.000            0.0          0.000
     04/01/2015           2015            0.0            0.0        752.785           27.0            0.0          0.000           -0.0          0.760
     05/01/2015           2015            0.0            0.0        760.397           27.0            0.0          0.000           -0.0          1.270
     06/01/2015           2015            0.0            0.0        759.858           27.0            0.0          0.000           -0.0          1.780
     07/01/2015           2015            0.0            0.0        771.064           26.9            0.0          0.000           -0.0          0.000
     08/01/2015           2015            0.0            0.0        787.968           26.8            0.0          0.000           -0.0          0.000
     09/01/2015           2015            0.0            0.0        808.108           26.8            0.0          0.000           -0.0          0.000
     10/01/2015           2015            0.0            0.0        830.763           26.7            0.0          0.000           -0.0          0.000
     11/01/2015           2015            0.0            0.0        854.794           26.6            0.0          0.000           -0.0          0.000
     12/01/2015           2015            0.0            0.0        868.753           26.6            0.0          0.000           -0.0          0.000
     13/01/2015           2015            0.0            0.0        906.371           26.5            0.0          0.000           -0.0          0.000
     14/01/2015           2015            0.0            0.0        917.166           26.5            0.0          0.000           -0.0          0.000
     15/01/2015           2015            0.0            0.0        928.501           26.4            0.0          0.000           -0.0          0.000
     16/01/2015           2015            0.0            0.0        945.987           26.3            0.0          0.000           -0.0          0.000
     17/01/2015           2015            0.0            0.0        963.444           26.3            0.0          0.000            0.0          0.000
     18/01/2015           2015            0.0            0.0        985.382           26.3            0.0          0.000            0.0          0.000
     19/01/2015           2015            0.0            0.0       1001.020           26.3            0.0          0.000            0.0          0.250
     20/01/2015           2015            0.0            0.0       1009.762           26.3            0.0          0.000            0.0          0.000
     21/01/2015           2015            0.0            0.0       1018.162           26.3            0.0          0.000            0.0          0.000
     22/01/2015           2015            0.0            0.0       1024.901           26.3            0.0          0.000            0.0          0.000
     23/01/2015           2015            0.0            0.0       1032.683           26.3            0.0          0.000           -0.0          0.000
     24/01/2015           2015            0.0            0.0       1042.488           26.3            0.0          0.000            0.0          0.000
     25/01/2015           2015            0.0            0.0       1048.170           26.3            0.0          0.000            0.0          1.270
     26/01/2015           2015            0.0            0.0       1058.188           26.4            0.0          0.000            0.0          0.000
     27/01/2015           2015            0.0            0.0       1071.541           26.5            0.0          0.000            0.0          0.000
     28/01/2015           2015            0.0            0.0       1088.815           26.5            0.0          0.000            0.0          0.000
     29/01/2015           2015            0.0            0.0       1106.121           26.6            0.0          0.000            0.0          0.000
     30/01/2015           2015            0.0            0.0       1121.898           26.6            0.0          0.000            0.0          0.000
     31/01/2015           2015            0.0            0.0       1132.068           26.6            0.0          0.000           -0.0          1.780
     01/02/2015           2015            0.0            0.0       1085.525           26.7            0.0          0.000           -0.0         16.000
     02/02/2015           2015            0.0            0.0       1032.100           26.6            0.0          0.000           -0.0          0.000
     03/02/2015           2015            0.0            0.0       1017.797           26.6            0.0          0.000           -0.0          0.000
     04/02/2015           2015            0.0            0.0       1018.421           26.5            0.0          0.000           -0.0          0.250
     05/02/2015           2015            0.0            0.0       1020.673           26.5            0.0          0.000           -0.0          0.000
     06/02/2015           2015            0.0            0.0       1025.301           26.5            0.0          0.000           -0.0          0.000
     07/02/2015           2015            0.0            0.0       1033.359           26.4            0.0          0.000           -0.0          0.000
     08/02/2015           2015            0.0            0.0       1041.927           26.4            0.0          0.000           -0.0          0.000
     09/02/2015           2015            0.0            0.0       1049.563           26.3            0.0          0.000           -0.0          0.000
     10/02/2015           2015            0.0            0.0       1057.300           26.2            0.0          0.000           -0.0          0.000
     11/02/2015           2015            0.0            0.0       1066.344           26.2            0.0          0.000           -0.0          0.000
     12/02/2015           2015            0.0            0.0       1076.382           26.2            0.0          0.000           -0.0          0.000
     13/02/2015           2015            0.0            0.0       1087.138           26.1            0.0          0.000           -0.0          0.000
     14/02/2015           2015            0.0            0.0       1098.666           26.1            0.0          0.000           -0.0          0.000
     15/02/2015           2015            0.0            0.0       1109.145           26.0            0.0          0.000           -0.0          0.000
     16/02/2015           2015            0.0            0.0       1118.428           26.0            0.0          0.000           -0.0          0.000
     17/02/2015           2015            0.0            0.0       1127.024           25.9            0.0          0.000           -0.0          0.000
     18/02/2015           2015            0.0            0.0       1134.833           25.9            0.0          0.000           -0.0          0.000
     19/02/2015           2015            0.0            0.0       1141.873           25.9            0.0          0.000           -0.0          0.000
     20/02/2015           2015            0.0            0.0       1149.724           25.8            0.0          0.000           -0.0          0.000
     21/02/2015           2015            0.0            0.0       1158.862           25.8            0.0          0.000           -0.0          0.000
     22/02/2015           2015            0.0            0.0       1163.890           25.7            0.0          0.000           -0.0          0.000
     23/02/2015           2015            0.0            0.0       1225.902           25.7            0.0          0.000           -0.0          0.000
     24/02/2015           2015            0.0            0.0       1234.213           25.7            0.0          0.000           -0.0          0.000
     25/02/2015           2015            0.0            0.0       1235.068           25.7            0.0          0.000           -0.0          4.060
     26/02/2015           2015            0.0            0.0       1233.168           25.6            0.0          0.000           -0.0          0.000
     27/02/2015           2015            0.0            0.0       1232.083           25.6            0.0          0.000           -0.0          0.000
     28/02/2015           2015            0.0            0.0       1231.898           25.5            0.0          0.000           -0.0          0.000
     01/03/2015           2015            0.0            0.0       1232.456           25.5            0.0          0.000           -0.0          0.000
     02/03/2015           2015            0.0            0.0       1233.671           25.5            0.0          0.000           -0.0          0.000
     03/03/2015           2015            0.0            0.0       1235.171           25.4            0.0          0.000           -0.0          0.000
     04/03/2015           2015            0.0            0.0       1237.501           25.4            0.0          0.000           -0.0          0.000
     05/03/2015           2015            0.0            0.0       1240.166           25.3            0.0          0.000           -0.0          0.000
     06/03/2015           2015            0.0            0.0       1242.691           25.3            0.0          0.000           -0.0          0.000
     07/03/2015           2015            0.0            0.0       1248.507           25.3            0.0          0.000           -0.0          0.000
     08/03/2015           2015            0.0            0.0       1257.451           25.2            0.0          0.000            0.0          0.000
     09/03/2015           2015            0.0            0.0       1264.527           25.2            0.0          0.000            0.0          0.000
     10/03/2015           2015            0.0            0.0       1269.424           25.2            0.0          0.000            0.0          0.000
     11/03/2015           2015            0.0            0.0       1274.990           25.4            0.0          0.000            0.1          0.000
     12/03/2015           2015            0.0            0.0       1281.325           25.6            0.0          0.000            0.1          0.000
     13/03/2015           2015            0.0            0.0       1288.559           26.0            0.0          0.000            0.1          0.000
     14/03/2015           2015            0.0            0.0       1296.799           26.4            0.0          0.000            0.1          0.000
     15/03/2015           2015            0.0            0.0       1305.748           26.8            0.0          0.000            0.1          0.000
     16/03/2015           2015            0.0            0.0       1315.486           27.4            0.0          0.000            0.2          0.000
     17/03/2015           2015            0.0            0.0       1326.021           28.3            0.0          0.000            0.3          0.000
     18/03/2015           2015            0.0            0.0       1337.001           28.7            0.0          0.000            0.1          0.000
     19/03/2015           2015            0.0            0.0       1347.970           29.0            0.0          0.000            0.1          0.000
     20/03/2015           2015            0.0            0.0       1359.161           29.2            0.0          0.000            0.1          0.000
     21/03/2015           2015            0.0            0.0       1370.940           29.4            0.0          0.000            0.1          0.000
     22/03/2015           2015            0.0            0.0       1383.326           29.7            0.0          0.000            0.1          0.000
     23/03/2015           2015            0.0            0.0       1395.703           30.0            0.0          0.000            0.1          0.000
     24/03/2015           2015            0.0            0.0       1407.086           30.1            0.0          0.000            0.0          0.000
     25/03/2015           2015            0.0            0.0       1414.881           30.2            0.0          0.000            0.0          5.840
     26/03/2015           2015            0.0            0.0       1419.609           30.3            0.0          0.000            0.0          0.000
