ApsimVersion = 7.9 r4044
Title = ames-2006
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai    dlt_n_min()           Rain
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)           (mm)
     01/01/2006           2006            0.0            0.0        695.304           26.7            0.0          0.000            0.1          0.000
     02/01/2006           2006            0.0            0.0        682.441           27.1            0.0          0.000            0.0          6.100
     03/01/2006           2006            0.0            0.0        687.575           27.3            0.0          0.000            0.0          0.000
     04/01/2006           2006            0.0            0.0        699.141           27.5            0.0          0.000            0.0          0.000
     05/01/2006           2006            0.0            0.0        711.182           27.6            0.0          0.000            0.0          0.000
     06/01/2006           2006            0.0            0.0        725.292           27.6            0.0          0.000            0.0          0.000
     07/01/2006           2006            0.0            0.0        747.655           27.6            0.0          0.000            0.0          0.000
     08/01/2006           2006            0.0            0.0        770.761           27.7            0.0          0.000            0.0          0.000
     09/01/2006           2006            0.0            0.0        795.465           27.7            0.0          0.000            0.0          0.000
     10/01/2006           2006            0.0            0.0        823.194           27.7            0.0          0.000           -0.0          0.000
     11/01/2006           2006            0.0            0.0        858.721           27.7            0.0          0.000           -0.0          0.000
     12/01/2006           2006            0.0            0.0        876.786           27.7            0.0          0.000            0.0          0.000
     13/01/2006           2006            0.0            0.0        919.762           27.8            0.0          0.000            0.0          0.000
     14/01/2006           2006            0.0            0.0        937.270           27.8            0.0          0.000           -0.0          0.000
     15/01/2006           2006            0.0            0.0        958.667           27.9            0.0          0.000            0.0          0.000
     16/01/2006           2006            0.0            0.0        968.295           27.9            0.0          0.000            0.0          0.000
     17/01/2006           2006            0.0            0.0        991.290           27.9            0.0          0.000           -0.0          0.000
     18/01/2006           2006            0.0            0.0       1000.810           27.9            0.0          0.000           -0.0          0.000
     19/01/2006           2006            0.0            0.0       1009.265           28.0            0.0          0.000            0.0          0.000
     20/01/2006           2006            0.0            0.0       1011.865           28.0            0.0          0.000           -0.0          1.780
     21/01/2006           2006            0.0            0.0       1014.708           28.0            0.0          0.000           -0.0          0.000
     22/01/2006           2006            0.0            0.0       1018.621           27.9            0.0          0.000           -0.0          0.000
     23/01/2006           2006            0.0            0.0       1023.796           27.9            0.0          0.000           -0.0          0.000
     24/01/2006           2006            0.0            0.0       1031.699           27.9            0.0          0.000           -0.0          0.000
     25/01/2006           2006            0.0            0.0       1041.863           27.9            0.0          0.000           -0.0          0.000
     26/01/2006           2006            0.0            0.0       1053.602           27.9            0.0          0.000            0.0          0.000
     27/01/2006           2006            0.0            0.0       1068.811           28.1            0.0          0.000            0.1          0.000
     28/01/2006           2006            0.0            0.0       1080.331           28.3            0.0          0.000            0.0          2.790
     29/01/2006           2006            0.0            0.0       1074.351           28.5            0.0          0.000            0.0          3.560
     30/01/2006           2006            0.0            0.0       1064.795           28.5            0.0          0.000            0.0          1.520
     31/01/2006           2006            0.0            0.0       1065.071           28.6            0.0          0.000            0.0          0.000
     01/02/2006           2006            0.0            0.0       1072.555           28.7            0.0          0.000            0.0          0.000
     02/02/2006           2006            0.0            0.0       1085.882           28.9            0.0          0.000            0.0          0.000
     03/02/2006           2006            0.0            0.0       1100.526           28.9            0.0          0.000            0.0          0.000
     04/02/2006           2006            0.0            0.0       1113.908           28.9            0.0          0.000           -0.0          0.000
     05/02/2006           2006            0.0            0.0       1125.898           28.9            0.0          0.000           -0.0          0.000
     06/02/2006           2006            0.0            0.0       1137.862           28.9            0.0          0.000           -0.0          0.000
     07/02/2006           2006            0.0            0.0       1148.833           28.9            0.0          0.000           -0.0          0.000
     08/02/2006           2006            0.0            0.0       1152.715           28.8            0.0          0.000           -0.0          2.790
     09/02/2006           2006            0.0            0.0       1151.517           28.8            0.0          0.000           -0.0          0.000
     10/02/2006           2006            0.0            0.0       1153.227           28.8            0.0          0.000           -0.0          0.000
     11/02/2006           2006            0.0            0.0       1157.086           28.7            0.0          0.000           -0.0          0.000
     12/02/2006           2006            0.0            0.0       1161.360           28.7            0.0          0.000           -0.0          0.000
     13/02/2006           2006            0.0            0.0       1209.258           28.7            0.0          0.000           -0.0          0.000
     14/02/2006           2006            0.0            0.0       1237.137           28.7            0.0          0.000            0.0          0.000
     15/02/2006           2006            0.0            0.0       1244.424           28.6            0.0          0.000           -0.0          0.000
     16/02/2006           2006            0.0            0.0       1248.206           28.6            0.0          0.000           -0.0          3.300
