ApsimVersion = 7.9 r4044
Title = lewi-2004
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai           Rain    dlt_n_min()
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)           (mm)        (kg/ha)
     01/01/2004           2004            0.0            0.0       2042.641           31.4         1993.8          0.000          0.000            0.1
     02/01/2004           2004            0.0            0.0       1901.177           32.3         1981.4          0.000          0.000            0.1
     03/01/2004           2004            0.0            0.0       1874.569           32.9         1981.4          0.000          5.461            0.0
     04/01/2004           2004            0.0            0.0       1854.677           33.2         1981.4          0.000          0.000            0.0
     05/01/2004           2004            0.0            0.0       1841.379           33.5         1981.4          0.000          0.000           -0.0
     06/01/2004           2004            0.0            0.0       1832.614           33.6         1981.4          0.000          0.000           -0.0
     07/01/2004           2004            0.0            0.0       1826.268           33.7         1981.4          0.000          0.000           -0.0
     08/01/2004           2004            0.0            0.0       1849.990           33.8         1981.4          0.000          0.000           -0.0
     09/01/2004           2004            0.0            0.0       1824.823           33.8         1981.4          0.000          0.000           -0.0
     10/01/2004           2004            0.0            0.0       1814.020           33.8         1981.4          0.000          0.000           -0.0
     11/01/2004           2004            0.0            0.0       1804.958           33.9         1979.2          0.000          0.000           -0.0
     12/01/2004           2004            0.0            0.0       1797.608           33.9         1979.2          0.000          0.000           -0.0
     13/01/2004           2004            0.0            0.0       1791.471           33.9         1979.2          0.000          0.000           -0.0
     14/01/2004           2004            0.0            0.0       1786.017           33.9         1979.2          0.000          0.000           -0.0
     15/01/2004           2004            0.0            0.0       1780.828           34.0         1979.2          0.000          6.706           -0.0
     16/01/2004           2004            0.0            0.0       1774.758           34.1         1978.5          0.000          7.112           -0.0
     17/01/2004           2004            0.0            0.0       1767.526           34.1         1978.5          0.000          0.000           -0.0
     18/01/2004           2004            0.0            0.0       1757.571           34.1         1978.5          0.000          0.000           -0.0
     19/01/2004           2004            0.0            0.0       1671.522           34.1         1978.5          0.000          0.000           -0.0
     20/01/2004           2004            0.0            0.0       1449.765           34.0         1978.5          0.000          0.000           -0.0
     21/01/2004           2004            0.0            0.0       1441.191           34.0         1978.5          0.000          0.000           -0.0
     22/01/2004           2004            0.0            0.0       1434.065           34.0         1978.5          0.000          0.000           -0.0
     23/01/2004           2004            0.0            0.0       1428.384           34.0         1974.7          0.000          0.000           -0.0
     24/01/2004           2004            0.0            0.0       1423.442           34.0         1974.7          0.000          2.769           -0.0
     25/01/2004           2004            0.0            0.0       1416.386           34.0         1974.7          0.000         12.776           -0.0
     26/01/2004           2004            0.0            0.0       1402.879           34.0         1974.7          0.000          3.150           -0.0
     27/01/2004           2004            0.0            0.0       1385.842           34.0         1974.7          0.000          0.000           -0.0
     28/01/2004           2004            0.0            0.0       1370.507           33.9         1974.7          0.000          0.000           -0.0
     29/01/2004           2004            0.0            0.0       1358.197           33.9         1974.7          0.000          0.000           -0.0
     30/01/2004           2004            0.0            0.0       1348.811           33.9         1974.7          0.000          0.000           -0.0
     31/01/2004           2004            0.0            0.0       1341.788           33.8         1974.7          0.000          0.000           -0.0
     01/02/2004           2004            0.0            0.0       1333.649           33.9         1974.7          0.000         13.106           -0.0
     02/02/2004           2004            0.0            0.0       1321.995           33.8         1974.7          0.000          0.000           -0.0
     03/02/2004           2004            0.0            0.0       1310.380           33.8         1974.7          0.000          0.000           -0.0
     04/02/2004           2004            0.0            0.0       1299.468           33.8         1974.7          0.000          7.112           -0.0
     05/02/2004           2004            0.0            0.0       1288.869           33.8         1974.7          0.000          5.893           -0.0
     06/02/2004           2004            0.0            0.0       1279.911           33.7         1974.7          0.000          0.000           -0.0
     07/02/2004           2004            0.0            0.0       1273.015           33.7         1974.7          0.000          0.000           -0.0
     08/02/2004           2004            0.0            0.0       1267.597           33.6         1974.7          0.000          0.000           -0.0
     09/02/2004           2004            0.0            0.0       1260.373           33.6         1974.7          0.000          0.000           -0.0
