ApsimVersion = 7.9 r4044
Title = suth-2000
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai           Rain    dlt_n_min() final_soil_temp(1) final_soil_temp(2) final_soil_temp(3) final_soil_temp(4) final_soil_temp(5) final_soil_temp(6) final_soil_temp(7) final_soil_temp(8) final_soil_temp(9) final_soil_temp(10) final_soil_temp(11) final_soil_temp(12) final_soil_temp(13) final_soil_temp(14) final_soil_temp(15) final_soil_temp(16) final_soil_temp(17) final_soil_temp(18) final_soil_temp(19) final_soil_temp(20)
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)           (mm)        (kg/ha)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)
     01/01/2000           2000            0.0            0.0        704.583           79.3         2000.0          0.000          0.000            0.1             -0.635              0.638              2.307              4.844              7.053              8.667              9.569              9.881              9.972               9.994               9.999              10.000              10.000              10.000              10.000              10.000              10.000              10.000              10.000               9.999
     02/01/2000           2000            0.0            0.0        716.997           79.3         2000.0          0.000          0.250            0.0             -1.076             -0.222              0.952              2.936              5.002              6.939              8.481              9.315              9.720               9.896               9.966               9.994               9.999              10.000              10.000              10.000              10.000              10.000               9.999               9.997
     03/01/2000           2000            0.0            0.0        723.304           79.2         2000.0          0.000          1.020            0.0             -5.593             -4.078             -2.163              0.588              3.063              5.362              7.342              8.561              9.266               9.649               9.843               9.956               9.992               9.999              10.000              10.000              10.000              10.000               9.998               9.996
     04/01/2000           2000            0.0            0.0        733.198           79.1         2000.0          0.000          0.000            0.0            -12.044            -10.185             -7.734             -3.893             -0.190              3.184              5.957              7.652              8.676               9.281               9.624               9.866               9.969               9.994               9.999              10.000              10.000               9.999               9.998               9.994
     05/01/2000           2000            0.0            0.0        722.250           79.0         2000.0          0.000          4.570           -0.0             -8.955             -7.265             -5.272             -2.802             -0.702              1.748              4.489              6.527              7.906               8.778               9.303               9.713               9.919               9.979               9.995               9.999               9.999               9.999               9.997               9.993
     06/01/2000           2000            0.0            0.0        724.374           78.8         2000.0          0.000          0.510           -0.0             -8.244             -6.750             -4.984             -2.779             -0.924              1.208              3.662              5.647              7.143               8.195               8.887               9.491               9.835               9.951               9.987               9.996               9.999               9.998               9.996               9.992
     07/01/2000           2000            0.0            0.0        735.390           78.6         2000.0          0.000          0.000           -0.0            -10.468             -8.042             -5.356             -2.627             -1.052              0.725              3.014              4.961              6.493               7.634               8.438               9.213               9.713               9.904               9.971               9.991               9.997               9.997               9.995               9.990
     08/01/2000           2000            0.0            0.0        751.003           78.4         2000.0          0.000          0.000           -0.0             -2.648             -1.787             -0.910             -0.238              0.110              1.046              2.762              4.472              5.949               7.122               7.994               8.905               9.557               9.837               9.944               9.982               9.994               9.996               9.994               9.989
     09/01/2000           2000            0.0            0.0        765.946           78.2         2000.0          0.000          0.000           -0.0             -5.520             -4.089             -2.490             -0.819              0.190              1.315              2.827              4.276              5.589               6.705               7.589               8.589               9.376               9.748               9.906               9.967               9.988               9.993               9.992               9.988
     10/01/2000           2000            0.0            0.0        782.028           78.0         2000.0          0.000          0.000           -0.0             -2.919             -1.966             -0.939              0.028              0.583              1.438              2.785              4.118              5.332               6.385               7.249               8.289               9.182               9.643               9.856               9.945               9.979               9.990               9.990               9.986
     11/01/2000           2000            0.0            0.0        796.644           77.8         2000.0          0.000          0.000           -0.0             -8.276             -6.943             -5.282             -2.960             -0.958              0.885              2.613              3.971              5.125               6.125               6.963               8.017               8.984               9.524               9.794               9.916               9.966               9.984               9.988               9.985
     12/01/2000           2000            0.0            0.0        811.687           77.6         2000.0          0.000          0.000           -0.0             -8.449             -6.945             -5.204             -3.158             -1.614              0.078              2.013              3.583              4.838               5.866               6.707               7.770               8.791               9.397               9.722               9.879               9.949               9.977               9.984               9.983
     13/01/2000           2000            0.0            0.0        827.463           77.5         2000.0          0.000          0.000           -0.0            -10.633             -8.771             -6.628             -4.164             -2.419             -0.598              1.464              3.139              4.477               5.561               6.437               7.534               8.603               9.266               9.642               9.836               9.927               9.966               9.980               9.982
     14/01/2000           2000            0.0            0.0        846.230           77.3         2000.0          0.000          0.000           -0.0             -4.621             -3.460             -2.288             -1.448             -1.208             -0.434              1.148              2.731              4.097               5.230               6.148               7.293               8.416               9.133               9.556               9.786               9.901               9.953               9.974               9.980
     15/01/2000           2000            0.0            0.0        864.485           77.1         2000.0          0.000          0.000           -0.0             -3.978             -2.671             -1.338             -0.365             -0.216              0.226              1.349              2.622              3.843               4.935               5.860               7.047               8.227               8.996               9.465               9.731               9.870               9.937               9.967               9.979
     16/01/2000           2000            0.0            0.0        912.286           76.9         2000.0          0.000          0.000           -0.0            -10.700             -9.075             -7.085             -4.417             -2.266             -0.398              1.275              2.584              3.723               4.733               5.619               6.810               8.037               8.856               9.369               9.670               9.835               9.918               9.958               9.977
     17/01/2000           2000            0.0            0.0        923.604           76.8         2000.0          0.000          0.000           -0.0             -4.353             -3.855             -3.286             -2.604             -1.900             -0.763              0.820              2.268              3.501               4.533               5.413               6.597               7.851               8.714               9.270               9.605               9.796               9.897               9.948               9.975
     18/01/2000           2000            0.0            0.0        931.022           76.6         2000.0          0.000          0.000           -0.0             -4.439             -3.383             -2.276             -1.352             -0.997             -0.365              0.823              2.095              3.279               4.309               5.198               6.393               7.672               8.572               9.167               9.537               9.753               9.872               9.936               9.973
     19/01/2000           2000            0.0            0.0        905.157           76.5         2000.0          0.000         10.160           -0.0            -11.628             -9.200             -6.482             -3.672             -2.164             -0.827              0.692              1.993              3.127               4.122               4.996               6.196               7.498               8.431               9.062               9.465               9.707               9.845               9.923               9.970
     20/01/2000           2000            0.0            0.0        900.959           76.3         2000.0          0.000          0.000           -0.0            -16.615            -14.301            -11.508             -7.889             -5.020             -2.418             -0.055              1.621              2.895               3.929               4.808               6.008               7.329               8.292               8.956               9.390               9.658               9.816               9.908               9.967
     21/01/2000           2000            0.0            0.0        902.886           76.1         2000.0          0.000          0.000           -0.0            -16.179            -14.156            -11.767             -8.798             -6.406             -3.870             -1.168              0.900              2.450               3.633               4.583               5.820               7.163               8.154               8.849               9.312               9.606               9.784               9.892               9.964
     22/01/2000           2000            0.0            0.0        907.051           76.0         2000.0          0.000          0.000           -0.0            -10.688             -9.677             -8.515             -7.135             -5.898             -4.155             -1.838              0.223              1.908               3.232               4.283               5.604               6.995               8.016               8.741               9.233               9.552               9.751               9.875               9.960
     23/01/2000           2000            0.0            0.0        911.835           75.8         2000.0          0.000          0.000           -0.0            -15.152            -13.507            -11.523             -8.930             -6.768             -4.564             -2.202             -0.209              1.461               2.827               3.942               5.354               6.815               7.876               8.633               9.152               9.496               9.715               9.857               9.957
     24/01/2000           2000            0.0            0.0        916.978           75.6         2000.0          0.000          0.000           -0.0            -14.653            -12.885            -10.875             -8.625             -7.008             -5.113             -2.753             -0.686              1.040               2.447               3.603               5.085               6.622               7.731               8.522               9.070               9.438               9.678               9.837               9.952
     25/01/2000           2000            0.0            0.0        922.321           75.5         2000.0          0.000          0.000           -0.0            -14.973            -13.241            -11.257             -8.990             -7.338             -5.459             -3.155             -1.109              0.631               2.069               3.263               4.807               6.417               7.579               8.407               8.985               9.378               9.640               9.816               9.948
     26/01/2000           2000            0.0            0.0        927.702           75.3         2000.0          0.000          0.000           -0.0            -17.519            -15.600            -13.339            -10.558             -8.386             -6.125             -3.628             -1.519              0.246               1.706               2.928               4.524               6.204               7.420               8.289               8.898               9.316               9.600               9.795               9.942
     27/01/2000           2000            0.0            0.0        933.238           75.1         2000.0          0.000          0.000           -0.0            -14.033            -12.701            -11.189             -9.487             -8.161             -6.416             -4.097             -1.975             -0.162               1.339               2.594               4.240               5.985               7.255               8.166               8.808               9.253               9.558               9.772               9.937
     28/01/2000           2000            0.0            0.0        938.835           75.0         2000.0          0.000          0.000           -0.0            -10.612             -9.911             -9.113             -8.185             -7.342             -6.047             -4.151             -2.249             -0.511               0.985               2.260               3.953               5.761               7.085               8.039               8.715               9.187               9.515               9.749               9.931
     29/01/2000           2000            0.0            0.0        944.601           74.8         2000.0          0.000          0.000           -0.0             -9.395             -8.771             -8.065             -7.260             -6.573             -5.537             -3.972             -2.318             -0.729               0.698               1.955               3.670               5.533               6.910               7.908               8.619               9.119               9.471               9.724               9.924
     30/01/2000           2000            0.0            0.0        950.974           74.7         2000.0          0.000          0.000           -0.0            -11.865            -10.808             -9.563             -8.025             -6.805             -5.474             -3.865             -2.314             -0.847               0.493               1.703               3.408               5.307               6.732               7.773               8.520               9.049               9.424               9.699               9.918
     31/01/2000           2000            0.0            0.0        958.028           74.5         2000.0          0.000          0.000           -0.0            -10.978             -9.845             -8.597             -7.331             -6.535             -5.474             -3.929             -2.392             -0.963               0.326               1.496               3.173               5.089               6.552               7.635               8.417               8.976               9.377               9.673               9.910
     01/02/2000           2000            0.0            0.0        963.705           74.4         2000.0          0.000          0.000           -0.0            -11.471            -10.353             -9.080             -7.653             -6.640             -5.463             -3.933             -2.453             -1.075               0.174               1.313               2.963               4.882               6.375               7.495               8.312               8.901               9.327               9.645               9.902
     02/02/2000           2000            0.0            0.0        980.290           74.2         2000.0          0.000          0.000           -0.0             -7.795             -6.464             -5.198             -4.602             -4.972             -4.868             -3.832             -2.504             -1.180               0.038               1.148               2.771               4.686               6.202               7.354               8.205               8.824               9.276               9.616               9.894
     03/02/2000           2000            0.0            0.0        991.942           74.1         2000.0          0.000          0.000           -0.0             -3.996             -3.427             -2.955             -3.002             -3.565             -3.762             -3.229             -2.279             -1.165              -0.049               1.009               2.597               4.502               6.034               7.214               8.097               8.745               9.223               9.587               9.885
     04/02/2000           2000            0.0            0.0        995.785           73.9         2000.0          0.000          0.000           -0.0             -9.342             -8.278             -7.028             -5.530             -4.514             -3.673             -2.816             -1.957             -1.018              -0.042               0.928               2.450               4.331               5.872               7.076               7.988               8.665               9.169               9.556               9.875
     05/02/2000           2000            0.0            0.0        999.952           73.8         2000.0          0.000          0.000           -0.0             -9.174             -7.831             -6.398             -5.121             -4.604             -3.959             -2.933             -1.916             -0.942              -0.010               0.896               2.339               4.177               5.717               6.941               7.879               8.584               9.114               9.524               9.865
     06/02/2000           2000            0.0            0.0       1004.622           73.7         2000.0          0.000          0.000           -0.0             -4.013             -3.570             -3.195             -3.188             -3.505             -3.443             -2.777             -1.880             -0.933              -0.017               0.863               2.252               4.042               5.572               6.809               7.770               8.502               9.057               9.491               9.854
     07/02/2000           2000            0.0            0.0       1008.956           73.5         2000.0          0.000          0.000           -0.0             -9.314             -8.117             -6.744             -5.199             -4.244             -3.432             -2.558             -1.720             -0.862              -0.007               0.833               2.176               3.922               5.438               6.682               7.664               8.420               9.000               9.458               9.843
     08/02/2000           2000            0.0            0.0       1015.136           73.4         2000.0          0.000          0.000           -0.0             -6.589             -4.959             -3.391             -2.606             -3.085             -3.242             -2.599             -1.720             -0.833               0.008               0.816               2.112               3.815               5.313               6.561               7.560               8.338               8.942               9.424               9.831
     09/02/2000           2000            0.0            0.0       1021.487           73.2         1999.6          0.000          0.000           -0.0             -0.528             -0.389             -0.394             -0.929             -1.758             -2.227             -2.068             -1.504             -0.761               0.021               0.799               2.056               3.718               5.198               6.446               7.458               8.257               8.884               9.389               9.819
     10/02/2000           2000            0.0            0.0       1026.777           73.1         1999.6          0.000          0.000           -0.0             -6.975             -5.709             -4.315             -2.953             -2.397             -2.059             -1.653             -1.170             -0.570               0.103               0.813               2.013               3.632               5.090               6.337               7.360               8.177               8.827               9.354               9.806
     11/02/2000           2000            0.0            0.0       1031.537           73.0         1999.6          0.000          0.000           -0.0            -10.244             -8.793             -7.120             -5.195             -3.942             -2.874             -1.872             -1.114             -0.447               0.200               0.860               1.992               3.557               4.992               6.234               7.265               8.099               8.769               9.319               9.792
     12/02/2000           2000            0.0            0.0       1036.094           72.8         1999.6          0.000          0.000           -0.0             -5.459             -4.851             -4.230             -3.752             -3.556             -3.064             -2.165             -1.280             -0.486               0.221               0.889               1.982               3.495               4.902               6.137               7.174               8.023               8.713               9.283               9.778
     13/02/2000           2000            0.0            0.0       1027.503           72.7         1999.6          0.000          5.840           -0.0             -7.653             -6.814             -5.842             -4.708             -3.911             -3.109             -2.183             -1.331             -0.535               0.193               0.877               1.964               3.441               4.821               6.046               7.087               7.949               8.657               9.248               9.763
     14/02/2000           2000            0.0            0.0       1023.821           72.6         1999.6          0.000          0.000           -0.0             -9.661             -8.265             -6.724             -5.172             -4.341             -3.486             -2.403             -1.442             -0.594               0.157               0.849               1.934               3.389               4.747               5.961               7.004               7.877               8.602               9.213               9.748
     15/02/2000           2000            0.0            0.0       1026.540           72.4         1999.6          0.000          0.000           -0.0             -4.075             -3.246             -2.515             -2.389             -2.933             -3.049             -2.416             -1.546             -0.684               0.094               0.803               1.894               3.336               4.677               5.881               6.925               7.808               8.549               9.178               9.732
     16/02/2000           2000            0.0            0.0       1030.628           72.3         1999.6          0.000          0.000           -0.0             -7.984             -6.716             -5.324             -3.968             -3.362             -2.850             -2.158             -1.430             -0.676               0.057               0.754               1.846               3.281               4.609               5.806               6.850               7.742               8.496               9.143               9.716
     17/02/2000           2000            0.0            0.0       1029.316           72.2         1999.6          0.000          2.790           -0.0             -4.069             -3.857             -3.632             -3.415             -3.218             -2.805             -2.120             -1.387             -0.651               0.053               0.727               1.800               3.224               4.543               5.734               6.779               7.678               8.446               9.109               9.700
     18/02/2000           2000            0.0            0.0       1029.189           72.1         1999.6          0.000          0.000           -0.0             -5.177             -4.761             -4.274             -3.681             -3.215             -2.689             -2.017             -1.328             -0.626               0.053               0.709               1.762               3.170               4.479               5.664               6.710               7.616               8.396               9.075               9.683
     19/02/2000           2000            0.0            0.0       1032.818           71.9         1999.6          0.000          0.000           -0.0             -7.061             -5.726             -4.336             -3.229             -3.000             -2.706             -2.039             -1.315             -0.608               0.059               0.699               1.730               3.119               4.418               5.598               6.644               7.557               8.348               9.042               9.665
     20/02/2000           2000            0.0            0.0       1039.943           71.8         1999.6          0.000          0.000           -0.0             -5.305             -3.886             -2.511             -1.791             -2.190             -2.385             -1.947             -1.289             -0.600               0.058               0.688               1.702               3.072               4.359               5.534               6.581               7.500               8.302               9.009               9.647
     21/02/2000           2000            0.0            0.0       1049.317           71.7         1990.1          0.000          0.000            0.0              1.946              2.410              2.610              1.738              0.071             -1.127             -1.394             -1.069             -0.522               0.079               0.683               1.677               3.028               4.303               5.472               6.520               7.444               8.257               8.977               9.629
     22/02/2000           2000            0.0            0.0       1059.641           71.6         1968.1          0.000          0.000            0.0              4.797              5.370              5.635              4.606              2.472              0.620             -0.341             -0.503             -0.252               0.192               0.719               1.664               2.988               4.250               5.414               6.461               7.391               8.213               8.945               9.610
     23/02/2000           2000            0.0            0.0       1038.510           71.7         1936.6          0.000         15.240            0.1              6.927              6.826              6.483              5.317              3.641              2.023              0.824              0.284              0.212               0.439               0.837               1.684               2.958               4.201               5.358               6.405               7.340               8.170               8.914               9.591
     24/02/2000           2000            0.0            0.0       1018.403           71.7         1910.9          0.000          0.000            0.1              6.551              6.595              6.460              5.650              4.304              2.892              1.705              1.021              0.746               0.787               1.045               1.755               2.947               4.160               5.306               6.351               7.290               8.128               8.883               9.572
     25/02/2000           2000            0.0            0.0        984.685           71.9         1862.6          0.000         18.030            0.1              8.383              8.612              8.575              7.504              5.619              3.802              2.436              1.649              1.256               1.170               1.312               1.879               2.963               4.129               5.258               6.300               7.242               8.088               8.852               9.553
     26/02/2000           2000            0.0            0.0        961.324           71.9         1858.4          0.000          2.540            0.1              2.698              3.353              4.045              4.572              4.428              3.836              2.971              2.232              1.756               1.566               1.608               2.042               3.007               4.114               5.218               6.253               7.196               8.049               8.822               9.533
     27/02/2000           2000            0.0            0.0        925.972           71.8         1855.1          0.000          0.000            0.0              1.160              2.275              3.390              4.075              3.796              3.325              2.881              2.456              2.108               1.920               1.910               2.233               3.076               4.115               5.186               6.210               7.153               8.011               8.793               9.513
     28/02/2000           2000            0.0            0.0        937.371           71.8         1828.8          0.000          0.000            0.1              5.462              6.431              7.174              6.775              5.161              3.749              2.972              2.571              2.312               2.174               2.167               2.427               3.166               4.132               5.165               6.172               7.112               7.974               8.763               9.492
     29/02/2000           2000            0.0            0.0        947.985           71.8         1820.9          0.000          0.000            0.1              2.977              4.077              5.131              5.590              4.949              4.093              3.373              2.875              2.555               2.399               2.383               2.608               3.266               4.163               5.154               6.141               7.075               7.939               8.735               9.472
     01/03/2000           2000            0.0            0.0        962.849           71.7         1819.3          0.000          0.000            0.0              0.885              2.050              3.249              4.127              4.058              3.743              3.405              3.066              2.788               2.627               2.593               2.778               3.369               4.204               5.152               6.116               7.042               7.906               8.707               9.451
     02/03/2000           2000            0.0            0.0        980.455           71.6         1818.5          0.000          0.000            0.0             -0.104              1.207              2.550              3.518              3.476              3.293              3.205              3.073              2.916               2.805               2.781               2.940               3.474               4.253               5.159               6.098               7.013               7.876               8.681               9.431
     03/03/2000           2000            0.0            0.0       1000.622           71.5         1815.7          0.000          0.000            0.0              0.625              2.199              3.714              4.451              3.829              3.231              3.063              3.016              2.959               2.917               2.926               3.087               3.579               4.308               5.173               6.086               6.988               7.848               8.655               9.410
     04/03/2000           2000            0.0            0.0       1012.110           71.6         1802.6          0.000          0.000            0.1              5.642              6.902              7.901              7.533              5.665              4.073              3.339              3.104              3.019               3.000               3.034               3.209               3.677               4.366               5.193               6.080               6.968               7.822               8.630               9.389
     05/03/2000           2000            0.0            0.0       1025.740           71.7         1794.2          0.000          0.000            0.2              6.806              8.009              8.983              8.706              6.920              5.168              4.049              3.496              3.229               3.133               3.145               3.317               3.768               4.424               5.218               6.079               6.952               7.800               8.607               9.368
     06/03/2000           2000            0.0            0.0       1040.919           71.9         1790.7          0.000          0.000            0.3             11.392             11.833             11.954             10.777              8.509              6.376              4.872              4.035              3.572               3.355               3.301               3.430               3.855               4.482               5.246               6.083               6.939               7.780               8.585               9.346
     07/03/2000           2000            0.0            0.0       1056.682           72.4         1790.7          0.000          0.000            0.4             12.494             13.088             13.369             12.312              9.981              7.633              5.820              4.705              4.024               3.661               3.515               3.567               3.945               4.540               5.276               6.090               6.930               7.762               8.564               9.325
     08/03/2000           2000            0.0            0.0       1067.195           72.7         1790.7          0.000          1.520            0.2              5.639              7.142              8.635              9.495              8.866              7.697              6.409              5.333              4.533               4.037               3.789               3.739               4.046               4.602               5.309               6.100               6.925               7.747               8.545               9.304
     09/03/2000           2000            0.0            0.0       1066.303           72.8         1790.7          0.000          4.830            0.1             -2.294             -0.996              0.656              3.023              4.861              5.903              6.000              5.498              4.877               4.388               4.089               3.944               4.163               4.670               5.345               6.113               6.922               7.734               8.527               9.283
     10/03/2000           2000            0.0            0.0       1065.079           72.7         1790.7          0.000          0.000            0.0             -2.920             -1.824             -0.487              1.297              2.746              3.976              4.812              5.010              4.839               4.561               4.327               4.153               4.296               4.747               5.386               6.130               6.922               7.723               8.510               9.263
     11/03/2000           2000            0.0            0.0       1070.736           72.7         1790.7          0.000          0.000            0.0             -3.225             -1.518              0.297              1.891              2.460              3.057              3.873              4.378              4.549               4.522               4.429               4.320               4.430               4.832               5.433               6.151               6.925               7.715               8.494               9.242
     12/03/2000           2000            0.0            0.0       1076.940           72.6         1790.7          0.000          0.760            0.0             -1.224             -0.368              0.574              1.526              2.068              2.675              3.410              3.940              4.247               4.380               4.416               4.417               4.548               4.918               5.485               6.175               6.930               7.708               8.479               9.221
     13/03/2000           2000            0.0            0.0       1086.823           72.5         1790.5          0.000          0.000            0.0             -1.913             -0.313              1.312              2.464              2.476              2.572              3.102              3.625              3.999               4.224               4.349               4.456               4.640               5.000               5.538               6.203               6.939               7.703               8.465               9.201
     14/03/2000           2000            0.0            0.0       1102.305           72.4         1780.7          0.000          0.000            0.0              3.052              4.069              4.936              4.929              3.905              3.186              3.195              3.508              3.837               4.090               4.265               4.457               4.704               5.072               5.592               6.233               6.950               7.701               8.453               9.181
     15/03/2000           2000            0.0            0.0       1103.536           72.4         1780.7          0.000          6.600            0.0             -2.166             -0.609              1.070              2.579              3.015              3.186              3.402              3.610              3.823               4.026               4.203               4.442               4.746               5.132               5.642               6.265               6.963               7.700               8.441               9.161
     16/03/2000           2000            0.0            0.0       1101.719           72.3         1780.7          0.000          0.000            0.0             -5.075             -3.571             -1.850              0.082              1.267              2.213              3.013              3.487              3.785               3.999               4.174               4.430               4.775               5.180               5.688               6.296               6.978               7.700               8.430               9.141
     17/03/2000           2000            0.0            0.0       1108.570           72.2         1780.7          0.000          0.000            0.0             -2.670             -1.328              0.057              1.130              1.356              1.735              2.493              3.144              3.605               3.913               4.134               4.421               4.797               5.219               5.728               6.326               6.994               7.702               8.421               9.121
     18/03/2000           2000            0.0            0.0       1099.362           72.1         1780.1          0.000          7.370            0.0              0.621              0.960              1.303              1.549              1.631              1.893              2.418              2.957              3.425               3.785               4.057               4.398               4.811               5.252               5.763               6.354               7.009               7.705               8.412               9.102
     19/03/2000           2000            0.0            0.0       1089.801           72.0         1780.1          0.000          0.000            0.0             -0.786             -0.376              0.122              0.780              1.323              1.854              2.409              2.894              3.325               3.683               3.974               4.359               4.815               5.277               5.794               6.379               7.024               7.708               8.403               9.083
     20/03/2000           2000            0.0            0.0       1087.854           71.9         1778.6          0.000          0.000            0.0              1.028              1.435              1.819              1.995              1.891              1.967              2.356              2.814              3.243               3.604               3.905               4.316               4.811               5.296               5.820               6.402               7.039               7.711               8.395               9.065
     21/03/2000           2000            0.0            0.0       1091.130           71.8         1769.5          0.000          0.000            0.0              3.949              4.066              4.073              3.671              3.018              2.600              2.606              2.868              3.213               3.548               3.846               4.275               4.801               5.308               5.841               6.423               7.052               7.714               8.388               9.047
     22/03/2000           2000            0.0            0.0       1097.777           71.8         1747.6          0.000          0.000            0.1              6.093              6.350              6.426              5.778              4.568              3.573              3.123              3.111              3.297               3.551               3.817               4.242               4.789               5.315               5.858               6.440               7.064               7.717               8.380               9.029
     23/03/2000           2000            0.0            0.0       1101.636           71.8         1709.4          0.000          2.540            0.1              8.427              8.521              8.400              7.480              6.006              4.684              3.851              3.536              3.511               3.640               3.840               4.229               4.778               5.318               5.871               6.455               7.074               7.719               8.372               9.011
