ApsimVersion = 7.9 r4044
Title = ames-2001
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai    dlt_n_min()           Rain
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)           (mm)
     11/03/2001           2001            0.0            0.0       1033.498           23.8            0.0          0.000           -0.0          0.000
     12/03/2001           2001            0.0            0.0        996.602           23.9            0.0          0.000           -0.0         20.320
     13/03/2001           2001            0.0            0.0        972.407           23.8            0.0          0.000            0.0          0.000
     14/03/2001           2001            0.0            0.0        970.903           23.8            0.0          0.000            0.0          0.760
     15/03/2001           2001            0.0            0.0        973.155           23.7            0.0          0.000            0.0          0.250
     16/03/2001           2001            0.0            0.0        977.358           23.7            0.0          0.000           -0.0          0.250
     17/03/2001           2001            0.0            0.0        984.648           23.6            0.0          0.000           -0.0          0.000
     18/03/2001           2001            0.0            0.0        994.518           23.6            0.0          0.000           -0.0          0.000
     19/03/2001           2001            0.0            0.0       1008.607           23.5            0.0          0.000           -0.0          0.000
     20/03/2001           2001            0.0            0.0       1025.889           23.5            0.0          0.000            0.0          0.000
     21/03/2001           2001            0.0            0.0       1042.811           23.5            0.0          0.000            0.0          0.000
     22/03/2001           2001            0.0            0.0       1061.319           23.6            0.0          0.000            0.0          0.000
     23/03/2001           2001            0.0            0.0       1078.178           23.5            0.0          0.000            0.0          0.760
     24/03/2001           2001            0.0            0.0       1094.216           23.5            0.0          0.000           -0.0          0.000
     25/03/2001           2001            0.0            0.0       1107.940           23.5            0.0          0.000           -0.0          0.000
     26/03/2001           2001            0.0            0.0       1122.261           23.4            0.0          0.000           -0.0          0.000
     27/03/2001           2001            0.0            0.0       1142.327           23.4            0.0          0.000           -0.0          0.000
     28/03/2001           2001            0.0            0.0       1162.095           23.3            0.0          0.000           -0.0          0.000
     29/03/2001           2001            0.0            0.0       1228.366           23.3            0.0          0.000            0.0          1.270
     30/03/2001           2001            0.0            0.0       1239.833           23.4            0.0          0.000            0.0          0.000
