ApsimVersion = 7.9 r4044
Title = suth-2014
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai           Rain    dlt_n_min()
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)           (mm)        (kg/ha)
     01/01/2014           2014            0.0            0.0        700.054           79.2         2000.0          0.000          1.020            0.0
     02/01/2014           2014            0.0            0.0        711.473           79.1         2000.0          0.000          0.000            0.0
     03/01/2014           2014            0.0            0.0        721.932           78.9         2000.0          0.000          0.000           -0.0
     04/01/2014           2014            0.0            0.0        735.034           78.8         2000.0          0.000          0.000           -0.0
     05/01/2014           2014            0.0            0.0        747.512           78.6         2000.0          0.000          0.000           -0.0
     06/01/2014           2014            0.0            0.0        759.971           78.4         2000.0          0.000          0.000           -0.0
     07/01/2014           2014            0.0            0.0        772.756           78.2         2000.0          0.000          0.000           -0.0
     08/01/2014           2014            0.0            0.0        785.795           78.0         2000.0          0.000          0.000           -0.0
     09/01/2014           2014            0.0            0.0        799.627           77.8         2000.0          0.000          0.000           -0.0
     10/01/2014           2014            0.0            0.0        814.578           77.6         2000.0          0.000          0.000           -0.0
     11/01/2014           2014            0.0            0.0        830.137           77.4         2000.0          0.000          0.000           -0.0
     12/01/2014           2014            0.0            0.0        849.605           77.2         2000.0          0.000          0.000           -0.0
     13/01/2014           2014            0.0            0.0        865.222           77.0         2000.0          0.000          0.000           -0.0
     14/01/2014           2014            0.0            0.0        914.765           76.9         2000.0          0.000          0.250           -0.0
     15/01/2014           2014            0.0            0.0        925.669           76.7         2000.0          0.000          0.000           -0.0
     16/01/2014           2014            0.0            0.0        932.676           76.5         2000.0          0.000          0.250           -0.0
     17/01/2014           2014            0.0            0.0        938.902           76.4         2000.0          0.000          0.000           -0.0
     18/01/2014           2014            0.0            0.0        945.869           76.2         2000.0          0.000          0.000           -0.0
     19/01/2014           2014            0.0            0.0        956.259           76.0         2000.0          0.000          0.000           -0.0
     20/01/2014           2014            0.0            0.0        964.195           75.9         2000.0          0.000          0.760           -0.0
     21/01/2014           2014            0.0            0.0        981.247           75.7         2000.0          0.000          0.000           -0.0
     22/01/2014           2014            0.0            0.0        990.202           75.6         2000.0          0.000          0.000           -0.0
     23/01/2014           2014            0.0            0.0        993.129           75.4         2000.0          0.000          0.000           -0.0
     24/01/2014           2014            0.0            0.0        997.345           75.3         2000.0          0.000          0.000           -0.0
     25/01/2014           2014            0.0            0.0       1002.264           75.1         2000.0          0.000          0.000           -0.0
     26/01/2014           2014            0.0            0.0       1007.860           75.0         2000.0          0.000          0.000           -0.0
     27/01/2014           2014            0.0            0.0       1012.508           74.8         2000.0          0.000          0.000           -0.0
     28/01/2014           2014            0.0            0.0       1016.517           74.7         2000.0          0.000          0.000           -0.0
     29/01/2014           2014            0.0            0.0       1021.358           74.5         2000.0          0.000          0.000           -0.0
     30/01/2014           2014            0.0            0.0       1016.258           74.4         2000.0          0.000          5.080           -0.0
     31/01/2014           2014            0.0            0.0       1014.270           74.3         2000.0          0.000          0.000           -0.0
     01/02/2014           2014            0.0            0.0       1011.687           74.2         2000.0          0.000          2.030           -0.0
     02/02/2014           2014            0.0            0.0       1011.560           74.0         2000.0          0.000          0.000           -0.0
     03/02/2014           2014            0.0            0.0       1013.807           73.9         2000.0          0.000          0.000           -0.0
     04/02/2014           2014            0.0            0.0       1015.137           73.7         2000.0          0.000          0.760           -0.0
     05/02/2014           2014            0.0            0.0       1017.534           73.6         2000.0          0.000          0.000           -0.0
     06/02/2014           2014            0.0            0.0       1020.514           73.5         2000.0          0.000          0.000           -0.0
     07/02/2014           2014            0.0            0.0       1023.839           73.3         2000.0          0.000          0.000           -0.0
     08/02/2014           2014            0.0            0.0       1020.782           73.2         2000.0          0.000          3.300           -0.0
     09/02/2014           2014            0.0            0.0       1019.585           73.1         2000.0          0.000          0.000           -0.0
     10/02/2014           2014            0.0            0.0       1021.252           73.0         2000.0          0.000          0.000           -0.0
     11/02/2014           2014            0.0            0.0       1024.018           72.9         2000.0          0.000          0.000           -0.0
     12/02/2014           2014            0.0            0.0       1022.325           72.8         2000.0          0.000          2.540           -0.0
     13/02/2014           2014            0.0            0.0       1023.067           72.6         2000.0          0.000          0.000           -0.0
     14/02/2014           2014            0.0            0.0       1022.216           72.5         2000.0          0.000          1.780           -0.0
     15/02/2014           2014            0.0            0.0       1025.067           72.4         2000.0          0.000          0.000           -0.0
     16/02/2014           2014            0.0            0.0       1029.945           72.3         2000.0          0.000          0.000           -0.0
     17/02/2014           2014            0.0            0.0       1022.868           72.2         2000.0          0.000          5.840           -0.0
     18/02/2014           2014            0.0            0.0       1022.303           72.1         1997.0          0.000          0.000           -0.0
     19/02/2014           2014            0.0            0.0       1027.830           72.0         1993.2          0.000          0.000            0.0
     20/02/2014           2014            0.0            0.0       1019.400           71.9         1984.3          0.000          7.620            0.0
     21/02/2014           2014            0.0            0.0       1016.617           71.8         1984.3          0.000          0.000           -0.0
     22/02/2014           2014            0.0            0.0       1018.206           71.6         1984.3          0.000          0.000           -0.0
     23/02/2014           2014            0.0            0.0       1021.275           71.5         1984.3          0.000          0.000           -0.0
     24/02/2014           2014            0.0            0.0       1024.923           71.4         1984.3          0.000          0.000           -0.0
     25/02/2014           2014            0.0            0.0       1024.718           71.3         1984.3          0.000          2.030           -0.0
     26/02/2014           2014            0.0            0.0       1025.549           71.1         1984.3          0.000          0.000           -0.0
     27/02/2014           2014            0.0            0.0       1028.223           71.0         1984.3          0.000          0.000           -0.0
     28/02/2014           2014            0.0            0.0       1027.644           70.9         1984.3          0.000          2.030           -0.0
     01/03/2014           2014            0.0            0.0       1014.969           70.8         1984.3          0.000          5.330           -0.0
     02/03/2014           2014            0.0            0.0       1010.665           70.7         1984.3          0.000          0.510           -0.0
     03/03/2014           2014            0.0            0.0       1010.761           70.6         1984.3          0.000          0.000           -0.0
     04/03/2014           2014            0.0            0.0       1012.950           70.5         1984.3          0.000          0.000           -0.0
     05/03/2014           2014            0.0            0.0       1016.082           70.3         1984.3          0.000          0.000           -0.0
     06/03/2014           2014            0.0            0.0       1020.241           70.2         1984.3          0.000          0.000           -0.0
     07/03/2014           2014            0.0            0.0       1025.178           70.1         1984.3          0.000          0.000           -0.0
     08/03/2014           2014            0.0            0.0       1030.230           70.0         1984.3          0.000          0.000           -0.0
     09/03/2014           2014            0.0            0.0       1038.495           69.9         1981.7          0.000          0.000           -0.0
     10/03/2014           2014            0.0            0.0       1049.659           69.8         1957.8          0.000          0.000            0.0
     11/03/2014           2014            0.0            0.0       1058.416           69.8         1941.7          0.000          1.520            0.0
     12/03/2014           2014            0.0            0.0       1068.017           69.7         1941.7          0.000          0.000            0.0
     13/03/2014           2014            0.0            0.0       1078.775           69.6         1929.5          0.000          0.000            0.0
     14/03/2014           2014            0.0            0.0       1094.438           69.6         1917.0          0.000          0.000            0.1
     15/03/2014           2014            0.0            0.0       1112.697           69.5         1915.5          0.000          0.000            0.0
     16/03/2014           2014            0.0            0.0       1129.058           69.4         1915.5          0.000          0.000            0.0
