taxminalogy,cokey,cotaxfmminkey
mixed,17553157,13807069
mixed,17553158,13807070
mixed,17553159,13807071
mixed,17553086,13807081
mixed,17553087,13807080
mixed,17553088,13807082
mixed,17553160,13807086
mixed,17553161,13807085
mixed,17553162,13807087
