structgrpname,rvindicator,chkey,chstructgrpkey
weak fine granular structure,Yes,51250873,27327645
weak fine subangular blocky structure,Yes,51250874,27327644
weak coarse subangular blocky structure,Yes,51250875,27327650
massive,Yes,51250876,27327477
weak fine subangular blocky structure,Yes,51250877,27327478
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,51250878,27327552
weak fine subangular blocky structure,Yes,51250879,27327548
weak medium subangular blocky structure parting to weak very fine subangular blocky structure,Yes,51250880,27327549
weak medium subangular blocky structure parting to weak very fine subangular blocky structure,Yes,51250881,27327550
massive,Yes,51250882,27327551
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,51250883,27327397
weak fine subangular blocky structure parts to weak fine granular structure,Yes,51250884,27327398
"moderate fine subangular blocky structure, and moderate medium subangular blocky structure",Yes,51250885,27327392
weak medium subangular blocky structure,Yes,51250886,27327399
massive,Yes,51250887,27327391
weak medium granular structure,Yes,51251098,27327412
"weak medium subangular blocky structure, and weak fine subangular blocky structure",Yes,51251099,27327413
"massive, and weak medium prismatic structure",Yes,51251100,27327414
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,51251101,27327415
weak fine subangular blocky structure,Yes,51251102,27327500
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,51251103,27327670
weak fine subangular blocky structure,Yes,51251104,27327501
weak medium subangular blocky structure,Yes,51251105,27327671
massive,Yes,51251106,27327572
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,51251107,27327573
moderate fine granular structure,Yes,51251108,27327574
weak coarse prismatic structure,Yes,51251109,27327575
weak medium prismatic structure parts to weak fine subangular blocky structure,Yes,51251110,27327672
"moderate medium prismatic structure, and massive",Yes,51251111,27327502
massive,Yes,51251112,27327486
"moderate fine subangular blocky structure, and moderate medium subangular blocky structure",Yes,51251113,27327655
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,51251114,27327487
weak fine subangular blocky structure parts to weak fine granular structure,Yes,51251115,27327656
weak medium subangular blocky structure,Yes,51251116,27327561
weak fine subangular blocky structure,Yes,51251117,27327400
massive,Yes,51251118,27327401
weak fine granular structure,Yes,51251119,27327402
weak fine subangular blocky structure,Yes,51251120,27327403
weak coarse subangular blocky structure,Yes,51251121,27327654
weak fine subangular blocky structure,Yes,51251122,27327563
moderate fine subangular blocky structure,Yes,51251123,27327562
weak fine subangular blocky structure,Yes,51251124,27327564
weak thick platy structure,Yes,51251125,27327657
