ecoclasstypename,ecoclassref,ecoclassid,ecoclassname,cokey,coecoclasskey
NRCS Rangeland Site,Ecological Site Description Database,R107AY201IA,Loess Upland Prairie,17553086,5293453
NRCS Rangeland Site,Ecological Site Description Database,R107AY201IA,Loess Upland Prairie,17553087,5293454
NRCS Rangeland Site,Ecological Site Description Database,R107AY209IA,Wet Upland Sedge Meadow,17553088,5293455
NRCS Rangeland Site,Ecological Site Description Database,R107AY201IA,Loess Upland Prairie,17553157,5293446
NRCS Rangeland Site,Ecological Site Description Database,R107AY201IA,Loess Upland Prairie,17553158,5293447
NRCS Rangeland Site,Ecological Site Description Database,R107AY201IA,Loess Upland Prairie,17553159,5293448
NRCS Rangeland Site,Ecological Site Description Database,R107AY209IA,Wet Upland Sedge Meadow,17553160,5293458
NRCS Rangeland Site,Ecological Site Description Database,R107AY201IA,Loess Upland Prairie,17553161,5293459
NRCS Rangeland Site,Ecological Site Description Database,R107AY209IA,Wet Upland Sedge Meadow,17553162,5293460
