shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Convex,Linear,26598448,15447378
Linear,Convex,26598450,15447379
Linear,Linear,26598452,15447380
Linear,Linear,26598470,15447372
Linear,Linear,26598472,15447370
Linear,Concave,26598474,15447371
Linear,Linear,26598480,15447375
Linear,Concave,26598482,15447376
Linear,Concave,26598484,15447377
