aashtocl,rvindicator,chkey,chaashtokey
A-7-6,Yes,51251098,83814902
A-7-6,Yes,51251099,83814903
A-6,Yes,51251100,83814904
A-7-6,Yes,51251101,83814905
A-7-6,Yes,51251102,83814906
A-7-6,Yes,51251103,83814907
A-7-6,Yes,51251104,83814908
A-6,Yes,51251105,83814909
A-6,Yes,51251106,83814910
A-7-5,Yes,51251107,83814911
A-7-6,Yes,51251108,83814912
A-6,Yes,51251109,83814913
A-6,Yes,51251110,83814914
A-6,Yes,51251111,83814915
A-7-5,Yes,51250873,83814598
A-7-6,Yes,51250874,83814599
A-6,Yes,51250875,83814600
A-6,Yes,51250876,83814601
A-7-6,Yes,51250877,83814602
A-7-6,Yes,51250878,83814603
A-7-6,Yes,51250879,83814604
A-7-6,Yes,51250880,83814605
A-6,Yes,51250881,83814606
A-6,Yes,51250882,83814607
A-7-5,Yes,51250883,83814608
A-7-5,Yes,51250884,83814609
A-7-6,Yes,51250885,83814610
A-7-6,Yes,51250886,83814611
A-6,Yes,51250887,83814612
A-6,Yes,51251112,83814916
A-7-6,Yes,51251113,83814917
A-7-5,Yes,51251114,83814918
A-7-5,Yes,51251115,83814919
A-7-6,Yes,51251116,83814920
A-7-6,Yes,51251117,83814921
A-6,Yes,51251118,83814922
A-7-5,Yes,51251119,83814923
A-7-6,Yes,51251120,83814924
A-6,Yes,51251121,83814925
A-7-5,Yes,51251122,83814926
A-7-6,Yes,51251123,83814927
A-6,Yes,51251124,83814928
A-6,Yes,51251125,83814929
