soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
198,198,200,200,200,200,Wet,184146490,114169051
0,0,0,198,198,200,Moist,184146490,114169052
137,137,198,200,200,200,Wet,184146491,114169053
0,0,0,137,137,198,Moist,184146491,114169054
198,198,200,200,200,200,Wet,184146492,114169055
0,0,0,198,198,200,Moist,184146492,114169056
168,168,200,200,200,200,Wet,184146493,114169057
0,0,0,168,168,200,Moist,184146493,114169058
198,198,200,200,200,200,Wet,184146494,114169059
0,0,0,198,198,200,Moist,184146494,114169060
0,0,0,122,122,183,Moist,184146495,114169061
122,122,183,200,200,200,Wet,184146495,114169062
168,168,200,200,200,200,Wet,184146496,114169063
0,0,0,168,168,200,Moist,184146496,114169064
0,0,0,183,183,200,Moist,184146497,114169065
183,183,200,200,200,200,Wet,184146497,114169066
183,183,200,200,200,200,Wet,184146498,114169067
0,0,0,183,183,200,Moist,184146498,114169068
183,183,200,200,200,200,Wet,184146499,114169069
0,0,0,183,183,200,Moist,184146499,114169070
152,152,200,200,200,200,Wet,184146500,114169071
0,0,0,152,152,200,Moist,184146500,114169072
137,137,198,200,200,200,Wet,184146501,114169073
0,0,0,137,137,198,Moist,184146501,114169074
0,0,0,198,198,200,Moist,184146502,114169075
198,198,200,200,200,200,Wet,184146502,114169076
183,183,200,200,200,200,Wet,184146503,114169077
0,0,0,183,183,200,Moist,184146503,114169078
0,0,0,198,198,200,Moist,184146504,114169079
198,198,200,200,200,200,Wet,184146504,114169080
0,0,0,122,122,183,Moist,184146505,114169081
122,122,183,200,200,200,Wet,184146505,114169082
0,0,0,152,152,200,Moist,184146506,114169083
152,152,200,200,200,200,Wet,184146506,114169084
0,0,0,183,183,200,Moist,184146507,114169085
183,183,200,200,200,200,Wet,184146507,114169086
0,0,0,168,168,200,Moist,184146508,114169087
168,168,200,200,200,200,Wet,184146508,114169088
0,0,0,183,183,200,Moist,184146509,114169089
183,183,200,200,200,200,Wet,184146509,114169090
168,168,200,200,200,200,Wet,184146510,114169091
0,0,0,168,168,200,Moist,184146510,114169092
0,0,0,137,137,198,Moist,184146511,114169093
137,137,198,200,200,200,Wet,184146511,114169094
0,0,0,198,198,200,Moist,184146512,114169095
198,198,200,200,200,200,Wet,184146512,114169096
0,0,0,137,137,198,Moist,184146513,114169097
137,137,198,200,200,200,Wet,184146513,114169098
0,0,0,107,107,183,Moist,184146514,114169099
107,107,183,200,200,200,Wet,184146514,114169100
0,0,0,30,30,107,Moist,184146515,114169101
30,30,107,200,200,200,Wet,184146515,114169102
0,0,0,91,91,168,Moist,184146516,114169103
91,91,168,200,200,200,Wet,184146516,114169104
0,0,0,91,91,168,Moist,184146517,114169105
91,91,168,200,200,200,Wet,184146517,114169106
