unifiedcl,rvindicator,chkey,chunifiedkey
CH,Yes,51251098,96233757
CL,Yes,51251099,96233758
CL,Yes,51251100,96233759
CH,Yes,51251101,96233760
CH,Yes,51251102,96233761
CH,Yes,51251103,96233762
CL,Yes,51251104,96233763
CL,Yes,51251105,96233764
CL,Yes,51251106,96233765
MH,Yes,51251107,96233766
CH,Yes,51251108,96233767
CL,Yes,51251109,96233768
CL,Yes,51251110,96233769
CL,Yes,51251111,96233770
MH,Yes,51250873,96233367
CL,Yes,51250874,96233368
CL,Yes,51250875,96233369
CL,Yes,51250876,96233370
CH,Yes,51250877,96233371
CH,Yes,51250878,96233372
CH,Yes,51250879,96233373
CL,Yes,51250880,96233374
CL,Yes,51250881,96233375
CL,Yes,51250882,96233376
MH,Yes,51250883,96233377
MH,Yes,51250884,96233378
MH,Yes,51250885,96233379
CL,Yes,51250886,96233380
CL,Yes,51250887,96233381
CL,Yes,51251112,96233771
MH,Yes,51251113,96233772
MH,Yes,51251114,96233773
MH,Yes,51251115,96233774
CL,Yes,51251116,96233775
CL,Yes,51251117,96233776
CL,Yes,51251118,96233777
MH,Yes,51251119,96233778
CH,Yes,51251120,96233779
CL,Yes,51251121,96233780
MH,Yes,51251122,96233781
CL,Yes,51251123,96233782
CL,Yes,51251124,96233783
CL,Yes,51251125,96233784
