areaovacres,lareaovkey,mukey,muareaovkey
40840,401313,410096,23786038
40840,401314,410096,23786039
40840,401315,410096,23786040
40840,401316,410096,23786041
40840,401317,410096,23786042
62220,401313,410102,23786048
62220,401314,410102,23786049
62220,401315,410102,23786050
62220,401316,410102,23786051
62220,401317,410102,23786052
44819,401313,410104,23786058
44819,401314,410104,23786059
44819,401315,410104,23786060
44819,401316,410104,23786061
44819,401317,410104,23786062
