musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
77B,"Sac silty clay loam, loam substratum, 2 to 5 percent slopes",NA,4,3.9,NA,122,122,None,None,0,5.5,10.76,19.95,28.56,Moderately well drained,Moderately well drained,C,NA,100,2,95,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Poor,Somewhat limited,0.087,Moderate,0,0.93,410096
91,"Primghar silty clay loam, 0 to 2 percent slopes",NA,1,1,NA,30,30,None,None,0,5.5,10.76,20.45,30.89,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,1,95,Very limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,0.952,Slight,5,1,410102
92,"Marcus silty clay loam, 0 to 2 percent slopes",NA,1,1,NA,0,0,None,None,0,5.49,10.27,19.78,29.87,Poorly drained,Poorly drained,C/D,NA,100,2,95,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,95,1,410104
