pmgroupname,rvindicator,cokey,copmgrpkey
fine-silty loess,Yes,17553086,12686403
fine-silty loess,Yes,17553087,12686402
fine-silty loess,Yes,17553088,12686404
fine-silty loess over till,Yes,17553157,12686391
fine-silty loess over till,Yes,17553158,12686392
fine-silty loess over till,Yes,17553159,12686393
fine-silty loess,Yes,17553160,12686408
fine-silty loess,Yes,17553161,12686407
fine-silty loess,Yes,17553162,12686409
