taxmoistcl,cokey,cotaxmckey
Udic,17553086,6603622
Udic,17553087,6603621
Aquic,17553088,6603623
Udic,17553157,6603637
Udic,17553158,6603638
Udic,17553159,6603639
Aquic,17553160,6603627
Udic,17553161,6603626
Aquic,17553162,6603628
