structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
,,Massive,NA,NA,27327391,33410836
Moderate,Fine,Subangular blocky,NA,NA,27327392,33410837
Moderate,Medium,Subangular blocky,NA,NA,27327392,33410838
Moderate,Medium,Granular,2,NA,27327397,33410844
Weak,Fine,Subangular blocky,1,2,27327397,33410845
Weak,Fine,Subangular blocky,1,2,27327398,33410846
Weak,Fine,Granular,2,NA,27327398,33410847
Weak,Medium,Subangular blocky,NA,NA,27327399,33410848
Weak,Fine,Subangular blocky,NA,NA,27327400,33410849
,,Massive,NA,NA,27327401,33410850
Weak,Fine,Granular,NA,NA,27327402,33410851
Weak,Fine,Subangular blocky,NA,NA,27327403,33410852
Weak,Medium,Granular,NA,NA,27327412,33410868
Weak,Medium,Subangular blocky,NA,NA,27327413,33410869
Weak,Fine,Subangular blocky,NA,NA,27327413,33410870
Structureless,,Massive,NA,NA,27327414,33410871
Weak,Medium,Prismatic,NA,NA,27327414,33410872
Moderate,Medium,Granular,2,NA,27327415,33410873
Weak,Fine,Subangular blocky,1,2,27327415,33410874
,,Massive,NA,NA,27327477,33410949
Weak,Fine,Subangular blocky,NA,NA,27327478,33410950
,,Massive,NA,NA,27327486,33410961
Moderate,Medium,Granular,2,NA,27327487,33410962
Weak,Fine,Subangular blocky,1,2,27327487,33410963
Weak,Fine,Subangular blocky,NA,NA,27327500,33410982
Weak,Fine,Subangular blocky,NA,NA,27327501,33410983
Structureless,,Massive,NA,NA,27327502,33410984
Moderate,Medium,Prismatic,NA,NA,27327502,33410985
Weak,Fine,Subangular blocky,NA,NA,27327548,33411049
Weak,Medium,Subangular blocky,1,2,27327549,33411050
Weak,Very fine,Subangular blocky,2,NA,27327549,33411051
Weak,Very fine,Subangular blocky,2,NA,27327550,33411052
Weak,Medium,Subangular blocky,1,2,27327550,33411053
Structureless,,Massive,NA,NA,27327551,33411054
Weak,Fine,Subangular blocky,1,2,27327552,33411055
Moderate,Medium,Granular,2,NA,27327552,33411056
Weak,Medium,Subangular blocky,NA,NA,27327561,33411066
Moderate,Fine,Subangular blocky,NA,NA,27327562,33411067
Weak,Fine,Subangular blocky,NA,NA,27327563,33411068
Weak,Fine,Subangular blocky,NA,NA,27327564,33411069
Structureless,,Massive,NA,NA,27327572,33411079
Moderate,Medium,Granular,2,NA,27327573,33411080
Weak,Fine,Subangular blocky,1,2,27327573,33411081
Moderate,Fine,Granular,NA,NA,27327574,33411082
Weak,Coarse,Prismatic,NA,NA,27327575,33411083
Weak,Fine,Subangular blocky,NA,NA,27327644,33411183
Weak,Fine,Granular,NA,NA,27327645,33411184
Weak,Coarse,Subangular blocky,NA,NA,27327650,33411192
Weak,Coarse,Subangular blocky,NA,NA,27327654,33411197
Moderate,Medium,Subangular blocky,NA,NA,27327655,33411198
Moderate,Fine,Subangular blocky,NA,NA,27327655,33411199
Weak,Fine,Granular,2,NA,27327656,33411200
Weak,Fine,Subangular blocky,1,2,27327656,33411201
Weak,Thick,Platy,NA,NA,27327657,33411202
Weak,Fine,Subangular blocky,1,2,27327670,33411222
Moderate,Medium,Granular,2,NA,27327670,33411223
Weak,Medium,Subangular blocky,NA,NA,27327671,33411224
Weak,Medium,Prismatic,1,2,27327672,33411225
Weak,Fine,Subangular blocky,2,NA,27327672,33411226
