geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,Side Slope,,,26598448,9749644
NA,Interfluve,,,26598450,9749645
NA,,,Talf,26598452,9749646
NA,Interfluve,,,26598470,9749653
NA,Base Slope,,,26598472,9749651
NA,Base Slope,,,26598474,9749652
NA,Base Slope,,,26598480,9749656
NA,Base Slope,,,26598482,9749657
NA,Base Slope,,,26598484,9749658
