desgnsuffix,chkey,chdesgnsfxkey
p,51250873,20218250
w,51250874,20218249
k,51250875,20218251
g,51250875,20218252
g,51250876,20218173
p,51250878,20218208
w,51250880,20218207
p,51250883,20218291
g,51250885,20218290
g,51250886,20218292
g,51250887,20218289
w,51251099,20218282
p,51251101,20218283
p,51251103,20218242
w,51251104,20218169
p,51251107,20218201
k,51251109,20218202
w,51251110,20218243
g,51251112,20218176
g,51251113,20218258
p,51251114,20218177
g,51251116,20218213
w,51251117,20218293
g,51251118,20218294
p,51251119,20218295
k,51251121,20218256
g,51251121,20218257
p,51251122,20218214
g,51251124,20218215
k,51251124,20218216
g,51251125,20218259
