musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
77B,"Sac silty clay loam, loam substratum, 2 to 5 percent slopes",Consociation,NA,40840,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,95,NA,NA,NA,NA,13711,410096
91,"Primghar silty clay loam, 0 to 2 percent slopes",Consociation,NA,62220,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,100,NA,NA,NA,NA,13711,410102
92,"Marcus silty clay loam, 0 to 2 percent slopes",Consociation,NA,44819,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,NA,Order 2,94,NA,NA,NA,NA,13711,410104
