texcl,lieutex,chtgkey,chtkey
Silty clay loam,NA,102402462,104161655
Silt loam,NA,102402463,104161502
Silty clay loam,NA,102402464,104161652
Silt loam,NA,102402465,104161660
Silty clay loam,NA,102402466,104161659
Silt loam,NA,102402467,104161653
Silty clay loam,NA,102402468,104161654
Silty clay loam,NA,102402469,104161656
Silty clay loam,NA,102402470,104161801
Silty clay loam,NA,102402471,104162028
Silty clay loam,NA,102402472,104161498
Silt loam,NA,102402473,104161800
Silt loam,NA,102402474,104161499
Silty clay loam,NA,102402475,104161501
Silty clay,NA,102402476,104161503
Silty clay loam,NA,102402477,104161657
Silty clay,NA,102402478,104162029
Silty clay loam,NA,102402479,104161802
Silty clay loam,NA,102402480,104161803
Silt loam,NA,102402481,104161658
Silt loam,NA,102402482,104161500
Silty clay loam,NA,102402867,104162169
Clay loam,NA,102402868,104161928
Silty clay loam,NA,102402869,104161934
Silt loam,NA,102402870,104161929
Clay loam,NA,102402871,104161935
Loam,NA,102402872,104161765
Silty clay loam,NA,102402873,104161766
Silty clay loam,NA,102402874,104161767
Silty clay loam,NA,102402875,104161768
Silty clay loam,NA,102402876,104161769
Silt loam,NA,102402877,104161770
Loam,NA,102402878,104161959
Clay loam,NA,102402879,104161936
Clay loam,NA,102402880,104161960
Loam,NA,102402881,104161937
Silty clay loam,NA,102402882,104162170
Silty clay loam,NA,102402883,104162171
Silt loam,NA,102402884,104162172
Silty clay loam,NA,102402885,104162173
Silty clay loam,NA,102402886,104161938
Clay loam,NA,102402887,104161961
Clay loam,NA,102402888,104161939
Loam,NA,102402889,104161962
Silt loam,NA,102402890,104161695
Silty clay loam,NA,102402891,104161696
Silty clay,NA,102402892,104161697
Silty clay loam,NA,102402893,104161698
Silty clay,NA,102402894,104161842
Silty clay loam,NA,102402895,104161544
Silty clay loam,NA,102402896,104161545
Silt loam,NA,102402897,104161843
Silty clay loam,NA,102402898,104162068
Silt loam,NA,102402899,104162069
Silt loam,NA,102402900,104162070
Silty clay loam,NA,102402901,104162071
Silty clay loam,NA,102402902,104161840
Silty clay loam,NA,102402903,104161542
Silt loam,NA,102402904,104161543
Silty clay loam,NA,102402905,104161841
Silty clay loam,NA,102402906,104162073
Silt loam,NA,102402907,104161546
Silty clay loam,NA,102402908,104162072
Silt loam,NA,102402909,104162074
Silty clay loam,NA,102402910,104162075
Silt loam,NA,102402911,104161844
Silty clay loam,NA,102402912,104161547
