geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,ridges,,1,2,Yes,17553157,26598448
Landscape,uplands,,2,NA,Yes,17553157,26598449
Landform,hillslopes,,1,2,Yes,17553158,26598450
Landscape,uplands,,2,NA,Yes,17553158,26598451
Landform,flats,,1,2,Yes,17553159,26598452
Landscape,uplands,,2,NA,Yes,17553159,26598453
Landform,hillslopes,,1,2,Yes,17553086,26598472
Landscape,uplands,,2,NA,Yes,17553086,26598473
Landform,hillslopes,,1,2,Yes,17553087,26598470
Landscape,uplands,,2,NA,Yes,17553087,26598471
Landform,hillslopes,,1,2,Yes,17553088,26598474
Landscape,uplands,,2,NA,Yes,17553088,26598475
Landform,hillslopes,,1,2,Yes,17553160,26598482
Landscape,uplands,,2,NA,Yes,17553160,26598483
Landform,hillslopes,,1,2,Yes,17553161,26598480
Landscape,uplands,,2,NA,Yes,17553161,26598481
Landform,hillslopes,,1,2,Yes,17553162,26598484
Landscape,uplands,,2,NA,Yes,17553162,26598485
