site,year,rotation
brow,2001,sc
brow,2008,cc
brow,2008,sc
deka,1999,cc
deka,2004,cc
deka,2005,cc
dsup,1999,sc
dsup,2000,cc
dsup,2000,sc
dsup,2002,cc
dsup,2006,cc
orrc,1999,sc
orrc,2003,cc
urba,1999,cc
ames,2000,sc
craw,2004,cc
craw,2004,sc
craw,2005,cc
craw,2007,cc
craw,2008,cc
craw,2008,sc
craw,2011,cc
kana,2014,cc
lewi,2010,cc
lewi,2015,sc
lewi,2016,cc
mcna,2004,cc
mcna,2005,cc
mcna,2008,cc
mcna,2008,sc
mcna,2009,cc
mcna,2009,sc
mcna,2010,cc
mcna,2010,sc
mcna,2011,cc
mcna,2011,sc
mcna,2012,cc
mcna,2013,cc
mcna,2014,cc
mcna,2015,cc
nash,2005,cc
nash,2007,cc
nash,2008,cc
nash,2010,cc
nash,2013,cc
nash,2014,cc
nash,2016,cc
suth,2004,sc
suth,2013,cc
