site_year,site,year,gap_at_rotaonr_kgha,gap_at_contaonr_kgha,ngap_frac,manual_edit
brow_1999,brow,1999,0,0,1,NA
brow_2003,brow,2003,1061.497258787077,263.5781147977127,0.7516921380476376,NA
brow_2004,brow,2004,2113.453579739613,2071.3963551842444,0.019899762624807762,NA
brow_2005,brow,2005,1193.5012242798384,NA,NA,NA
brow_2006,brow,2006,9.085192513544825,0,1,NA
brow_2007,brow,2007,25.403161051905045,0,1,NA
deka_2000,deka,2000,1146.5367427491492,78.53899676028232,0.9314989273069761,NA
deka_2001,deka,2001,2565.1840361419836,1619.2585517552016,0.36875540743246105,NA
deka_2002,deka,2002,1727.9925083378703,996.3295516753769,0.4234178985916257,NA
deka_2003,deka,2003,2824.955244857745,1764.2463086149583,0.37547813834346266,NA
deka_2004,deka,2004,NA,NA,NA,NA
deka_2006,deka,2006,1087.315156651468,80.65161692398942,0.9258249860395887,NA
deka_2007,deka,2007,203.80122357756773,56.043400953363744,0.7250094971484146,NA
deka_2008,deka,2008,2161.4850916960586,691.5095756775117,0.6800766388192375,NA
dslo_1999,dslo,1999,288.3092407346521,271.85170783011745,0.057082918544679964,NA
dslo_2001,dslo,2001,1708.290581747462,1553.2530060400404,0.09075597405028658,NA
dslo_2002,dslo,2002,42.315247360055764,0,1,NA
dslo_2003,dslo,2003,1303.9445420061584,1282.29219880442,0.01660526387757689,NA
dslo_2004,dslo,2004,3849.8850834665654,845.6575232790783,0.7803421388054471,NA
dslo_2005,dslo,2005,65.71978786517866,30.844248648496432,0.5306702950445901,NA
dslo_2006,dslo,2006,641.0656400199714,63.706872979541004,0.9006234790909144,NA
dslo_2007,dslo,2007,1269.5062116729478,1152.2945849309563,0.09232851770573908,NA
dslo_2008,dslo,2008,1102.9809525870241,967.4800212226346,0.122849747356538,NA
dsup_2001,dsup,2001,486.2452042854511,120.03431912145788,0.7531403537483703,NA
dsup_2003,dsup,2003,641.9939768397126,603.630070585561,0.05975742396058317,NA
dsup_2004,dsup,2004,428.36136524944686,374.2509319073497,0.12631959306271037,NA
dsup_2005,dsup,2005,1505.2392694044283,729.8752204452067,0.5151101653533173,NA
dsup_2007,dsup,2007,1387.1824816195563,1293.372382013108,0.06762635835547999,NA
dsup_2008,dsup,2008,1230.5963814595343,1025.1907219713994,0.16691553996324607,NA
monm_1999,monm,1999,687.3095534477889,622.4594009851189,0.09435363168947462,NA
monm_2000,monm,2000,1895.1241949370851,533.2003842394242,0.7186462050012898,NA
monm_2001,monm,2001,2348.380168572947,1726.9515228667678,0.264620121572482,NA
monm_2002,monm,2002,3043.204437530221,3039.5022305114708,0.0012165489025623992,NA
monm_2003,monm,2003,5330.9929115593995,4787.829114481463,0.10188792333603996,NA
monm_2004,monm,2004,3296.3181181091622,440.437573291656,0.8663849915237246,NA
monm_2006,monm,2006,2137.89115574274,527.6342964911928,0.7531987093571733,NA
monm_2007,monm,2007,315.4009394873501,46.85374346327444,0.8514470389992176,NA
monm_2008,monm,2008,2662.643536213989,65.92015451790394,0.975242591198807,NA
orrc_2000,orrc,2000,0,0,1,NA
orrc_2001,orrc,2001,478.9896264620029,281.651940645982,0.4119873895258047,NA
orrc_2002,orrc,2002,360.89938756726315,0,1,NA
orrc_2003,orrc,2003,NA,NA,NA,NA
orrc_2004,orrc,2004,153.0451132738508,0,1,NA
orrc_2005,orrc,2005,692.5482068478714,509.19200602044475,0.2647558668326804,NA
orrc_2006,orrc,2006,0,0,1,NA
orrc_2007,orrc,2007,0,0,1,NA
orrc_2008,orrc,2008,0,0,1,NA
urba_1999,urba,1999,NA,NA,NA,NA
urba_2000,urba,2000,3621.5635408975922,3303.945061909424,0.08770203129155853,NA
urba_2001,urba,2001,162.234308802359,93.8942623799503,0.4212428735136633,NA
urba_2002,urba,2002,603.8835076496271,494.94982806806,0.1803885653468952,NA
urba_2003,urba,2003,756.2001832620481,175.30066002279273,0.7681822037299807,NA
urba_2004,urba,2004,737.2718578735803,447.5074075220655,0.3930225292841716,NA
urba_2006,urba,2006,0,0,1,NA
urba_2007,urba,2007,117.78319521648882,56.81449677155615,0.5176349506639762,NA
urba_2008,urba,2008,787.4436296139174,327.8693897239664,0.5836281133105105,NA
ames_2001,ames,2001,3460.3680520865073,2527.5729422375844,0.26956528779835226,NA
ames_2002,ames,2002,1631.076971505261,1618.1686197695453,0.00791400526230416,NA
