site,year,gap_at_rotaonr_kgha,gap_at_contaonr_kgha,ngap_frac
brow,1999,0,0,1
brow,2003,1061.0804059761717,266.52871115377775,0.7488138413897325
brow,2004,2113.452638963119,2078.710037008843,0.01643878898148453
brow,2005,1199.5140709352731,NA,NA
brow,2006,11.049705368959621,0,1
brow,2007,31.865480406495408,0,1
deka,2000,1157.2878546289248,77.01445319501363,0.9334526385229303
deka,2001,2575.16597000986,1618.837134088516,0.3713659030364098
deka,2002,1721.6403285548977,992.8584980183723,0.4233066677453164
deka,2003,2813.069217750066,1765.7053255218289,0.3723206971302093
deka,2004,NA,NA,NA
deka,2005,NA,NA,NA
deka,2006,1099.5269700035678,76.46112253773754,0.9304599844990711
deka,2007,207.62949111751368,55.67008475637704,0.7318777575538679
deka,2008,2171.976128673814,691.0444010794417,0.6818360975719442
dslo,1999,287.3628512226642,272.7179015692109,0.05096326679368031
dslo,2001,1705.386811611812,1553.839446380991,0.08886392471136158
dslo,2002,39.92755210666019,0,1
dslo,2003,1304.9408481488172,1281.114917127008,0.018258246000658524
dslo,2004,3845.0458155230453,839.8087446601548,0.7815868041754621
dslo,2005,67.6761187048105,29.75071751658288,0.5603956301579665
dslo,2006,632.727330185895,62.09021039175968,0.9018689292692358
dslo,2007,1268.3722003988078,1153.466179717645,0.09059329796492975
dslo,2008,1094.8960383763533,960.0334144141034,0.12317390805636746
dsup,2001,490.2290464622165,122.16875256893582,0.7507925051553391
dsup,2002,NA,NA,NA
dsup,2003,642.6798834328183,603.136157876861,0.06152942790855369
dsup,2004,430.42861452486795,376.78287869038104,0.12463329347586286
dsup,2005,1521.8639702258333,730.3720630003663,0.520080587168389
dsup,2006,NA,NA,NA
dsup,2007,1384.9432080758916,1293.35027850816,0.0661347909673365
dsup,2008,1234.815773102162,1028.9939457584042,0.16668221432471875
monm,1999,687.537202317415,620.3220512625267,0.09776220229004735
monm,2000,1911.3614789659277,532.624462943335,0.7213376596710048
monm,2001,2341.6921291332364,1725.6410486456352,0.2630794513178079
monm,2002,3044.572019653212,3040.048867696971,0.001485644592094898
monm,2003,5341.617494706269,4788.369810862866,0.103573062727103
