site,year,aonr_rot,aonr_kgha
brow,1999,aonr_cc,220
brow,1999,aonr_sc,259
brow,2001,aonr_cc,245
brow,2003,aonr_cc,62
brow,2003,aonr_sc,178
brow,2004,aonr_cc,90
brow,2004,aonr_sc,98
brow,2005,aonr_cc,342
brow,2005,aonr_sc,60
brow,2006,aonr_cc,73
brow,2006,aonr_sc,68
brow,2007,aonr_cc,205
brow,2007,aonr_sc,160
deka,1999,aonr_sc,310
deka,2000,aonr_cc,245
deka,2000,aonr_sc,136
deka,2001,aonr_cc,235
deka,2001,aonr_sc,121
deka,2002,aonr_cc,273
deka,2002,aonr_sc,162
deka,2003,aonr_cc,145
deka,2003,aonr_sc,81
deka,2004,aonr_sc,254
deka,2005,aonr_sc,250
deka,2006,aonr_cc,230
deka,2006,aonr_sc,131
deka,2007,aonr_cc,212
deka,2007,aonr_sc,175
deka,2008,aonr_cc,276
deka,2008,aonr_sc,146
dslo,1999,aonr_cc,166
dslo,1999,aonr_sc,157
dslo,2000,aonr_cc,162
dslo,2000,aonr_sc,403
dslo,2001,aonr_cc,205
dslo,2001,aonr_sc,164
dslo,2002,aonr_cc,210
dslo,2002,aonr_sc,169
dslo,2003,aonr_cc,253
dslo,2003,aonr_sc,237
dslo,2004,aonr_cc,261
dslo,2004,aonr_sc,74
dslo,2005,aonr_cc,221
dslo,2005,aonr_sc,207
dslo,2006,aonr_cc,268
dslo,2006,aonr_sc,193
dslo,2007,aonr_cc,219
dslo,2007,aonr_sc,256
dslo,2008,aonr_cc,247
dslo,2008,aonr_sc,219
dsup,2001,aonr_cc,297
dsup,2001,aonr_sc,220
dsup,2002,aonr_sc,182
dsup,2003,aonr_cc,212
dsup,2003,aonr_sc,242
dsup,2004,aonr_cc,234
dsup,2004,aonr_sc,261
dsup,2005,aonr_cc,151
dsup,2005,aonr_sc,90
dsup,2006,aonr_sc,257
dsup,2007,aonr_cc,248
dsup,2007,aonr_sc,195
dsup,2008,aonr_cc,224
dsup,2008,aonr_sc,275
monm,1999,aonr_cc,145
monm,1999,aonr_sc,176
monm,2000,aonr_cc,241
monm,2000,aonr_sc,128
monm,2001,aonr_cc,240
monm,2001,aonr_sc,166
monm,2002,aonr_cc,197
monm,2002,aonr_sc,191
monm,2003,aonr_cc,171
monm,2003,aonr_sc,99
monm,2004,aonr_cc,245
monm,2004,aonr_sc,83
monm,2005,aonr_cc,425
monm,2005,aonr_sc,153
monm,2006,aonr_cc,216
monm,2006,aonr_sc,115
monm,2007,aonr_cc,185
monm,2007,aonr_sc,156
monm,2008,aonr_cc,255
monm,2008,aonr_sc,110
orrc,1999,aonr_cc,120
orrc,2000,aonr_cc,120
orrc,2000,aonr_sc,159
orrc,2001,aonr_cc,177
orrc,2001,aonr_sc,136
orrc,2002,aonr_cc,198
orrc,2002,aonr_sc,136
orrc,2003,aonr_sc,217
orrc,2004,aonr_cc,238
orrc,2004,aonr_sc,188
orrc,2005,aonr_cc,131
orrc,2005,aonr_sc,94
orrc,2006,aonr_cc,154
orrc,2006,aonr_sc,159
orrc,2007,aonr_cc,201
orrc,2007,aonr_sc,157
orrc,2008,aonr_cc,224
orrc,2008,aonr_sc,245
urba,1999,aonr_sc,241
urba,2000,aonr_cc,213
urba,2000,aonr_sc,143
urba,2001,aonr_cc,213
urba,2001,aonr_sc,252
urba,2002,aonr_cc,158
urba,2002,aonr_sc,194
urba,2003,aonr_cc,200
urba,2003,aonr_sc,138
urba,2004,aonr_cc,263
urba,2004,aonr_sc,213
urba,2005,aonr_cc,215
urba,2005,aonr_sc,424
urba,2006,aonr_cc,139
urba,2006,aonr_sc,119
urba,2007,aonr_cc,190
urba,2007,aonr_sc,171
urba,2008,aonr_cc,271
urba,2008,aonr_sc,202
ames,1999,aonr_cc,242
ames,2000,aonr_cc,179
ames,2001,aonr_cc,206
ames,2001,aonr_sc,111
ames,2002,aonr_cc,154
ames,2002,aonr_sc,164
ames,2003,aonr_cc,212
ames,2003,aonr_sc,94
ames,2004,aonr_cc,237
ames,2004,aonr_sc,134
ames,2005,aonr_cc,140
ames,2005,aonr_sc,173
ames,2006,aonr_cc,206
ames,2006,aonr_sc,195
ames,2007,aonr_cc,214
ames,2007,aonr_sc,214
ames,2008,aonr_cc,334
ames,2008,aonr_sc,264
ames,2009,aonr_cc,207
ames,2009,aonr_sc,173
ames,2010,aonr_cc,267
ames,2010,aonr_sc,197
ames,2011,aonr_cc,161
ames,2011,aonr_sc,149
ames,2012,aonr_cc,129
ames,2012,aonr_sc,147
ames,2013,aonr_cc,171
ames,2013,aonr_sc,224
ames,2014,aonr_cc,251
ames,2014,aonr_sc,195
ames,2015,aonr_cc,217
ames,2015,aonr_sc,134
ames,2016,aonr_cc,187
ames,2016,aonr_sc,214
craw,1999,aonr_sc,155
craw,2000,aonr_cc,237
craw,2000,aonr_sc,84
craw,2001,aonr_cc,276
craw,2001,aonr_sc,154
craw,2002,aonr_cc,159
craw,2002,aonr_sc,191
craw,2003,aonr_cc,208
craw,2003,aonr_sc,135
craw,2005,aonr_sc,275
craw,2006,aonr_cc,301
craw,2006,aonr_sc,208
craw,2007,aonr_sc,251
craw,2009,aonr_cc,296
craw,2009,aonr_sc,188
craw,2010,aonr_cc,118
craw,2010,aonr_sc,90
craw,2011,aonr_sc,277
craw,2012,aonr_cc,222
craw,2012,aonr_sc,215
craw,2013,aonr_cc,151
craw,2013,aonr_sc,134
craw,2014,aonr_cc,259
craw,2014,aonr_sc,244
craw,2015,aonr_cc,278
craw,2015,aonr_sc,204
craw,2016,aonr_cc,198
craw,2016,aonr_sc,161
kana,2005,aonr_sc,146
kana,2006,aonr_cc,226
kana,2006,aonr_sc,204
kana,2007,aonr_cc,126
kana,2007,aonr_sc,121
kana,2008,aonr_cc,273
kana,2008,aonr_sc,205
kana,2009,aonr_cc,185
kana,2009,aonr_sc,173
kana,2010,aonr_cc,351
kana,2010,aonr_sc,238
kana,2011,aonr_cc,141
kana,2011,aonr_sc,173
kana,2012,aonr_cc,343
kana,2012,aonr_sc,189
kana,2013,aonr_cc,294
kana,2013,aonr_sc,340
kana,2014,aonr_sc,235
kana,2015,aonr_cc,252
kana,2015,aonr_sc,184
kana,2016,aonr_cc,229
kana,2016,aonr_sc,266
lewi,2001,aonr_sc,223
lewi,2002,aonr_cc,190
lewi,2002,aonr_sc,177
lewi,2003,aonr_cc,148
lewi,2003,aonr_sc,123
lewi,2004,aonr_cc,150
lewi,2004,aonr_sc,80
lewi,2005,aonr_cc,183
lewi,2005,aonr_sc,145
lewi,2006,aonr_cc,164
lewi,2006,aonr_sc,143
lewi,2007,aonr_cc,197
lewi,2007,aonr_sc,200
lewi,2008,aonr_cc,210
lewi,2008,aonr_sc,181
lewi,2009,aonr_cc,230
lewi,2009,aonr_sc,259
lewi,2010,aonr_sc,264
lewi,2011,aonr_cc,233
lewi,2011,aonr_sc,115
lewi,2012,aonr_cc,191
lewi,2012,aonr_sc,121
lewi,2013,aonr_cc,337
lewi,2013,aonr_sc,199
lewi,2014,aonr_cc,212
lewi,2014,aonr_sc,176
lewi,2015,aonr_cc,264
lewi,2016,aonr_sc,297
mcna,1999,aonr_sc,244
mcna,2000,aonr_cc,142
mcna,2000,aonr_sc,131
mcna,2001,aonr_cc,215
mcna,2001,aonr_sc,241
mcna,2002,aonr_cc,223
mcna,2002,aonr_sc,98
mcna,2003,aonr_cc,264
mcna,2003,aonr_sc,134
mcna,2004,aonr_sc,318
mcna,2005,aonr_sc,158
mcna,2006,aonr_cc,230
mcna,2006,aonr_sc,123
mcna,2007,aonr_cc,305
mcna,2007,aonr_sc,273
mcna,2012,aonr_sc,80
mcna,2013,aonr_sc,224
mcna,2014,aonr_sc,280
mcna,2015,aonr_sc,309
mcna,2016,aonr_cc,254
mcna,2016,aonr_sc,241
nash,2005,aonr_sc,185
nash,2006,aonr_cc,187
nash,2006,aonr_sc,242
nash,2007,aonr_sc,220
nash,2008,aonr_sc,275
nash,2009,aonr_cc,200
nash,2009,aonr_sc,196
nash,2010,aonr_sc,217
nash,2011,aonr_cc,264
nash,2011,aonr_sc,203
nash,2012,aonr_cc,148
nash,2012,aonr_sc,192
nash,2013,aonr_sc,241
nash,2014,aonr_sc,297
nash,2015,aonr_cc,258
nash,2015,aonr_sc,261
nash,2016,aonr_sc,288
suth,2000,aonr_cc,163
suth,2001,aonr_cc,124
suth,2001,aonr_sc,143
suth,2002,aonr_cc,140
suth,2002,aonr_sc,58
suth,2003,aonr_cc,135
suth,2003,aonr_sc,76
suth,2004,aonr_cc,84
suth,2005,aonr_cc,79
suth,2005,aonr_sc,91
suth,2006,aonr_cc,137
suth,2006,aonr_sc,206
suth,2007,aonr_cc,200
suth,2007,aonr_sc,231
suth,2008,aonr_cc,231
suth,2008,aonr_sc,196
suth,2009,aonr_cc,192
suth,2009,aonr_sc,153
suth,2010,aonr_cc,299
suth,2010,aonr_sc,152
suth,2011,aonr_cc,176
suth,2011,aonr_sc,132
suth,2012,aonr_cc,224
