site,year,gap_at_rotaonr_kgha,gap_at_contaonr_kgha,ngap_frac
ames,1999,1785.6856459860119,0,1
ames,2000,2342.438448377452,0,1
ames,2001,1636.2123409682954,0,1
ames,2002,1326.4912605873851,0,1
ames,2003,2300.0090321297357,0,1
ames,2005,3551.88042521894,0,1
ames,2006,1109.3058350775955,0,1
ames,2007,2605.156120928653,0,1
ames,2008,1488.8104531375848,0,1
ames,2009,1638.6596255219156,0,1
ames,2010,1243.3406388162766,0,1
ames,2011,1477.221630580514,8.854959893124033,0.9940056659679128
ames,2012,402.18690238659906,0,1
ames,2013,1529.9343673020303,0,1
ames,2014,2262.9199439748563,0,1
ames,2015,1964.8896832510727,35.32240195644408,0.9820232136910606
ames,2016,1516.7879553946732,0,1
ames,2019,20.09061316581574,0,1
ames,2004,NA,NA,NA
craw,1999,596.1406279722387,0,1
craw,2001,7.998213611343999,7.838640213696635,0.01995112976490629
craw,2002,1898.0605054203825,0,1
craw,2003,594.6801817003179,0,1
craw,2004,3359.795965557474,876.397030675962,0.7391517105025912
craw,2005,1273.0198122390757,0,1
craw,2006,947.465988718086,0,1
craw,2007,778.1878910920859,0,1
craw,2008,2192.3118027081855,0,1
craw,2009,3068.9018459036015,NA,NA
craw,2010,1575.7561161017557,0,1
craw,2011,1214.5228778426008,0,1
craw,2012,736.4375456223979,0,1
craw,2013,1525.6523517594687,0,1
craw,2014,712.7332202411653,440.8999006951781,0.38139560753742874
craw,2015,4307.089013964041,0,1
craw,2016,412.3719894055703,0,1
craw,2019,175.03759761133642,24.082222424790416,0.8624168592723492
craw,2000,NA,NA,NA
kana,2005,0,0,1
kana,2009,1926.187223988567,0,1
kana,2010,2812.3132350549167,0,1
kana,2011,976.7924055652456,56.806858258547436,0.9418434685457299
kana,2012,1186.5267858751868,0,1
kana,2014,667.4287146067609,0,1
kana,2015,2564.382224926241,91.51162921367904,0.9643143567584543
kana,2016,1645.92457419958,0,1
kana,2018,0,0,1
kana,2019,6.013688813024601,0,1
kana,2007,NA,NA,NA
kana,2008,NA,NA,NA
lewi,2001,0,0,1
lewi,2002,0,0,1
lewi,2003,1415.3449394265917,0,1
lewi,2004,4049.946180997882,0,1
lewi,2005,1750.4336218015596,0,1
lewi,2007,1390.6942930192163,0,1
lewi,2008,1553.0396506686557,0,1
lewi,2009,1129.8646485942936,0,1
lewi,2010,1401.8507715277083,0,1
lewi,2011,1446.3168916253017,0,1
lewi,2013,1307.7128352865639,0,1
lewi,2014,2081.203886338011,0,1
lewi,2015,3173.4678150360924,0,1
lewi,2016,2337.837150285599,0,1
lewi,2018,0,0,1
lewi,2019,0.13731263515001046,0,1
mcna,2000,0,0,1
mcna,2001,1154.495213405391,0,1
mcna,2003,0,0,1
mcna,2004,1719.1934193720044,0,1
mcna,2005,3076.3861640729056,0,1
mcna,1999,NA,NA,NA
mcna,2009,NA,NA,NA
mcna,2011,NA,NA,NA
mcna,2013,NA,NA,NA
mcna,2015,NA,NA,NA
mcna,2008,NA,NA,NA
nash,2006,1618.6368443404062,0,1
nash,2011,1080.8170324134317,0,1
nash,2012,1149.1454662734336,0,1
nash,2015,1188.5352580865074,0,1
nash,2016,2122.15664286243,0,1
nash,2018,0,0,1
nash,2019,0,0,1
nash,2005,NA,NA,NA
nash,2007,NA,NA,NA
nash,2009,NA,NA,NA
nash,2013,NA,NA,NA
nash,2008,NA,NA,NA
nash,2010,NA,NA,NA
nash,2014,NA,NA,NA
suth,2000,2542.061206731847,2526.3161575788254,0.006193811978769783
suth,2003,435.7377038274208,0,1
suth,2005,1425.9739316330579,25.56957932761361,0.9820686909063402
suth,2006,8.963526188934338,5.50211653488077,0.38616606691312527
suth,2007,645.6475374676083,58.918513157070265,0.9087450818938093
suth,2008,3176.9983311897013,0,1
suth,2009,1326.5146335905247,0,1
suth,2011,2726.764443544321,0,1
suth,2012,9.212616057976447,2.640765128089697,0.7133533937080472
suth,2013,2580.349382868244,595.9652518667535,0.7690369932755791
suth,2014,2411.1029787477037,0,1
suth,2015,4174.7481370732985,0,1
suth,2016,1332.597259963457,0,1
suth,2019,0,0,1
suth,2002,NA,NA,NA
suth,2004,NA,NA,NA
suth,2010,NA,NA,NA
brow,1999,488.95529178698234,75.79153667767423,0.8449929104956011
brow,2000,1232.9193347391229,0,1
brow,2001,1282.1268948106863,13.262298017149078,0.9896560176135238
brow,2002,70.13719653771659,0,1
brow,2003,555.036723793919,0,1
brow,2004,1633.0178711459248,0,1
brow,2006,0,0,1
brow,2007,1275.983826055085,0,1
brow,2008,86.36125476182679,0,1
deka,1999,680.4721502912125,0,1
deka,2000,4082.052832788765,0,1
deka,2002,570.1995226602903,0,1
deka,2004,1538.4289618614857,0,1
deka,2005,0,0,1
deka,2006,0,0,1
deka,2007,5301.008359751853,0,1
deka,2008,2924.1233931903607,0,1
deka,2001,NA,NA,NA
dslo,1998,187.2477497775435,2.857179473963697,0.9847411812566073
dslo,1999,931.2553966323221,101.84978255937676,0.8906317397701062
dslo,2000,90.50427471385592,0,1
dslo,2001,934.7383851810946,0,1
dslo,2002,1194.9119150714005,0,1
dslo,2003,1210.9130212172786,0,1
dslo,2004,346.954538843047,0,1
dslo,2006,597.3341725915379,0,1
dslo,2007,328.5970167303294,0,1
dslo,2008,234.79214711965687,0,1
dsup,1998,642.0205815833524,11.796571685707022,0.9816258667960235
dsup,2000,189.41589624785047,0,1
dsup,2001,1281.350567119458,0,1
dsup,2002,1174.3694828108455,0,1
dsup,2003,1158.0696237546053,0,1
dsup,2004,484.1447167330043,0,1
dsup,2007,323.86490352342935,0,1
dsup,2008,177.61152276318535,0,1
monm,1999,1570.779437815425,0,1
monm,2001,2040.9025047187042,0,1
monm,2002,2274.681139946215,0,1
monm,2003,1749.849371608192,0,1
monm,2004,1393.1435831211747,0,1
monm,2005,2383.790725596289,847.7538407926859,0.6443673382525532
monm,2006,922.8542717309538,125.26190790927285,0.8642668601681552
monm,2007,1459.4820357195877,0,1
monm,2008,1769.8459836743386,0,1
monm,2000,NA,NA,NA
orrc,2001,2714.4474885454774,0,1
orrc,2002,3685.758778150902,0,1
