manu_id,year,rotation,a,b,c,aonr_kgha
IA-1,2000,cc,6158.601541761436,14.105053231561135,-0.043075236360860546,164
IA-1,2001,cc,2791.4873865241734,57.94320483472379,-0.23274477516182274,124
IA-1,2001,sc,5431.7822088453595,31.441756147035058,-0.10936889963733484,144
IA-1,2002,cc,3140.351354253428,24.82344618812705,-0.08854992584362802,140
IA-1,2002,sc,5049.270109360423,40.974452890446535,-0.35265641069511006,58
IA-1,2003,cc,4153.468583975273,46.90996445265834,-0.17400164812923327,135
IA-1,2003,sc,7006.392662253275,59.28333768107845,-0.3875958592356288,76
IA-1,2004,cc,2588.8117020785944,20.053161512732782,-0.1197988575582739,84
IA-1,2004,sc,NA,NA,NA,NA
IA-1,2005,cc,7565.949381305297,59.293984099721236,-0.37552226397775174,79
IA-1,2005,sc,9182.106086410013,27.9011901560233,-0.15350394617521515,91
IA-1,2006,cc,5115.995114486652,40.60811453992262,-0.1478965256678347,137
IA-1,2006,sc,7576.806326169559,15.085461776347367,-0.03648309849299042,207
IA-1,2007,cc,4112.866908075567,51.34257031892432,-0.12814964739856752,200
IA-1,2007,sc,6164.824419140824,32.92353965853582,-0.0712297841813291,231
IA-1,2008,cc,4745.221966829441,45.391792954211795,-0.0982240316482732,231
IA-1,2008,sc,7414.415932941353,51.58956041699141,-0.13154497066418921,196
IA-1,2009,cc,3498.858079388559,60.8623600046134,-0.15792498668229454,193
IA-1,2009,sc,7190.9167104005755,54.11640348116419,-0.1767458017873535,153
IA-1,2010,cc,4139.583160998444,49.12590588043033,-0.08212088813297713,299
IA-1,2010,sc,6825.055877361041,61.94044610766897,-0.2039156219781176,152
IA-1,2011,cc,4093.220243518321,53.054972941262555,-0.15020168165205539,177
IA-1,2011,sc,6604.362217974577,43.356487003323515,-0.16347634792366844,133
IA-1,2012,cc,2874.2641235214696,58.76727330173914,-0.13071827620977602,225
IA-1,2012,sc,7325.967387746796,43.255774869030816,-0.09421297667439467,230
IA-1,2013,cc,NA,NA,NA,NA
IA-1,2013,sc,7325.967387746796,43.255774869030816,-0.09421297667439467,230
IA-1,2014,cc,2772.9691076074796,52.37683307063567,-0.09311212609188654,281
IA-1,2014,sc,6364.413597271863,50.15737688422214,-0.1402798019717007,179
IA-1,2015,cc,5497.962470948914,72.39798789945783,-0.24062169507426506,150
IA-1,2015,sc,8152.875286201866,52.654298554995385,-0.2019788968935529,130
IA-1,2016,cc,5995.47995313241,77.82820595489486,-0.2155751152155118,181
IA-1,2016,sc,7826.238474735698,85.3897918334991,-0.34681511056444886,123
IA-2,2005,sc,5040.944002829546,35.23218199854144,-0.12067986063860697,146
IA-2,2006,cc,3664.715327272491,49.80880527075998,-0.10995577295233355,226
IA-2,2006,sc,7828.756048029485,33.0929736760482,-0.08111758432869892,204
IA-2,2007,cc,1950.0487525658596,55.84350912427093,-0.2204463757896777,127
IA-2,2007,sc,4683.3968217235315,69.34248916921183,-0.28697311780677426,121
IA-2,2008,cc,2209.4850332182577,34.06548303093591,-0.06229613460297192,273
IA-2,2008,sc,3890.3992176714364,55.46374866690746,-0.13522505283261776,205
IA-2,2009,cc,3822.2566885691017,35.97257794522374,-0.09686655614210962,186
IA-2,2009,sc,5425.085006148409,40.97567811396527,-0.11825701867878868,173
IA-2,2010,cc,4022.367949794685,25.12386026590923,-0.03572385582644514,352
IA-2,2010,sc,5563.7855945470365,30.711175034172143,-0.06439498266842641,238
IA-2,2011,cc,3302.6780286115018,62.92279876945789,-0.22331798070177808,141
IA-2,2011,sc,6864.435133346429,22.58224322685547,-0.06530425103407116,173
IA-2,2012,cc,3262.0855743394095,14.910568696776618,-0.021714315766433914,343
IA-2,2012,sc,6014.12674713915,12.371940770547106,-0.03261295611936464,190
IA-2,2013,cc,4874.4828288499675,31.683378483607022,-0.05369958435439569,295
IA-2,2013,sc,6150.400977985447,26.941899790834697,-0.03957467713355824,340
IA-2,2014,cc,NA,NA,NA,NA
IA-2,2014,sc,6124.091675633685,32.65314929902125,-0.06937208249707286,235
IA-2,2015,cc,3383.0619792025714,38.97632579321856,-0.07717069457643053,253
IA-2,2015,sc,6257.927336076501,27.206596613855435,-0.07385827688599553,184
IA-2,2016,cc,5131.116158043233,61.43107122451979,-0.13368336905076794,230
IA-2,2016,sc,6406.869947426286,49.95514683249736,-0.09365374776617698,267
IA-3,2005,cc,NA,NA,NA,NA
IA-3,2005,sc,5654.580923747942,47.919039971605905,-0.12955390973008366,185
IA-3,2006,cc,4092.89045514642,44.308648364306606,-0.1182788359583735,187
IA-3,2006,sc,6615.39978187997,22.29992340692714,-0.04600011808470226,242
IA-3,2007,cc,NA,NA,NA,NA
IA-3,2007,sc,4798.246198984763,64.07342655892978,-0.14536997416243186,220
IA-3,2008,cc,NA,NA,NA,NA
IA-3,2008,sc,3793.99912193423,55.656803382933994,-0.10095097554594053,276
IA-3,2009,cc,2731.188171569666,62.6159115023933,-0.15656765725945374,200
