rot,Nrate,apsim_oat,year,corn_buac,yield_kgha
CC,270,base,1999,216.65,11490.802197404786
CC,270,base,2000,168.739,8949.672153186642
CC,270,base,2001,153.291,8130.3326085500885
CC,270,base,2002,212.938,11293.923093980982
CC,270,base,2003,221.09,11726.293366370752
CC,270,base,2004,254.127,13478.527994552898
CC,270,base,2005,233.536,12386.411179197432
CC,270,base,2006,201.997,10713.628301265517
CC,270,base,2007,217.687,11545.803175381749
CC,270,base,2008,230.195,12209.209378405694
CC,270,base,2009,234.079,12415.21111269935
CC,270,base,2010,203.83,10810.847966291334
CC,270,base,2011,177.453,9411.85009155814
CC,270,base,2012,205.433,10895.868764456298
CC,270,base,2013,162.786,8633.933655696908
CC,270,base,2014,192.353,10202.124509934929
CC,270,base,2015,203.393,10787.670119255718
CC,270,base,2016,209.157,11093.384330498926
CC,270,oat1,1999,205.169,10881.866586842107
CC,270,oat1,2000,158.344,8398.3364096278
CC,270,oat1,2001,152.083,8066.262038254843
CC,270,oat1,2002,202.052,10716.545421601806
CC,270,oat1,2003,208.342,11050.157910970263
CC,270,oat1,2004,239.422,12698.596093732049
CC,270,oat1,2005,227.87,12085.894746007976
CC,270,oat1,2006,196.062,10398.844497704025
CC,270,oat1,2007,212.038,11246.188397568963
CC,270,oat1,2008,216.217,11467.836504575445
CC,270,oat1,2009,226.704,12024.051794878626
CC,270,oat1,2010,196.879,10442.176994335823
CC,270,oat1,2011,177.363,9407.07662191694
CC,270,oat1,2012,194.963,10340.55512952979
CC,270,oat1,2013,154.028,8169.422021056379
CC,270,oat1,2014,183.85,9751.13770594447
CC,270,oat1,2015,204.695,10856.726313398442
CC,270,oat1,2016,205.227,10884.942822833102
CC,270,oat10,1999,205.165,10881.654432635829
CC,270,oat10,2000,158.342,8398.230332524665
CC,270,oat10,2001,146.686,7780.012975437426
CC,270,oat10,2002,199.353,10573.394370917313
CC,270,oat10,2003,208.358,11051.006527795367
CC,270,oat10,2004,239.419,12698.436978077343
CC,270,oat10,2005,227.874,12086.106900214254
CC,270,oat10,2006,185.652,9846.71317587165
CC,270,oat10,2007,193.121,10242.858117539852
CC,270,oat10,2008,215.881,11450.015551248292
CC,270,oat10,2009,226.094,11991.698278421589
CC,270,oat10,2010,196.5,10422.075383291207
CC,270,oat10,2011,177.363,9407.07662191694
CC,270,oat10,2012,189.005,10024.551439282212
CC,270,oat10,2013,143.498,7610.926073035733
CC,270,oat10,2014,184.003,9759.252604334511
CC,270,oat10,2015,204.712,10857.627968775112
CC,270,oat10,2016,193.345,10254.738753091291
CC,270,oat11,1999,191.844,10175.127887186352
CC,270,oat11,2000,146.659,7778.580934545065
CC,270,oat11,2001,142.176,7540.809107861632
CC,270,oat11,2002,188.914,10019.724931089442
CC,270,oat11,2003,194.792,10331.485537211507
CC,270,oat11,2004,223.854,11872.891922907227
CC,270,oat11,2005,217.479,11534.771156655414
CC,270,oat11,2006,195.426,10365.111978906196
CC,270,oat11,2007,211.775,11232.239258506337
CC,270,oat11,2008,202.194,10724.076895924592
CC,270,oat11,2009,219.321,11632.46816864535
CC,270,oat11,2010,185.769,9852.918686405214
CC,270,oat11,2011,165.83,8795.383006672677
CC,270,oat11,2012,182.303,9669.087066667364
CC,270,oat11,2013,142.031,7533.11851788414
CC,270,oat11,2014,183.829,9750.023896361525
CC,270,oat11,2015,191.436,10153.488158146238
CC,270,oat11,2016,204.299,10835.723046977153
CC,270,oat12,1999,191.845,10175.180925737923
CC,270,oat12,2000,146.656,7778.421818890359
CC,270,oat12,2001,140.007,7425.768489508662
CC,270,oat12,2002,188.119,9977.559282592156
CC,270,oat12,2003,194.797,10331.75072996935
CC,270,oat12,2004,223.857,11873.051038561933
CC,270,oat12,2005,217.474,11534.505963897567
CC,270,oat12,2006,189.625,10057.435341254937
CC,270,oat12,2007,201.16,10669.235033602337
CC,270,oat12,2008,202.204,10724.607281440283
CC,270,oat12,2009,219.309,11631.831706026522
CC,270,oat12,2010,185.762,9852.54741654423
CC,270,oat12,2011,165.826,8795.170852466399
CC,270,oat12,2012,179.295,9509.547103548075
CC,270,oat12,2013,137.06,7269.463878035078
CC,270,oat12,2014,183.921,9754.903443105864
CC,270,oat12,2015,191.422,10152.745618424273
CC,270,oat12,2016,199.379,10574.773373258102
CC,270,oat13,1999,186.824,9908.874358310417
CC,270,oat13,2000,143.293,7600.053169964107
CC,270,oat13,2001,136.907,7261.348979645035
CC,270,oat13,2002,184.46,9783.491222401506
CC,270,oat13,2003,190.938,10127.074959464919
CC,270,oat13,2004,220.242,11681.316674640317
CC,270,oat13,2005,212.405,11265.653545994754
CC,270,oat13,2006,185.467,9836.901043831402
CC,270,oat13,2007,202.574,10744.231545520779
CC,270,oat13,2008,197.181,10458.194636909637
CC,270,oat13,2009,214.042,11352.477654913064
CC,270,oat13,2010,181.646,9634.240738286586
CC,270,oat13,2011,157.929,8376.325410726704
CC,270,oat13,2012,176.278,9349.529793464668
CC,270,oat13,2013,137.578,7296.937847747775
CC,270,oat13,2014,176.501,9361.357390464538
CC,270,oat13,2015,184.379,9779.195099724424
CC,270,oat13,2016,195.826,10386.32739953376
CC,270,oat14,1999,191.842,10175.021810083215
CC,270,oat14,2000,146.656,7778.421818890359
CC,270,oat14,2001,137.424,7288.769910806162
CC,270,oat14,2002,186.588,9896.35726014015
CC,270,oat14,2003,194.808,10332.334154036607
CC,270,oat14,2004,223.854,11872.891922907227
CC,270,oat14,2005,217.477,11534.665079552275
CC,270,oat14,2006,186.094,9870.156215665109
CC,270,oat14,2007,193.075,10240.418344167683
CC,270,oat14,2008,201.886,10707.741022041368
CC,270,oat14,2009,219.117,11621.64830412529
CC,270,oat14,2010,185.51,9839.181701548865
CC,270,oat14,2011,165.828,8795.27692956954
CC,270,oat14,2012,177.17,9396.840181464137
CC,270,oat14,2013,133.199,7064.682030427509
CC,270,oat14,2014,183.98,9758.03271764843
