rot,Nrate,apsim_oat,year,corn_buac,yield_kgha
CC,270,base,1999,216.65,11559.252425
CC,270,base,2000,168.739,9002.9849755
CC,270,base,2001,153.291,8178.764659500001
CC,270,base,2002,212.938,11361.200520999999
CC,270,base,2003,221.09,11796.146405000001
CC,270,base,2004,254.127,13558.819021500001
CC,270,base,2005,233.536,12460.196512
CC,270,base,2006,201.997,10777.4489365
CC,270,base,2007,217.687,11614.581041500001
CC,270,base,2008,230.195,12281.9391275
CC,270,base,2009,234.079,12489.168005500002
CC,270,base,2010,203.83,10875.247735
CC,270,base,2011,177.453,9467.916088500002
CC,270,base,2012,205.433,10960.774998500001
CC,270,base,2013,162.786,8685.365637
CC,270,base,2014,192.353,10262.8981385
CC,270,base,2015,203.393,10851.9318185
CC,270,base,2016,209.157,11159.4671565
CC,270,oat1,1999,205.169,10946.689410500001
CC,270,oat1,2000,158.344,8448.364948
CC,270,oat1,2001,152.083,8114.3124235000005
CC,270,oat1,2002,202.052,10780.383434000001
CC,270,oat1,2003,208.342,11115.983239000001
CC,270,oat1,2004,239.422,12774.241098999999
CC,270,oat1,2005,227.87,12157.889915
CC,270,oat1,2006,196.062,10460.789979000001
CC,270,oat1,2007,212.038,11313.181471
CC,270,oat1,2008,216.217,11536.149926500002
CC,270,oat1,2009,226.704,12095.678568000001
CC,270,oat1,2010,196.879,10504.3806055
CC,270,oat1,2011,177.363,9463.1141835
CC,270,oat1,2012,194.963,10402.153383500001
CC,270,oat1,2013,154.028,8218.086926
CC,270,oat1,2014,183.85,9809.224825
CC,270,oat1,2015,204.695,10921.3993775
CC,270,oat1,2016,205.227,10949.7839715
CC,270,oat10,1999,205.165,10946.4759925
CC,270,oat10,2000,158.342,8448.258239
CC,270,oat10,2001,146.686,7826.358187000001
CC,270,oat10,2002,199.353,10636.3796385
CC,270,oat10,2003,208.358,11116.836911
CC,270,oat10,2004,239.419,12774.081035500001
CC,270,oat10,2005,227.874,12158.103333
CC,270,oat10,2006,185.652,9905.369633999999
CC,270,oat10,2007,193.121,10303.8743945
CC,270,oat10,2008,215.881,11518.222814499999
CC,270,oat10,2009,226.094,12063.132323
CC,270,oat10,2010,196.5,10484.15925
CC,270,oat10,2011,177.363,9463.1141835
CC,270,oat10,2012,189.005,10084.267272500001
CC,270,oat10,2013,143.498,7656.264040999999
CC,270,oat10,2014,184.003,9817.3880635
CC,270,oat10,2015,204.712,10922.306403999999
CC,270,oat10,2016,193.345,10315.825802500001
CC,270,oat11,1999,191.844,10235.740698
CC,270,oat11,2000,146.659,7824.9176155
CC,270,oat11,2001,142.176,7585.729392
CC,270,oat11,2002,188.914,10079.412013
CC,270,oat11,2003,194.792,10393.029764
CC,270,oat11,2004,223.854,11943.618243
CC,270,oat11,2005,217.479,11603.483305500002
CC,270,oat11,2006,195.426,10426.856517
CC,270,oat11,2007,211.775,11299.1492375
CC,270,oat11,2008,202.194,10787.959773
CC,270,oat11,2009,219.321,11701.7622945
CC,270,oat11,2010,185.769,9911.6121105
CC,270,oat11,2011,165.83,8847.776735
CC,270,oat11,2012,182.303,9726.685413500001
CC,270,oat11,2013,142.031,7577.992989500001
CC,270,oat11,2014,183.829,9808.1043805
CC,270,oat11,2015,191.436,10213.972062
CC,270,oat11,2016,204.299,10900.270995500001
CC,270,oat12,1999,191.845,10235.7940525
CC,270,oat12,2000,146.656,7824.757552
CC,270,oat12,2001,140.007,7470.0034815
CC,270,oat12,2002,188.119,10036.9951855
CC,270,oat12,2003,194.797,10393.2965365
CC,270,oat12,2004,223.857,11943.7783065
CC,270,oat12,2005,217.474,11603.216532999999
CC,270,oat12,2006,189.625,10117.3470625
CC,270,oat12,2007,201.16,10732.791220000001
CC,270,oat12,2008,202.204,10788.493318
CC,270,oat12,2009,219.309,11701.1220405
CC,270,oat12,2010,185.762,9911.238629
CC,270,oat12,2011,165.826,8847.563317
CC,270,oat12,2012,179.295,9566.195077499999
CC,270,oat12,2013,137.06,7312.7677699999995
CC,270,oat12,2014,183.921,9813.0129945
CC,270,oat12,2015,191.422,10213.225099000001
CC,270,oat12,2016,199.379,10637.766855499998
CC,270,oat13,1999,186.824,9967.901108000002
CC,270,oat13,2000,143.293,7645.326368500001
CC,270,oat13,2001,136.907,7304.604531500001
CC,270,oat13,2002,184.46,9841.77107
CC,270,oat13,2003,190.938,10187.401521
CC,270,oat13,2004,220.242,11750.901789
CC,270,oat13,2005,212.405,11332.7625725
CC,270,oat13,2006,185.467,9895.4990515
CC,270,oat13,2007,202.574,10808.234483000002
CC,270,oat13,2008,197.181,10520.4936645
CC,270,oat13,2009,214.042,11420.103889000002
CC,270,oat13,2010,181.646,9691.631507
CC,270,oat13,2011,157.929,8426.2228305
CC,270,oat13,2012,176.278,9405.224551
CC,270,oat13,2013,137.578,7340.405401000001
CC,270,oat13,2014,176.501,9417.1226045
CC,270,oat13,2015,184.379,9837.449355499999
CC,270,oat13,2016,195.826,10448.198317
CC,270,oat14,1999,191.842,10235.633989
CC,270,oat14,2000,146.656,7824.757552
CC,270,oat14,2001,137.424,7332.188808
CC,270,oat14,2002,186.588,9955.309446
CC,270,oat14,2003,194.808,10393.883436
CC,270,oat14,2004,223.854,11943.618243
CC,270,oat14,2005,217.477,11603.3765965
CC,270,oat14,2006,186.094,9928.952323
CC,270,oat14,2007,193.075,10301.4200875
CC,270,oat14,2008,201.886,10771.526587
CC,270,oat14,2009,219.117,11690.8779765
CC,270,oat14,2010,185.51,9897.793295
CC,270,oat14,2011,165.828,8847.670026000002
CC,270,oat14,2012,177.17,9452.816765
CC,270,oat14,2013,133.199,7106.7660455000005
CC,270,oat14,2014,183.98,9816.16091
CC,270,oat14,2015,191.436,10213.972062
CC,270,oat14,2016,193.44,10320.89448
CC,270,oat15,1999,199.797,10660.0690365
CC,270,oat15,2000,154.723,8255.1683035
CC,270,oat15,2001,144.906,7731.3871770000005
CC,270,oat15,2002,196.909,10505.981240500001
CC,270,oat15,2003,204.226,10896.376117
CC,270,oat15,2004,235.637,12572.294316500002
CC,270,oat15,2005,218.033,11633.0416985
CC,270,oat15,2006,182.479,9736.0758055
CC,270,oat15,2007,198.317,10581.104376500001
CC,270,oat15,2008,210.868,11250.756706
CC,270,oat15,2009,216.705,11562.186922500001
CC,270,oat15,2010,188.613,10063.3523085
CC,270,oat15,2011,168.916,9012.428722
CC,270,oat15,2012,187.452,10001.407734
CC,270,oat15,2013,146.116,7795.946122000001
CC,270,oat15,2014,176.568,9420.697356
CC,270,oat15,2015,197.186,10520.760437
CC,270,oat15,2016,194.452,10374.889234
CC,270,oat16,1999,186.823,9967.8477535
CC,270,oat16,2000,143.295,7645.4330775
CC,270,oat16,2001,135.612,7235.510454
CC,270,oat16,2002,184.18,9826.83181
CC,270,oat16,2003,190.941,10187.5615845
CC,270,oat16,2004,220.24,11750.795080000002
CC,270,oat16,2005,212.411,11333.0826995
CC,270,oat16,2006,182.664,9745.946388
CC,270,oat16,2007,198.268,10578.490006
CC,270,oat16,2008,197.189,10520.9205005
CC,270,oat16,2009,214.047,11420.3706615
CC,270,oat16,2010,181.653,9692.004988499999
CC,270,oat16,2011,157.935,8426.542957500002
CC,270,oat16,2012,175.463,9361.7406335
CC,270,oat16,2013,135.6,7234.870199999999
CC,270,oat16,2014,176.53,9418.669885
CC,270,oat16,2015,184.396,9838.356382
CC,270,oat16,2016,193.854,10342.983243
CC,270,oat17,1999,210.827,11248.5691715
CC,270,oat17,2000,165.013,8804.186108500002
CC,270,oat17,2001,145.698,7773.643941
CC,270,oat17,2002,207.886,11091.653587
CC,270,oat17,2003,217.052,11580.700934
CC,270,oat17,2004,249.915,13334.089867499999
CC,270,oat17,2005,222.236,11857.290662
CC,270,oat17,2006,186.435,9947.1462075
CC,270,oat17,2007,204.081,10888.6397145
CC,270,oat17,2008,225.09,12009.564405000001
CC,270,oat17,2009,222.819,11888.3963355
CC,270,oat17,2010,193.567,10327.6705015
CC,270,oat17,2011,169.301,9032.9702045
CC,270,oat17,2012,198.42,10586.59989
CC,270,oat17,2013,155.143,8277.5771935
CC,270,oat17,2014,184.098,9822.456741
CC,270,oat17,2015,196.078,10461.643651
CC,270,oat17,2016,198.696,10601.325732000001
CC,270,oat18,1999,197.137,10518.146066500001
CC,270,oat18,2000,152.833,8154.3282985
CC,270,oat18,2001,137.878,7356.411750999999
CC,270,oat18,2002,194.517,10378.357276499999
CC,270,oat18,2003,202.938,10827.655521
CC,270,oat18,2004,233.611,12464.1980995
CC,270,oat18,2005,222.217,11856.2769265
CC,270,oat18,2006,193.627,10330.8717715
CC,270,oat18,2007,209.709,11188.9188405
CC,270,oat18,2008,210.479,11230.001805500002
CC,270,oat18,2009,222.808,11887.809436
CC,270,oat18,2010,192.685,10280.6118325
CC,270,oat18,2011,158.322,8447.191149
CC,270,oat18,2012,185.97,9922.336365
CC,270,oat18,2013,147.553,7872.6165384999995
CC,270,oat18,2014,184.017,9818.1350265
CC,270,oat18,2015,183.356,9782.867702
CC,270,oat18,2016,199.201,10628.2697545
CC,270,oat19,1999,197.136,10518.092712
CC,270,oat19,2000,152.833,8154.3282985
CC,270,oat19,2001,137.73,7348.5152849999995
CC,270,oat19,2002,194.507,10377.8237315
CC,270,oat19,2003,202.936,10827.548812000001
CC,270,oat19,2004,233.612,12464.251454
CC,270,oat19,2005,222.213,11856.063508500001
CC,270,oat19,2006,189.883,10131.1125235
CC,270,oat19,2007,208.149,11105.6858205
CC,270,oat19,2008,210.477,11229.8950965
CC,270,oat19,2009,222.806,11887.702727000002
CC,270,oat19,2010,192.675,10280.0782875
CC,270,oat19,2011,158.317,8446.924376500001
CC,270,oat19,2012,185.969,9922.2830105
CC,270,oat19,2013,145.856,7782.073952
CC,270,oat19,2014,184.042,9819.468889000002
CC,270,oat19,2015,183.34,9782.01403
CC,270,oat19,2016,199.197,10628.0563365
CC,270,oat2,1999,222.822,11888.556399
CC,270,oat2,2000,168.134,8970.705503
CC,270,oat2,2001,190.206,10148.346027
CC,270,oat2,2002,204.972,10936.178574
CC,270,oat2,2003,235.639,12572.4010255
CC,270,oat2,2004,244.587,13049.817091500001
CC,270,oat2,2005,217.757,11618.315856500001
CC,270,oat2,2006,197.078,10514.998151000002
CC,270,oat2,2007,210.101,11209.8338045
CC,270,oat2,2008,230.197,12282.045836500001
CC,270,oat2,2009,217.677,11614.047496500001
CC,270,oat2,2010,202.085,10782.144132500001
CC,270,oat2,2011,202.011,10778.1958995
CC,270,oat2,2012,132.666,7078.3280970000005
CC,270,oat2,2013,167.005,8910.4682725
CC,270,oat2,2014,186.251,9937.3289795
CC,270,oat2,2015,194.116,10356.962122
CC,270,oat2,2016,208.388,11118.437546000001
CC,270,oat20,1999,202.578,10808.447901
CC,270,oat20,2000,156.295,8339.0415775
CC,270,oat20,2001,138.329,7380.474630500001
CC,270,oat20,2002,196.725,10496.164012500001
CC,270,oat20,2003,206.73,11029.975785
CC,270,oat20,2004,237.606,12677.349327
CC,270,oat20,2005,229.322,12235.360649
CC,270,oat20,2006,190.963,10188.735383500001
CC,270,oat20,2007,199.648,10652.119216
CC,270,oat20,2008,215.056,11474.205352
CC,270,oat20,2009,232.165,12387.0474925
CC,270,oat20,2010,197.337,10528.816966499999
CC,270,oat20,2011,165.931,8853.1655395
CC,270,oat20,2012,188.184,10040.463228
CC,270,oat20,2013,141.659,7558.1451154999995
CC,270,oat20,2014,192.461,10268.6604245
CC,270,oat20,2015,190.213,10148.7195085
CC,270,oat20,2016,197.52,10538.58084
CC,270,oat21,1999,197.137,10518.146066500001
CC,270,oat21,2000,152.83,8154.168235000002
CC,270,oat21,2001,136.366,7275.7397470000005
CC,270,oat21,2002,194.441,10374.302334500002
CC,270,oat21,2003,202.939,10827.7088755
