site,year,ogap_kgha,ogap_buac
brow,1999,-413.17031672182384,-7.789979242308891
brow,2001,659.7995815172635,12.439966851646021
brow,2003,847.5560540712145,15.97995741875435
brow,2004,643.3576305309016,12.129967677690225
brow,2005,332.55171833707936,6.269983292590114
brow,2006,472.5734944790056,8.909976257891179
brow,2007,-403.09299192373146,-7.5999797485940555
brow,2008,-997.1247694955446,-18.799949904416845
deka,1999,705.41273586653,13.299964560039598
deka,2000,-278.45239573678737,-5.2499860105419325
deka,2001,2100.3266421289154,39.59989447951637
deka,2002,1108.5057277902606,20.899944308633636
deka,2003,1672.8359164834837,31.539915956665297
deka,2004,1214.0524454123952,22.88993900596286
deka,2005,687.9100138487865,12.969965439376914
deka,2006,115.62404242022967,2.179994191044112
deka,2007,194.65148425790903,3.6699902207026915
deka,2008,1154.118882139528,21.75994201702723
dslo,1999,-716.0204461803114,-13.499964027107842
dslo,2000,1116.461510525599,21.049943908934864
dslo,2001,1184.8812420494933,22.339940471525132
dslo,2002,93.87823627697435,1.7699952835541426
dslo,2003,1181.6989289553567,22.279940631404614
dslo,2004,1312.7041513305721,24.749934049697732
dslo,2005,-1.5911565470687492,-0.029999920060265868
dslo,2006,-231.7784703561465,-4.369988355441599
dslo,2007,1032.6605990467197,19.469948119095605
dslo,2008,426.96034012974087,8.049978549497633
dsup,1999,NA,NA
dsup,2000,1242.1628777439191,23.419937593693774
dsup,2001,267.31429990731704,5.039986570120276
dsup,2002,287.9993350191926,5.429985530903389
dsup,2003,945.677374473702,17.8299524891358
dsup,2004,543.6451535813485,10.249972687248565
dsup,2005,1189.654711690695,22.429940231705842
dsup,2006,-983.3347460876284,-18.539950597228117
dsup,2007,1459.6209391764578,27.51992666859319
dsup,2008,1306.3395251423026,24.629934369456777
monm,1999,334.1428748841445,6.299983212650312
monm,2000,511.8220226400008,9.649974286043761
monm,2001,1490.3832990864266,28.099925123091154
monm,2002,3610.8645908115304,68.07981859003728
monm,2003,5101.247889897955,96.17974371312839
monm,2004,2.121542062755907,0.039999893413642094
monm,2005,2830.667497232832,53.36985778716635
monm,2006,252.9938909837092,4.76998728957809
monm,2007,308.1539846153755,5.809984518333023
monm,2008,551.0705508009942,10.389972314196314
orrc,1999,-535.6893708460111,-10.099973086947356
orrc,2000,169.7233650205162,3.199991473092191
orrc,2001,345.28097071361753,6.509982653072017
orrc,2002,205.78958008737754,3.879989661124312
orrc,2003,-110.85057277902524,-2.089994430863348
orrc,2004,-390.89412506288136,-7.369980361465545
orrc,2005,819.445621739691,15.449958831023444
orrc,2006,-297.5462743015951,-5.609985051264796
orrc,2007,210.03266421289118,3.9599894479516315
orrc,2008,-74.78435771216573,-1.4099962428312611
urba,1999,604.6394878855954,11.399969622891051
urba,2000,3025.318981490741,57.03984800786905
urba,2001,111.3809582947124,2.0999944042167247
urba,2002,847.5560540712122,15.979957418754303
urba,2003,-103.9555610750649,-1.959994777268943
urba,2004,267.31429990731704,5.039986570120276
urba,2005,1430.2375816072836,26.965928144814153
urba,2006,-715.4900606646224,-13.48996405375443
urba,2007,-327.77824869587675,-6.179983532409383
urba,2008,516.0651067655126,9.729974072871046
ames,1999,NA,NA
ames,2000,567.512501787357,10.699971488152125
ames,2001,2163.9729040116126,40.799891281926016
ames,2002,1368.3946304779274,25.799931251806083
ames,2003,2190.492179796064,41.2998899495966
ames,2004,739.8877943863226,13.949962828011454
ames,2005,2070.6250532503236,39.03989597172522
ames,2006,1823.995788454884,34.38990836238809
ames,2007,310.27552667813507,5.849984411746734
ames,2008,1096.3068609294114,20.669944921505145
ames,2009,758.9816729511294,14.3099618687343
ames,2010,790.8048038924753,14.909960269939068
ames,2011,1210.3397468025705,22.819939192488956
ames,2012,320.35285147622926,6.039983905461602
ames,2013,213.21497730702868,4.019989288072162
ames,2014,574.9378990070036,10.83997111509989
ames,2015,1243.7540342909888,23.449937513754055
ames,2016,370.73947546669297,6.989981374035808
craw,1999,NA,NA
craw,2000,265.1927578445593,4.9999866767066
craw,2001,885.7438112008294,16.69995550020007
craw,2002,3675.571623725602,69.29981533915367
craw,2003,3977.8913676683987,74.99980015059917
craw,2004,39.77891367668417,0.749998001505995
craw,2005,2875.2198805507187,54.209855548853085
craw,2006,799.2909721435026,15.069959843593708
craw,2007,1196.0193378789663,22.549939911946836
craw,2008,2851.3525323447084,53.759856747949485
craw,2009,2226.0280093472393,41.96988816427535
craw,2010,873.5449443399802,16.469956113071575
craw,2011,1905.144772355321,35.91990428546035
craw,2012,1630.4050752283556,30.739918088392265
craw,2013,3093.738713014637,58.329844570459336
craw,2014,1167.9089055474415,22.019941324215907
craw,2015,1525.9191286375972,28.76992333776983
craw,2016,300.1982018800427,5.6599849180319
kana,2005,NA,NA
kana,2006,1862.1835455844994,35.10990644383382
kana,2007,4212.321765602991,79.41978837280783
kana,2008,3088.9652433734345,58.23984481027862
kana,2009,2011.2218754931428,37.91989895614294
kana,2010,1090.47262025683,20.559945214617574
kana,2011,923.4011828147568,17.4099536082924
kana,2012,1581.0792222692653,29.809920566524802
kana,2013,1119.6438236197318,21.10994374905531
kana,2014,2110.4039669270096,39.789893973231244
kana,2015,923.4011828147577,17.409953608292422
kana,2016,710.186205507729,13.38996432022026
lewi,2001,NA,NA
lewi,2002,1028.9479004368927,19.399948305621656
lewi,2003,2466.2926479544085,46.49987609337151
lewi,2004,-182.4526173970571,-3.4399908335741465
lewi,2005,685.7884717860325,12.929965545963306
lewi,2006,726.6281564940946,13.699963494176123
lewi,2007,392.4852816099519,7.3999802815258455
lewi,2008,1295.731814828523,24.42993490238857
lewi,2009,1392.7923641996313,26.25993002606317
lewi,2010,782.8490211571425,14.759960669637948
lewi,2011,846.4952830398352,15.9599574720475
lewi,2012,3136.1695542697653,59.129842438732375
lewi,2013,-1934.315975718222,-36.46990281989806
lewi,2014,1275.0467797166439,24.03993594160538
lewi,2015,1507.8860211041665,28.429924243753767
lewi,2016,893.6995939361677,16.849955100501294
mcna,1999,NA,NA
mcna,2000,281.10432331523316,5.299985877309001
mcna,2001,1596.460402224251,30.099919793773807
mcna,2002,1081.9864520058036,20.399945640962958
mcna,2003,1363.0907753210386,25.699931518271995
mcna,2004,250.8723489209533,4.729987396164447
mcna,2005,2387.795591632417,45.019880037066315
mcna,2006,-327.77824869587766,-6.179983532409402
mcna,2007,2049.940018138448,38.6498970109421
mcna,2008,3041.760932477102,57.34984718182483
mcna,2009,1529.6318272474227,28.839923151243752
mcna,2010,2223.3760817687908,41.91988829750824
mcna,2011,1124.4172932609363,21.199943509236075
mcna,2012,1532.283754825868,28.88992301801082
mcna,2013,1086.759921647007,20.489945401143704
mcna,2014,710.186205507729,13.38996432022026
mcna,2015,4705.580295193873,88.71976359148215
mcna,2016,250.87234892095694,4.729987396164515
nash,2005,889.9868953263413,16.779955287027352
nash,2006,958.9370123659264,18.079951822971065
nash,2007,1720.0402273798154,32.429913585119074
nash,2008,2777.0985601482334,52.35986047847167
nash,2009,1829.2996436117737,34.489908095922196
nash,2010,583.4240672580308,10.999970688754525
nash,2011,292.2424191447044,5.509985317730674
nash,2012,1789.5207299350905,33.73991009441622
nash,2013,927.6442669402732,17.489953395119773
nash,2014,1004.0197811995058,18.929949558011266
nash,2015,-89.10476663576992,-1.6799955233733794
nash,2016,331.4909473056996,6.249983345883259
suth,2000,NA,NA
suth,2001,1249.0578894478776,23.54993724728815
suth,2002,1331.2676443796918,25.099933117067206
suth,2003,2211.7076004236305,41.69988888373315
suth,2004,280.5739377995451,5.289985903955607
suth,2005,788.1528763140341,14.859960403172085
suth,2006,1354.0742215543223,25.52993197126395
suth,2007,1400.2177614192788,26.39992965301095
suth,2008,2466.8230334700984,46.50987606672493
suth,2009,2303.994680153539,43.43988424722709
suth,2010,219.5796034952964,4.139988968313088
suth,2011,972.1966502581581,18.329951156806462
suth,2012,2889.540289474324,54.47985482939522
suth,2013,1193.8977958162086,22.509940018533158
suth,2014,724.5066144313387,13.659963600762481
suth,2015,659.7995815172671,12.439966851646087
suth,2016,826.3406334436477,15.579958484617782
