site,year,yield_kgha,rot2
brow,1999,5585.489865722122,cc
brow,1999,5172.319549000298,sc
brow,2001,7175.585641758104,cc
brow,2001,7835.385223275368,sc
brow,2003,3248.6112835958597,cc
brow,2003,4096.167337667074,sc
brow,2004,9745.303465271892,cc
brow,2004,10388.661095802794,sc
brow,2005,4588.3650962265765,cc
brow,2005,4920.916814563656,sc
brow,2006,4943.193006222598,cc
brow,2006,5415.766500701604,sc
brow,2007,8512.687526810376,cc
brow,2007,8109.594534886644,sc
brow,2008,9010.719526042458,cc
brow,2008,8013.594756546913,sc
deka,1999,9329.48122097162,cc
deka,1999,10034.89395683815,sc
deka,2000,8890.32201398103,cc
deka,2000,8611.869618244242,sc
deka,2001,7450.325338885068,cc
deka,2001,9550.651981013983,sc
deka,2002,7951.009265695598,cc
deka,2002,9059.514993485858,sc
deka,2003,9575.049714735682,cc
deka,2003,11247.885631219166,sc
deka,2004,9905.479891010003,cc
deka,2004,11119.532336422399,sc
deka,2005,9248.862622586874,cc
deka,2005,9936.77263643566,sc
deka,2006,10826.759531762005,cc
deka,2006,10942.383574182235,sc
deka,2007,10347.29102557904,cc
deka,2007,10541.942509836948,sc
deka,2008,10757.27902920673,cc
deka,2008,11911.397911346257,sc
dslo,1999,8926.38822904789,cc
dslo,1999,8210.367782867579,sc
dslo,2000,6329.090358718268,cc
dslo,2000,7445.551869243867,sc
dslo,2001,7535.717406911018,cc
dslo,2001,8720.598648960511,sc
dslo,2002,6968.735290639347,cc
dslo,2002,7062.6135269163215,sc
dslo,2003,9151.802073215767,cc
dslo,2003,10333.501002171124,sc
dslo,2004,8993.21680402472,cc
dslo,2004,10305.920955355292,sc
dslo,2005,11824.414686773242,cc
dslo,2005,11822.823530226173,sc
dslo,2006,10120.286024864099,cc
dslo,2006,9888.507554507953,sc
dslo,2007,9273.790741824261,cc
dslo,2007,10306.45134087098,sc
dslo,2008,12672.501126360143,cc
dslo,2008,13099.461466489884,sc
dsup,1999,3839.991133589229,sc
dsup,2000,2488.0384540976615,cc
