feature,importance
p2mo_gdd,1.2913209127305494
prep2wk_precip_mm_tot,1.288523087875813
p2wk_precip_mm_tot,1.2825980411106597
years_in_corn,1.2778244134949295
pre2wkp2wk_tl_mean,1.2421109590738397
iacsr,1.213256137178335
prev_ccyield,1.213011677266671
heatstress_n,1.199947026259733
wintcolddays_n,1.1973125757908958
