feature,importance
prep2wk_precip_mm_tot,1.2963888311893412
heatstress_n,1.2861103270182812
iacsr,1.2484383582075693
years_in_corn,1.246689886253298
p2wk_precip_mm_tot,1.240638048013969
prev_ccyield,1.2066587410780072
p2mo_gdd,1.1950637576811183
pre2wkp2wk_tl_mean,1.1856035533073277
wintcolddays_n,1.135995747433635
soc_30cm_pct,1.1142070648168592
paw_150cm_mm,1.108576149378327
