Value, Category, Count,  Acreage
0, Zero Year,47614551,10589221.2
1, One Year,3903482,868113.5
2, Two Years,2606551,579683
3, Three Years,2885641,641751.1
4, Four Years,4253766,946014.8
5, Five Years,6972734,1550698.7
6, Six Years,14451180,3213865.1
7, Seven Years,12054833,2680930.3
8, Eight Years,3964477,881678.5
9, Nine Years,2287536,508735.8
10, Ten Years,1413886,314440.7
11, Eleven Years,846189,188187.9
12, Twelve Years,532919,118518.3
13, Thirteen Years,338836,75355.3
