Value, Category, Count,  Acreage
0, Zero Year,320818538,71348325.4
1, One Year,22889266,5090450.2
2, Two Years,12538440,2788481.9
3, Three Years,10928498,2430439.5
4, Four Years,12999758,2891076.6
5, Five Years,19632802,4366230.1
6, Six Years,50802461,11298195.4
7, Seven Years,57387724,12762722.6
8, Eight Years,22548409,5014645.5
9, Nine Years,14152539,3147448.9
10, Ten Years,8928602,1985673.3
11, Eleven Years,5823697,1295159
12, Twelve Years,3770081,838445.8
13, Thirteen Years,2866474,637488.5
