Value, Category, Count,  Acreage
0, Zero Year,46157718,10265229.4
1, One Year,7116825,1582743.8
2, Two Years,3506517,779830.6
3, Three Years,2628648,584597.2
4, Four Years,3325258,739519.6
5, Five Years,6347036,1411546.8
6, Six Years,26971234,5998258.1
7, Seven Years,32854811,7306734.1
8, Eight Years,11836776,2632435.6
9, Nine Years,7835769,1742633.1
10, Ten Years,5221862,1161314.2
11, Eleven Years,3651406,812053.1
12, Twelve Years,2500935,556194.6
13, Thirteen Years,1983501,441120
