Value, Category, Count,  Acreage
0, Zero Year,57235947,12728968.2
1, One Year,6291791,1399260.6
2, Two Years,3555953,790824.9
3, Three Years,3471129,771960.5
4, Four Years,5136970,1142434.6
5, Five Years,8641910,1921914.5
6, Six Years,24210923,5384379.7
7, Seven Years,25206098,5605701.3
8, Eight Years,10429080,2319371.6
9, Nine Years,7287359,1620669.6
10, Ten Years,4665845,1037659
11, Eleven Years,2907909,646703.4
12, Twelve Years,1904405,423529.5
13, Thirteen Years,1191112,264896.9
