erokind,rvindicator,cokey,coeroacckey
Rill erosion,Yes,17593620,1210714
Sheet erosion,No ,17593620,1210715
Rill erosion,Yes,17593621,1210712
Sheet erosion,No ,17593621,1210713
Sheet erosion,Yes,17593733,1210520
Rill erosion,No ,17593733,1210521
Rill erosion,No ,17593734,1210522
Sheet erosion,Yes,17593734,1210523
Rill erosion,Yes,17593893,1210666
Sheet erosion,No ,17593893,1210667
