geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,Interfluve,,,26668792,9792400
NA,Crest,,,26668792,9792401
NA,Interfluve,,,26668794,9792402
NA,Interfluve,,,26668984,9792569
NA,Side Slope,,,26668984,9792570
NA,Interfluve,,,26668986,9792567
NA,Side Slope,,,26668986,9792568
NA,Interfluve,,,26668998,9792511
NA,Side Slope,,,26668998,9792512
NA,Interfluve,,,26669000,9792513
NA,Side Slope,,,26669000,9792514
