musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
119,"Muscatine silty clay loam, 0 to 2 percent slopes",Consociation,NA,21667,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,100,NA,NA,NA,NA,13703,409403
120B,"Tama silty clay loam, 2 to 5 percent slopes",Consociation,NA,48177,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,95,NA,NA,NA,NA,13703,409406
120C2,"Tama silty clay loam, 5 to 9 percent slopes, eroded",Consociation,NA,39441,NA,NA,NA,NA,NA,NA,Farmland of statewide importance,NA,NA,NA,NA,Order 2,87,NA,NA,NA,NA,13703,409408
