hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
Ap,NA,A,,NA,0,0,0,15,18,23,NA,18,NA,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,1,3,10,0,0,0.2,0,0,0.3,0,0.2,0.5,0.3,0.8,4,0.7,2,5,62,70,77,32,36,40,30,34,38,22,27,30,0,0,0,2.5,3,3.5,NA,NA,NA,1.26,1.32,1.38,NA,NA,NA,1.42,1.48,1.5,NA,1,3,10,0.19,0.21,0.23,NA,NA,NA,29.9,32,33.5,15.2,18.4,21.1,43,45,48,3,3.8,5.9,39,44,49,15,19,21,15,21,25,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.1,2,18.9,22.8,25.4,NA,NA,NA,14.3,20.9,25.4,5.1,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,5.9,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17593894,51394720
Bt,NA,B,,NA,15,18,23,91,122,140,NA,104,NA,0,0,0,0,0,0,100,100,100,100,100,100,96,99,100,92,97,100,0,3.5,7,0,0.2,1,0,0.3,1,0,0.5,1,0,1.1,3,0,1.4,3,58,65.5,74.5,NA,NA,NA,NA,NA,NA,24,31,35,0,0,0,0,0.5,1,NA,NA,NA,1.35,1.38,1.42,NA,NA,NA,1.54,1.57,1.61,NA,1,3,10,0.18,0.19,0.2,NA,NA,NA,28.5,31.5,33.2,13.2,17.7,20.5,44,45,46,3,4.3,5.9,34,42,47,16,22,25,14,22,28,0.43,0.43,0,0,0,0,0,0,0,0,0,0,1,2,16.7,24,27.5,NA,NA,NA,8.3,20.6,27.3,5.1,5.8,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,7.8,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17593894,51394721
C,NA,C,,NA,91,122,140,152,152,152,NA,30,NA,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,0,3.5,7,0,0,1,0,0,1,0,0.1,1,0,1,3,0,2.4,3,63,71.5,80,NA,NA,NA,NA,NA,NA,20,25,30,0,0,0,0,0.25,0.5,NA,NA,NA,1.35,1.38,1.41,NA,NA,NA,1.48,1.51,1.56,NA,1,9,10,0.18,0.19,0.2,NA,NA,NA,26.7,29.1,31.2,11,14.1,17.2,44,45,46,3,3.1,5.9,30,35,41,13,17,21,11,16,22,0.49,0.49,0,0,15,0,0,0,0,0,0,0,1,2,14.2,19.2,23.3,NA,NA,NA,11.2,18.8,62.3,5.6,6.5,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.6,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17593894,51394722
Ap,NA,A,,NA,0,0,0,10,15,20,10,15,20,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,1,3,10,0,0,0.2,0,0,0.3,0,0.2,0.5,0.3,0.8,4,0.7,2,5,62,67,75,32,34,40,30,33,38,24,30,32,0,0,0,2.5,3,4.5,NA,NA,NA,1.3,1.34,1.38,NA,NA,NA,1.42,1.48,1.5,NA,1,3,10,0.19,0.21,0.23,NA,NA,NA,30.2,32.5,34.1,15.7,19.3,22.1,44,46,48,3,4.4,5.9,39,46,52,16,21,22,15,21,25,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.1,2,20.3,25,26.9,NA,NA,NA,6.6,21.3,26.3,5.1,6.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,12.4,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17593893,51394715
BA,NA,BA,,NA,10,15,20,20,30,54,10,15,34,0,0,0,0,0,0,100,100,100,100,100,100,98,100,100,94,98,100,1,3,5,0,0,0,0,0,0,0,0.2,0.5,0.3,0.8,1,0.7,2,3.5,63,66,72,30,34,39,28,32,36,24,31,32,0,0,0,1,1.5,2.5,NA,NA,NA,1.24,1.3,1.35,NA,NA,NA,1.42,1.48,1.49,NA,1,3,10,0.17,0.19,0.21,NA,NA,NA,28.8,31.6,32.6,13.7,17.8,19.5,46,47,50,3,4.5,5.9,36,44,48,16,22,23,15,23,25,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.1,2,19.6,25,26.3,NA,NA,NA,4.5,16,24,5.1,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,14.7,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17593893,51394716
Bt1,NA,B,,1,20,30,54,40,50,86,20,20,32,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,1,3,5,0,0,0,0,0,0,0,0.2,0.5,0.3,0.8,1,0.7,2,3.5,60,64,72,29,33,37,27,31,35,24,33,35,0,0,0,0.5,1,2,NA,NA,NA,1.37,1.42,1.46,NA,NA,NA,1.58,1.63,1.66,NA,1,3,10,0.17,0.19,0.21,NA,NA,NA,29.2,32.9,34.2,14.3,20,22.3,42,43,45,3,4.8,5.9,35,45,49,16,23,25,14,24,28,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.1,2,19,26.1,28.2,NA,NA,NA,3.6,16,25.6,5.1,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,15.1,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17593893,51394717
Bt2,NA,B,,2,40,50,86,60,84,102,20,34,40,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,1,3,5,0,0,0,0,0,0,0,0.2,0.5,0.3,0.8,1,0.7,2,3.5,60,66,73,30,34,38,28,32,36,24,31,35,0,0,0,0.5,1,2,NA,NA,NA,1.37,1.42,1.46,NA,NA,NA,1.57,1.62,1.66,NA,1,3,10,0.17,0.19,0.21,NA,NA,NA,29.2,32.2,34.2,14.3,18.9,22.3,42,43,45,3,4.4,5.9,35,43,49,16,22,25,14,23,28,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.1,2,19,24.6,28.2,NA,NA,NA,3.6,15.7,25.6,5.1,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,14.3,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17593893,51394718
BC,NA,BC,,NA,60,84,102,140,152,200,50,68,98,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,94,98,100,1,3,5,0,0,0,0,0,0,0,0.2,0.5,0.3,0.8,1,0.7,2,3.5,65,69,76,31,35,39,30,34,38,20,28,30,0,0,0,0,0.3,0.5,NA,NA,NA,1.35,1.38,1.4,NA,NA,NA,1.51,1.54,1.56,NA,1,3,10,0.16,0.18,0.2,NA,NA,NA,26.7,30.3,31.2,11,15.8,17.2,45,45,46,3,3.7,5.9,31,38,42,13,19,21,11,19,22,0.49,0.49,0,0,0,0,0,0,0,0,0,0,0.1,2,14.2,21.4,23.3,NA,NA,NA,2.9,17.2,22.9,5.1,6.1,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,11.5,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17593893,51394719
Bt1,NA,B,,1,30,46,64,60,81,110,30,35,46,0,0,0,0,0,0,100,100,100,100,100,100,97,100,100,93,98,100,1,3,5,0,0,0,0,0,0,0,0.2,0.5,0.3,0.8,1,0.7,2,3.5,60,64,72,29,33,37,27,31,35,24,33,35,0,0,0,0.5,1,2,NA,NA,NA,1.37,1.42,1.46,NA,NA,NA,1.58,1.63,1.66,NA,1,3,10,0.17,0.19,0.21,NA,NA,NA,29.2,32.9,34.2,14.3,20,22.3,42,43,45,3,4.8,5.9,35,45,49,16,23,25,14,24,28,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.1,2,19,26.1,28.2,NA,NA,NA,16,24.9,26.5,5.1,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,7,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17593621,51393592
BA,NA,BA,,NA,30,36,49,30,46,64,5,10,15,0,0,0,0,0,0,100,100,100,100,100,100,98,100,100,94,98,100,1,3,5,0,0,0,0,0,0,0,0.2,0.5,0.3,0.8,1,0.7,2,3.5,63,66,72,30,34,39,28,32,36,24,31,32,0,0,0,1,1.5,2.5,NA,NA,NA,1.24,1.3,1.35,NA,NA,NA,1.42,1.48,1.49,NA,1,3,10,0.17,0.19,0.21,NA,NA,NA,28.8,31.6,32.6,13.7,17.8,19.5,46,47,50,3,4.5,5.9,36,44,47,16,22,22,15,23,25,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0.1,2,19.6,25,26.3,NA,NA,NA,15.8,23,25.1,5.1,5.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,7.1,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17593621,51393593
