desgnsuffix,chkey,chdesgnsfxkey
t,51393592,20288588
p,51393596,20288726
t,51393598,20288296
g,51394110,20288167
t,51394110,20288168
p,51394111,20288618
g,51394114,20288457
g,51394116,20288392
p,51394117,20288689
g,51394119,20288534
g,51394120,20288235
g,51394121,20288535
g,51394122,20288687
g,51394123,20288688
p,51394715,20288446
t,51394717,20288594
t,51394718,20288595
p,51394720,20288596
t,51394721,20288298
