texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SICL,No ,Yes,Silty clay loam,51393588,102676880
SICL,No ,Yes,Silty clay loam,51393589,102676881
SICL,No ,Yes,Silty clay loam,51393590,102676882
SIL,No ,Yes,Silt loam,51393591,102676883
SICL,No ,No ,Silty clay loam,51393591,102676884
SICL,No ,Yes,Silty clay loam,51393592,102676885
SIL,No ,No ,Silt loam,51393592,102676886
SICL,No ,Yes,Silty clay loam,51393593,102676887
SIL,No ,No ,Silt loam,51393593,102676888
SIL,No ,No ,Silt loam,51393594,102676889
SICL,No ,Yes,Silty clay loam,51393594,102676890
SIL,No ,No ,Silt loam,51393595,102676891
SICL,No ,Yes,Silty clay loam,51393595,102676892
SIL,No ,No ,Silt loam,51393596,102676893
SICL,No ,Yes,Silty clay loam,51393596,102676894
SICL,No ,Yes,Silty clay loam,51393597,102676895
SIL,No ,No ,Silt loam,51393597,102676896
SICL,No ,Yes,Silty clay loam,51393598,102676897
SIL,No ,No ,Silt loam,51393598,102676898
SICL,No ,Yes,Silty clay loam,51394110,102677915
SICL,No ,Yes,Silty clay loam,51394111,102677916
SIL,No ,No ,Silt loam,51394111,102677917
SICL,No ,Yes,Silty clay loam,51394112,102677918
SIL,No ,No ,Silt loam,51394112,102677919
SICL,No ,Yes,Silty clay loam,51394113,102677920
SICL,No ,No ,Silty clay loam,51394114,102677921
SIL,No ,Yes,Silt loam,51394114,102677922
SICL,No ,Yes,Silty clay loam,51394115,102677923
SICL,No ,Yes,Silty clay loam,51394116,102677924
SICL,No ,Yes,Silty clay loam,51394117,102677925
SICL,No ,Yes,Silty clay loam,51394118,102677926
SIL,No ,Yes,Silt loam,51394119,102677927
SICL,No ,No ,Silty clay loam,51394119,102677928
SICL,No ,Yes,Silty clay loam,51394120,102677929
SICL,No ,Yes,Silty clay loam,51394121,102677930
SICL,No ,No ,Silty clay loam,51394122,102677931
SIL,No ,Yes,Silt loam,51394122,102677932
SICL,No ,Yes,Silty clay loam,51394123,102677933
SIL,No ,No ,Silt loam,51394715,102679061
SICL,No ,Yes,Silty clay loam,51394715,102679062
SICL,No ,Yes,Silty clay loam,51394716,102679063
SIL,No ,No ,Silt loam,51394716,102679064
SICL,No ,Yes,Silty clay loam,51394717,102679065
SIL,No ,No ,Silt loam,51394717,102679066
SICL,No ,Yes,Silty clay loam,51394718,102679067
SIL,No ,No ,Silt loam,51394718,102679068
SICL,No ,Yes,Silty clay loam,51394719,102679069
SIL,No ,No ,Silt loam,51394719,102679070
SIL,No ,No ,Silt loam,51394720,102679071
SICL,No ,Yes,Silty clay loam,51394720,102679072
SICL,No ,Yes,Silty clay loam,51394721,102679073
SIL,No ,No ,Silt loam,51394721,102679074
SICL,No ,No ,Silty clay loam,51394722,102679075
SIL,No ,Yes,Silt loam,51394722,102679076
