rupresblkmst,rupresblkdry,rupresblkcem,rupresplate,mannerfailure,stickiness,plasticity,rvindicator,chkey,chconsistkey
Friable,,NA,NA,,,,Yes,51393592,5048472
Friable,,NA,NA,,,,Yes,51393593,5048661
Friable,,NA,NA,,,,Yes,51393594,5048664
Friable,,NA,NA,,,,Yes,51393595,5048570
Friable,,NA,NA,,,,Yes,51393596,5048663
Friable,,NA,NA,,,,Yes,51393597,5048662
Friable,,NA,NA,,,,Yes,51393598,5048571
Friable,,NA,NA,,,,Yes,51394110,5048839
Friable,,NA,NA,,,,Yes,51394111,5048681
Friable,,NA,NA,,,,Yes,51394112,5048497
Friable,,NA,NA,,,,Yes,51394113,5048682
Friable,,NA,NA,,,,Yes,51394114,5048783
Friable,,NA,NA,,,,Yes,51394715,5048765
Friable,,NA,NA,,,,Yes,51394716,5048476
Friable,,NA,NA,,,,Yes,51394717,5048766
Friable,,NA,NA,,,,Yes,51394718,5048767
Friable,,NA,NA,,,,Yes,51394719,5048574
Friable,,NA,NA,,,,Yes,51394720,5048768
Friable,,NA,NA,,,,Yes,51394721,5048575
Friable,,NA,NA,,,,Yes,51394722,5048477
