structgrpname,rvindicator,chkey,chstructgrpkey
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,51393588,27442486
moderate medium granular structure,Yes,51393589,27442483
moderate medium subangular blocky structure,Yes,51393590,27442484
"weak coarse prismatic structure, massive",Yes,51393591,27442485
moderate fine subangular blocky structure,Yes,51393592,27443202
moderate fine subangular blocky structure,Yes,51393593,27442969
moderate medium granular structure,Yes,51393594,27442972
moderate medium granular structure,Yes,51393595,27443068
weak fine granular structure,Yes,51393596,27442971
weak very coarse prismatic structure,Yes,51393597,27442970
weak medium prismatic structure parts to weak medium subangular blocky structure,Yes,51393598,27443069
weak medium prismatic structure parts to moderate medium subangular blocky structure,Yes,51394110,27442269
"moderate medium subangular blocky structure, and moderate fine subangular blocky structure",Yes,51394111,27442698
"moderate fine granular structure, and moderate medium granular structure",Yes,51394112,27442340
"moderate very fine subangular blocky structure, and moderate fine subangular blocky structure",Yes,51394113,27442699
massive parts to weak coarse prismatic structure,Yes,51394114,27442341
"moderate fine granular structure, and moderate medium granular structure",Yes,51394115,27442388
moderate fine subangular blocky structure parts to moderate medium granular structure,Yes,51394116,27442532
"moderate medium granular structure, and moderate fine granular structure",Yes,51394117,27442174
"moderate fine granular structure, and moderate medium granular structure",Yes,51394118,27442531
weak coarse prismatic structure,Yes,51394119,27442898
"moderate very fine subangular blocky structure, and moderate fine subangular blocky structure",Yes,51394120,27442389
"weak medium prismatic structure parts to weak medium subangular blocky structure, and weak medium prismatic structure parts to weak fine subangular blocky structure",Yes,51394121,27442899
"weak medium prismatic structure parts to weak medium subangular blocky structure, and weak medium prismatic structure parts to weak fine subangular blocky structure",Yes,51394122,27442172
"moderate very fine subangular blocky structure, and moderate fine subangular blocky structure",Yes,51394123,27442173
weak fine granular structure,Yes,51394715,27442492
moderate fine subangular blocky structure,Yes,51394716,27443212
moderate fine subangular blocky structure,Yes,51394717,27442493
weak medium prismatic structure parts to weak medium subangular blocky structure,Yes,51394718,27442494
weak very coarse prismatic structure,Yes,51394719,27443075
weak fine granular structure,Yes,51394720,27442495
moderate medium subangular blocky structure,Yes,51394721,27443076
massive,Yes,51394722,27443213
