ecoclasstypename,ecoclassref,ecoclassid,ecoclassname,cokey,coecoclasskey
NRCS Rangeland Site,Ecological Site Description Database,R108CY516IA,Wet Loess Upland Flat Prairie,17593620,5291358
NRCS Rangeland Site,Ecological Site Description Database,R108CY503IA,Loess Upland Prairie,17593621,5291359
NRCS Rangeland Site,Ecological Site Description Database,R108CY516IA,Wet Loess Upland Flat Prairie,17593733,5291468
NRCS Rangeland Site,Ecological Site Description Database,R108CY516IA,Wet Loess Upland Flat Prairie,17593734,5291469
NRCS Rangeland Site,Ecological Site Description Database,R108CY503IA,Loess Upland Prairie,17593893,5291610
NRCS Rangeland Site,Ecological Site Description Database,R108CY503IA,Loess Upland Prairie,17593894,5291611
