shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Linear,Linear,26668792,15489545
Linear,Concave,26668794,15489546
Linear,Convex,26668984,15489461
Linear,Convex,26668986,15489460
Linear,Convex,26668998,15489523
Linear,Convex,26669000,15489524
