pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,Fine-silty,,Loess,,12720423,17837523
NA,Fine-silty,,Loess,,12720424,17837524
NA,Fine-silty,,Loess,,12720456,17837352
NA,Fine-silty,,Loess,,12720457,17837353
NA,Fine-silty,,Loess,,12720462,17837358
NA,Fine-silty,,Loess,,12720463,17837359
