fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,0,0,Mixed rock fragments,2,3,5,,,,51394110,88000540
0,0,0,Mixed rock fragments,5,10,20,,,,51394110,88000541
0,0,0,Mixed rock fragments,20,50,75,,,,51394110,88000542
0,0,0,Mixed rock fragments,2,3,5,,,,51394111,88000543
0,0,0,Mixed rock fragments,5,10,20,,,,51394111,88000544
0,0,0,Mixed rock fragments,20,50,75,,,,51394111,88000545
0,0,0,Mixed rock fragments,2,3,5,,,,51394112,88000546
0,0,0,Mixed rock fragments,5,10,20,,,,51394112,88000547
0,0,0,Mixed rock fragments,20,50,75,,,,51394112,88000548
0,0,0,Mixed rock fragments,2,3,5,,,,51394113,88000549
0,0,0,Mixed rock fragments,5,10,20,,,,51394113,88000550
0,0,0,Mixed rock fragments,20,50,75,,,,51394113,88000551
0,0,0,Mixed rock fragments,2,3,5,,,,51394114,88000552
0,0,0,Mixed rock fragments,5,10,20,,,,51394114,88000553
0,0,0,Mixed rock fragments,20,50,75,,,,51394114,88000554
