aashtocl,rvindicator,chkey,chaashtokey
A-7,Yes,51393588,84038131
A-7,Yes,51393589,84038132
A-7,Yes,51393590,84038133
A-7,Yes,51393591,84038134
A-6,No ,51393591,84038135
A-7-6,Yes,51393592,84038136
A-6,No ,51393592,84038137
A-7-6,Yes,51393593,84038138
A-6,No ,51393593,84038139
A-7-6,Yes,51393594,84038140
A-6,No ,51393594,84038141
A-7-6,Yes,51393595,84038142
A-6,No ,51393595,84038143
A-7-6,Yes,51393596,84038144
A-6,No ,51393596,84038145
A-7-6,No ,51393597,84038146
A-6,Yes,51393597,84038147
A-7-6,Yes,51393598,84038148
A-6,No ,51393598,84038149
A-7-6,Yes,51394110,84039077
A-6,No ,51394110,84039078
A-7-5,Yes,51394111,84039079
A-7-6,No ,51394111,84039080
A-7-5,Yes,51394112,84039081
A-7-6,No ,51394112,84039082
A-7-6,Yes,51394113,84039083
A-6,No ,51394113,84039084
A-7-6,No ,51394114,84039085
A-6,Yes,51394114,84039086
A-7-6,Yes,51394115,84039087
A-6,No ,51394116,84039088
A-7-6,Yes,51394116,84039089
A-7-5,Yes,51394117,84039090
A-7-5,Yes,51394118,84039091
A-7-6,No ,51394118,84039092
A-6,Yes,51394119,84039093
A-7-6,No ,51394119,84039094
A-6,No ,51394120,84039095
A-7-6,Yes,51394120,84039096
A-7-6,Yes,51394121,84039097
A-6,No ,51394121,84039098
A-6,Yes,51394122,84039099
A-7-6,No ,51394122,84039100
A-7-6,Yes,51394123,84039101
A-6,No ,51394123,84039102
A-7-6,Yes,51394715,84040107
A-6,No ,51394715,84040108
A-7-5,No ,51394715,84040109
A-7-6,Yes,51394716,84040110
A-6,No ,51394716,84040111
A-7-6,Yes,51394717,84040112
A-6,No ,51394717,84040113
A-7-6,Yes,51394718,84040114
A-6,No ,51394718,84040115
A-7-6,No ,51394719,84040116
A-6,Yes,51394719,84040117
A-7-6,Yes,51394720,84040118
A-6,No ,51394720,84040119
A-7-6,Yes,51394721,84040120
A-6,No ,51394721,84040121
A-6,Yes,51394722,84040122
A-7-6,No ,51394722,84040123
